arm,group,task,condition,bound,bh_family,n_pairs,n_clusters,n_excluded_non_terminating,mae_delta,ci_low,ci_high,p_value,bh_significant,bh_significant_global
main_sweep,gemma4-e4b/zeroshot-only,edge_count,rwse,excluded,mae/gemma4-e4b/zeroshot-only/edge_count,22,22,12,-0.18181818181818182,-0.6818181818181818,0.13636363636363635,1.0,False,False
main_sweep,gemma4-e4b/zeroshot-only,node_degree,all,excluded,mae/gemma4-e4b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b/zeroshot-only,node_degree,clustering,excluded,mae/gemma4-e4b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b/zeroshot-only,node_degree,components,excluded,mae/gemma4-e4b/zeroshot-only/node_degree,30,30,0,-0.5,-1.4,-0.0,0.5008499150084992,False,False
main_sweep,gemma4-e4b/zeroshot-only,node_degree,degree,excluded,mae/gemma4-e4b/zeroshot-only/node_degree,30,30,0,-0.4,-1.2,-0.0,1.0,False,False
main_sweep,gemma4-e4b/zeroshot-only,node_degree,filler,excluded,mae/gemma4-e4b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b/zeroshot-only,node_degree,rwse,excluded,mae/gemma4-e4b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,node_count,all,excluded,mae/qwen3-14b/zeroshot-only/node_count,30,30,0,0.16666666666666666,-0.1,0.6,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,node_count,clustering,excluded,mae/qwen3-14b/zeroshot-only/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,node_count,components,excluded,mae/qwen3-14b/zeroshot-only/node_count,30,30,0,0.06666666666666667,-0.4,0.6,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,node_count,degree,excluded,mae/qwen3-14b/zeroshot-only/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,node_count,filler,excluded,mae/qwen3-14b/zeroshot-only/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,node_count,rwse,excluded,mae/qwen3-14b/zeroshot-only/node_count,30,30,0,0.2,-0.0,0.6,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,edge_count,all,excluded,mae/qwen3-14b/zeroshot-only/edge_count,30,30,0,0.3333333333333333,-0.13333333333333333,0.8666666666666667,0.27677232276772323,False,False
main_sweep,qwen3-14b/zeroshot-only,edge_count,clustering,excluded,mae/qwen3-14b/zeroshot-only/edge_count,30,30,0,0.9333333333333333,0.3333333333333333,1.6333333333333333,0.0096990300969903,False,False
main_sweep,qwen3-14b/zeroshot-only,edge_count,components,excluded,mae/qwen3-14b/zeroshot-only/edge_count,30,30,0,0.3333333333333333,-0.23333333333333334,0.9333333333333333,0.33286671332866713,False,False
main_sweep,qwen3-14b/zeroshot-only,edge_count,degree,excluded,mae/qwen3-14b/zeroshot-only/edge_count,30,30,0,1.8666666666666667,0.43333333333333335,3.533333333333333,0.0461953804619538,False,False
main_sweep,qwen3-14b/zeroshot-only,edge_count,filler,excluded,mae/qwen3-14b/zeroshot-only/edge_count,30,30,0,-2.466666666666667,-7.833333333333333,0.4,0.8181181881811819,False,False
main_sweep,qwen3-14b/zeroshot-only,edge_count,rwse,excluded,mae/qwen3-14b/zeroshot-only/edge_count,30,30,0,-2.8,-8.366666666666667,0.26666666666666666,0.3123687631236876,False,False
main_sweep,qwen3-14b/zeroshot-only,node_degree,all,excluded,mae/qwen3-14b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,node_degree,clustering,excluded,mae/qwen3-14b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,node_degree,components,excluded,mae/qwen3-14b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,node_degree,degree,excluded,mae/qwen3-14b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,node_degree,filler,excluded,mae/qwen3-14b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/zeroshot-only,node_degree,rwse,excluded,mae/qwen3-14b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zeroshot-only,node_count,all,excluded,mae/qwen3-8b/zeroshot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zeroshot-only,node_count,clustering,excluded,mae/qwen3-8b/zeroshot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zeroshot-only,node_count,components,excluded,mae/qwen3-8b/zeroshot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zeroshot-only,node_count,degree,excluded,mae/qwen3-8b/zeroshot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zeroshot-only,node_count,filler,excluded,mae/qwen3-8b/zeroshot-only/node_count,30,30,0,-0.23333333333333334,-0.4,-0.1,0.0160983901609839,False,False
main_sweep,qwen3-8b/zeroshot-only,node_count,rwse,excluded,mae/qwen3-8b/zeroshot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zeroshot-only,edge_count,all,excluded,mae/qwen3-8b/zeroshot-only/edge_count,29,29,1,0.3103448275862069,-0.5862068965517241,1.1724137931034482,0.5668433156684332,False,False
main_sweep,qwen3-8b/zeroshot-only,edge_count,clustering,excluded,mae/qwen3-8b/zeroshot-only/edge_count,30,30,0,0.5,-0.06666666666666667,1.2333333333333334,0.19588041195880412,False,False
main_sweep,qwen3-8b/zeroshot-only,edge_count,components,excluded,mae/qwen3-8b/zeroshot-only/edge_count,30,30,0,0.26666666666666666,-0.36666666666666664,1.0666666666666667,0.6205379462053795,False,False
main_sweep,qwen3-8b/zeroshot-only,edge_count,degree,excluded,mae/qwen3-8b/zeroshot-only/edge_count,30,30,0,-0.26666666666666666,-3.9,2.1333333333333333,0.992000799920008,False,False
main_sweep,qwen3-8b/zeroshot-only,edge_count,filler,excluded,mae/qwen3-8b/zeroshot-only/edge_count,30,30,0,-2.7333333333333334,-7.833333333333333,0.5666666666666667,0.3518648135186481,False,False
main_sweep,qwen3-8b/zeroshot-only,edge_count,rwse,excluded,mae/qwen3-8b/zeroshot-only/edge_count,29,29,1,-12.758620689655173,-19.862068965517242,-6.310344827586207,0.0007999200079992001,True,False
main_sweep,qwen3-8b/zeroshot-only,node_degree,all,excluded,mae/qwen3-8b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zeroshot-only,node_degree,clustering,excluded,mae/qwen3-8b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zeroshot-only,node_degree,components,excluded,mae/qwen3-8b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zeroshot-only,node_degree,degree,excluded,mae/qwen3-8b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zeroshot-only,node_degree,filler,excluded,mae/qwen3-8b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/zeroshot-only,node_degree,rwse,excluded,mae/qwen3-8b/zeroshot-only/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,node_count,all,excluded,mae/gemma4-12b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,node_count,clustering,excluded,mae/gemma4-12b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,node_count,components,excluded,mae/gemma4-12b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,node_count,degree,excluded,mae/gemma4-12b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,node_count,filler,excluded,mae/gemma4-12b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,node_count,rwse,excluded,mae/gemma4-12b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,edge_count,all,excluded,mae/gemma4-12b/thinking/edge_count,5,5,46,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,edge_count,clustering,excluded,mae/gemma4-12b/thinking/edge_count,6,6,46,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,edge_count,components,excluded,mae/gemma4-12b/thinking/edge_count,6,6,46,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,edge_count,degree,excluded,mae/gemma4-12b/thinking/edge_count,6,6,44,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,edge_count,filler,excluded,mae/gemma4-12b/thinking/edge_count,6,6,44,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/thinking,edge_count,rwse,excluded,mae/gemma4-12b/thinking/edge_count,6,6,44,-0.0,-0.0,-0.0,1.0,False,False
