arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task,n_mae_imputed,mae_delta
main_sweep,gemma4-12b,exact,clustering,,False,excluded,main_sweep/gemma4-12b/excluded,180,180,0.0,1.0,0.0,False,True,0.02777777777777779,0.0,0.1,0.016666666666666666,0.0,0.03888888888888889,0.2465506898620276,False,,0.029666666666666668,-0.043750000000000004,-0.04122222222222222,0.8,False,,,
main_sweep,gemma4-12b,exact,components,,False,excluded,main_sweep/gemma4-12b/excluded,180,180,0.0,1.0,0.0,False,True,0.02777777777777779,-0.03333333333333333,0.0,-0.005555555555555556,-0.016666666666666666,0.0,1.0,False,,0.02588888888888889,-0.0421875,-0.04055555555555555,0.8,False,,,
main_sweep,gemma4-12b,exact,degree,,False,excluded,main_sweep/gemma4-12b/excluded,180,180,0.0,2.0,1.0,False,True,0.02777777777777779,-0.03333333333333333,0.16666666666666666,0.022222222222222223,-0.005555555555555556,0.05,0.22475504899020196,False,,0.028555555555555556,-0.04340277777777778,-0.04022222222222222,0.8,False,,,
main_sweep,gemma4-12b,exact,filler,,False,excluded,main_sweep/gemma4-12b/excluded,180,180,0.0,1.0,0.0,False,True,0.02777777777777779,0.0,0.06666666666666667,0.011111111111111112,0.0,0.027777777777777776,0.5020995800839833,False,,0.027333333333333334,-0.0421875,-0.04066666666666666,0.8,False,,,
main_sweep,gemma4-12b,exact,rwse,,False,excluded,main_sweep/gemma4-12b/excluded,180,180,0.0,3.0,0.0,False,True,0.02777777777777779,0.0,0.0,0.0,-0.016666666666666666,0.016666666666666666,1.0,False,,0.030444444444444444,-0.046875,-0.04466666666666667,0.8,False,,,
main_sweep,gemma4-12b,exact,all,,True,excluded,main_sweep/gemma4-12b/excluded/derived,180,180,0.0,1.0,0.0,False,True,0.02777777777777779,0.0,0.1,0.016666666666666666,-0.005555555555555556,0.044444444444444446,0.37772445510897823,False,,0.02988888888888889,-0.043750000000000004,-0.04466666666666667,0.8,,,,
main_sweep,gemma4-e4b,exact,clustering,,False,excluded,main_sweep/gemma4-e4b/excluded,180,180,0.0,17.0,0.0,False,False,0.07222222222222219,-0.03333333333333333,0.06666666666666667,0.0,-0.03888888888888889,0.03888888888888889,1.0,False,0.5833333333333334,0.03977777777777778,-0.04618055555555556,-0.04188888888888889,0.8,False,,,
main_sweep,gemma4-e4b,exact,components,,False,excluded,main_sweep/gemma4-e4b/excluded,180,180,0.0,17.0,0.0,False,False,0.07222222222222219,-0.13333333333333333,0.06666666666666667,-0.016666666666666666,-0.06111111111111111,0.022222222222222223,0.613877224555089,False,0.625,0.049,-0.04427083333333333,-0.041555555555555554,0.8,False,,,
main_sweep,gemma4-e4b,exact,degree,,False,excluded,main_sweep/gemma4-e4b/excluded,180,180,0.0,16.0,0.0,False,False,0.07222222222222219,-0.03333333333333333,0.06666666666666667,0.011111111111111112,-0.03333333333333333,0.05555555555555555,0.8146370725854829,False,0.5777777777777777,0.04544444444444445,-0.047222222222222214,-0.044222222222222225,0.8,False,,,
main_sweep,gemma4-e4b,exact,filler,,False,excluded,main_sweep/gemma4-e4b/excluded,180,180,0.0,17.0,0.0,False,False,0.07222222222222219,-0.03333333333333333,0.03333333333333333,-0.011111111111111112,-0.05,0.027777777777777776,0.794241151769646,False,0.625,0.04455555555555556,-0.04618055555555556,-0.041777777777777775,0.8,False,,,
