arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/task/edge_count,400,400,,,,,,,,,-0.01,-0.0225,0.0,0.22547745225477453,False,,,,,,False,edge_count
main_sweep,qwen3-1.7b,exact,degree,,False,excluded,main_sweep/qwen3-1.7b/task/edge_count,400,400,,,,,,,,,0.03,0.0075,0.0525,0.018598140185981403,False,,,,,,True,edge_count
main_sweep,qwen3-1.7b,exact,filler,,False,excluded,main_sweep/qwen3-1.7b/task/edge_count,400,400,,,,,,,,,-0.005,-0.0175,0.0075,0.6832316768323168,False,,,,,,False,edge_count
main_sweep,qwen3-1.7b,exact,rwse,,False,excluded,main_sweep/qwen3-1.7b/task/edge_count,400,400,,,,,,,,,-0.0075,-0.02,0.005,0.45155484451554845,False,,,,,,False,edge_count
main_sweep,qwen3-1.7b,exact,all,,True,excluded,main_sweep/qwen3-1.7b/task/edge_count/derived,400,400,,,,,,,,,0.0075,-0.01,0.025,0.575042495750425,False,,,,,,,edge_count
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,400,400,,,,,,,,,0.0375,-0.005,0.08,0.11768823117688232,False,,,,,,False,edge_existence
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,400,400,,,,,,,,,-0.0825,-0.1175,-0.0475,9.999000099990002e-05,True,,,,,,True,edge_existence
main_sweep,qwen3-1.7b,exact,degree,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,400,400,,,,,,,,,0.04,-0.0025,0.085,0.10288971102889712,False,,,,,,False,edge_existence
main_sweep,qwen3-1.7b,exact,filler,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,400,400,,,,,,,,,-0.1575,-0.2,-0.115,9.999000099990002e-05,True,,,,,,True,edge_existence
main_sweep,qwen3-1.7b,exact,rwse,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,400,400,,,,,,,,,0.05,0.0025,0.095,0.044495550444955505,False,,,,,,False,edge_existence
main_sweep,qwen3-1.7b,exact,all,,True,excluded,main_sweep/qwen3-1.7b/task/edge_existence/derived,400,400,,,,,,,,,0.115,0.065,0.1625,9.999000099990002e-05,True,,,,,,,edge_existence
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/task/node_count,400,400,,,,,,,,,0.6725,0.625,0.7175,9.999000099990002e-05,True,,,,,,True,node_count
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/task/node_count,400,400,,,,,,,,,0.2125,0.1575,0.2675,9.999000099990002e-05,True,,,,,,True,node_count
main_sweep,qwen3-1.7b,exact,degree,,False,excluded,main_sweep/qwen3-1.7b/task/node_count,400,400,,,,,,,,,0.0675,0.03,0.105,0.0005999400059994001,True,,,,,,True,node_count
main_sweep,qwen3-1.7b,exact,filler,,False,excluded,main_sweep/qwen3-1.7b/task/node_count,400,400,,,,,,,,,0.3975,0.3475,0.445,9.999000099990002e-05,True,,,,,,True,node_count
main_sweep,qwen3-1.7b,exact,rwse,,False,excluded,main_sweep/qwen3-1.7b/task/node_count,400,400,,,,,,,,,0.02,-0.045,0.0825,0.5860413958604139,False,,,,,,False,node_count
main_sweep,qwen3-1.7b,exact,all,,True,excluded,main_sweep/qwen3-1.7b/task/node_count/derived,400,400,,,,,,,,,0.47,0.42,0.5225,9.999000099990002e-05,True,,,,,,,node_count
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/task/node_degree,400,400,,,,,,,,,0.03,-0.0175,0.0775,0.2586741325867413,False,,,,,,False,node_degree
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/task/node_degree,400,400,,,,,,,,,0.0175,-0.0225,0.0575,0.45915408459154083,False,,,,,,False,node_degree
main_sweep,qwen3-1.7b,exact,degree,,False,excluded,main_sweep/qwen3-1.7b/task/node_degree,400,400,,,,,,,,,0.075,0.03,0.12,0.0014998500149985001,True,,,,,,True,node_degree
main_sweep,qwen3-1.7b,exact,filler,,False,excluded,main_sweep/qwen3-1.7b/task/node_degree,400,400,,,,,,,,,-0.005,-0.045,0.035,0.905009499050095,False,,,,,,False,node_degree
main_sweep,qwen3-1.7b,exact,rwse,,False,excluded,main_sweep/qwen3-1.7b/task/node_degree,400,400,,,,,,,,,0.04,-0.005,0.0875,0.10838916108389161,False,,,,,,False,node_degree
main_sweep,qwen3-1.7b,exact,all,,True,excluded,main_sweep/qwen3-1.7b/task/node_degree/derived,400,400,,,,,,,,,0.1025,0.0525,0.1525,0.00039996000399960006,True,,,,,,,node_degree
thinking_arm,qwen3-1.7b,non_terminating,clustering,,False,not_applicable,thinking_arm/qwen3-1.7b/not_applicable,2400,2400,0.0,726.0,,,False,0.15791666666666668,-0.0775,0.0075,-0.013333333333333334,-0.02375,-0.002916666666666667,0.0160983901609839,True,,,,,,True,
thinking_arm,qwen3-1.7b,non_terminating,components,,False,not_applicable,thinking_arm/qwen3-1.7b/not_applicable,2400,2400,0.0,786.0,,,False,0.15791666666666668,-0.005,0.075,0.011666666666666667,0.0,0.023333333333333334,0.0664933506649335,False,,,,,,False,
thinking_arm,qwen3-1.7b,non_terminating,degree,,False,not_applicable,thinking_arm/qwen3-1.7b/not_applicable,2400,2400,0.0,840.0,,,False,0.15791666666666668,-0.05,0.2125,0.034166666666666665,0.020416666666666666,0.04833333333333333,9.999000099990002e-05,True,,,,,,True,
thinking_arm,qwen3-1.7b,non_terminating,filler,,False,not_applicable,thinking_arm/qwen3-1.7b/not_applicable,2400,2400,0.0,714.0,,,False,0.15791666666666668,-0.0775,0.0125,-0.018333333333333333,-0.027916666666666666,-0.00875,0.0006999300069993001,True,,,,,,True,
thinking_arm,qwen3-1.7b,non_terminating,rwse,,False,not_applicable,thinking_arm/qwen3-1.7b/not_applicable,2400,2400,0.0,735.0,,,False,0.15791666666666668,-0.0775,0.05,-0.009583333333333333,-0.019166666666666665,0.0,0.0524947505249475,False,,,,,,False,
thinking_arm,qwen3-1.7b,non_terminating,all,,True,not_applicable,thinking_arm/qwen3-1.7b/not_applicable/derived,2400,2400,0.0,676.0,,,False,0.15791666666666668,-0.1225,0.0075,-0.034166666666666665,-0.04583333333333333,-0.021666666666666667,9.999000099990002e-05,True,,,,,,,
thinking_arm,pooled across all models,non_terminating,clustering,,False,not_applicable,thinking_arm/pooled across all models/not_applicable,2400,2400,0.0,726.0,,,False,0.15791666666666668,-0.0775,0.0075,-0.013333333333333334,-0.02375,-0.002916666666666667,0.0160983901609839,True,,,,,,,
thinking_arm,pooled across all models,non_terminating,components,,False,not_applicable,thinking_arm/pooled across all models/not_applicable,2400,2400,0.0,786.0,,,False,0.15791666666666668,-0.005,0.075,0.011666666666666667,-0.0004166666666666667,0.02375,0.06429357064293571,False,,,,,,,
thinking_arm,pooled across all models,non_terminating,degree,,False,not_applicable,thinking_arm/pooled across all models/not_applicable,2400,2400,0.0,840.0,,,False,0.15791666666666668,-0.05,0.2125,0.034166666666666665,0.02,0.04791666666666667,9.999000099990002e-05,True,,,,,,,
thinking_arm,pooled across all models,non_terminating,filler,,False,not_applicable,thinking_arm/pooled across all models/not_applicable,2400,2400,0.0,714.0,,,False,0.15791666666666668,-0.0775,0.0125,-0.018333333333333333,-0.027916666666666666,-0.00875,0.00039996000399960006,True,,,,,,,
thinking_arm,pooled across all models,non_terminating,rwse,,False,not_applicable,thinking_arm/pooled across all models/not_applicable,2400,2400,0.0,735.0,,,False,0.15791666666666668,-0.0775,0.05,-0.009583333333333333,-0.019166666666666665,0.0,0.05299470052994701,False,,,,,,,
thinking_arm,pooled across all models,non_terminating,all,,True,not_applicable,thinking_arm/pooled across all models/not_applicable/derived,2400,2400,0.0,676.0,,,False,0.15791666666666668,-0.1225,0.0075,-0.034166666666666665,-0.04583333333333333,-0.0225,9.999000099990002e-05,True,,,,,,,
