model,condition,task,n_clusters,delta,ci_low,ci_high,p_value,shortcut_ceiling_treatment,shortcut_ceiling_control,shortcut_flag
gemma4-e4b,components,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-e4b,clustering,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-12b,rwse,node_degree,30,0.0,0.0,0.0,1.0,0.616,0.082,partial
gemma4-12b,filler,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-12b,degree,node_degree,30,0.0,0.0,0.0,1.0,1.0,0.082,shortcut
gemma4-12b,components,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-12b,clustering,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-e4b,rwse,connected_nodes,30,-0.0333333333333333,-0.1,0.0,1.0,0.082,0.082,none
gemma4-e4b,filler,cycle_check,30,0.0333333333333333,0.0,0.1,1.0,0.832,0.832,none
gemma4-e4b,degree,cycle_check,30,0.0,-0.1,0.1,1.0,0.946,0.832,partial
gemma4-e4b,components,cycle_check,30,0.0,-0.1,0.1,1.0,1.0,0.832,shortcut
gemma4-e4b,components,edge_count,30,0.0,-0.1333333333333333,0.1333333333333333,1.0,0.018,0.018,none
gemma4-e4b,filler,edge_count,30,0.0,-0.1666666666666666,0.1666666666666666,1.0,0.018,0.018,none
gemma4-e4b,clustering,edge_existence,30,-0.0333333333333333,-0.1,0.0,1.0,0.72,0.498,partial
gemma4-e4b,filler,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-e4b,degree,connected_nodes,30,0.0,0.0,0.0,1.0,0.208,0.082,partial
gemma4-e4b,degree,edge_existence,30,0.0,0.0,0.0,1.0,0.794,0.498,partial
gemma4-e4b,components,edge_existence,30,0.0,0.0,0.0,1.0,0.498,0.498,none
gemma4-e4b,rwse,edge_existence,30,-0.0333333333333333,-0.1,0.0,1.0,0.642,0.498,partial
gemma4-e4b,filler,edge_existence,30,0.0,0.0,0.0,1.0,0.498,0.498,none
gemma4-e4b,degree,node_count,30,0.0,0.0,0.0,1.0,1.0,0.064,shortcut
gemma4-e4b,filler,node_count,30,0.0,0.0,0.0,1.0,1.0,0.064,shortcut
gemma4-e4b,rwse,node_count,30,0.0,0.0,0.0,1.0,1.0,0.064,shortcut
gemma4-12b,filler,node_count,30,0.0,0.0,0.0,1.0,1.0,0.064,shortcut
gemma4-12b,rwse,node_count,30,0.0,0.0,0.0,1.0,1.0,0.064,shortcut
gemma4-12b,components,cycle_check,30,0.0,0.0,0.0,1.0,1.0,0.832,shortcut
gemma4-12b,clustering,cycle_check,30,0.0,0.0,0.0,1.0,0.832,0.832,partial
gemma4-12b,rwse,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-12b,filler,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-12b,rwse,cycle_check,30,0.0,0.0,0.0,1.0,0.832,0.832,partial
gemma4-12b,filler,cycle_check,30,0.0,0.0,0.0,1.0,0.832,0.832,none
gemma4-12b,clustering,edge_existence,30,0.0,0.0,0.0,1.0,0.72,0.498,partial
qwen3-14b,filler,connected_nodes,30,-0.0333333333333333,-0.1,0.0,1.0,0.082,0.082,none
qwen3-14b,degree,connected_nodes,30,0.0,0.0,0.0,1.0,0.208,0.082,partial
qwen3-14b,components,connected_nodes,30,-0.0333333333333333,-0.1,0.0,1.0,0.082,0.082,none
qwen3-14b,clustering,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-e4b,rwse,node_degree,30,0.0,0.0,0.0,1.0,0.616,0.082,partial
gemma4-e4b,filler,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-e4b,degree,node_degree,30,-0.0333333333333333,-0.1,0.0,1.0,1.0,0.082,shortcut
gemma4-e4b,clustering,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-e4b,clustering,node_count,30,0.0,0.0,0.0,1.0,1.0,0.064,shortcut
qwen3-14b,filler,edge_count,30,0.0,-0.1,0.1,1.0,0.018,0.018,none
qwen3-14b,filler,cycle_check,30,0.0,0.0,0.0,1.0,0.832,0.832,none
qwen3-14b,rwse,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
qwen3-14b,degree,cycle_check,30,0.0333333333333333,0.0,0.1,1.0,0.946,0.832,partial
qwen3-14b,components,cycle_check,30,0.0333333333333333,0.0,0.1,1.0,1.0,0.832,shortcut
qwen3-14b,rwse,cycle_check,30,0.0,0.0,0.0,1.0,0.832,0.832,partial
qwen3-14b,clustering,cycle_check,30,0.0333333333333333,0.0,0.1,1.0,0.832,0.832,partial
qwen3-14b,clustering,node_count,30,0.0333333333333333,0.0,0.1,1.0,1.0,0.064,shortcut
qwen3-14b,components,node_count,30,0.0,-0.1,0.1,1.0,0.076,0.064,none
qwen3-14b,degree,node_count,30,0.0333333333333333,0.0,0.1,1.0,1.0,0.064,shortcut
qwen3-14b,filler,node_count,30,0.0333333333333333,0.0,0.1,1.0,1.0,0.064,shortcut
qwen3-14b,rwse,node_count,30,0.0333333333333333,0.0,0.1,1.0,1.0,0.064,shortcut
qwen3-14b,clustering,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
qwen3-14b,components,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
qwen3-14b,degree,node_degree,30,0.0,0.0,0.0,1.0,1.0,0.082,shortcut
qwen3-14b,filler,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
qwen3-14b,rwse,node_degree,30,0.0,0.0,0.0,1.0,0.616,0.082,partial
qwen3-14b,rwse,edge_count,30,0.0333333333333333,0.0,0.1,1.0,0.018,0.018,none
qwen3-14b,clustering,edge_existence,30,0.0,0.0,0.0,1.0,0.72,0.498,partial
qwen3-14b,components,edge_existence,30,0.0,0.0,0.0,1.0,0.498,0.498,none
qwen3-14b,degree,edge_existence,30,0.0,0.0,0.0,1.0,0.794,0.498,partial
qwen3-14b,filler,edge_existence,30,0.0,0.0,0.0,1.0,0.498,0.498,none
qwen3-14b,rwse,edge_existence,30,0.0,0.0,0.0,1.0,0.642,0.498,partial
qwen3-8b,clustering,cycle_check,30,0.0333333333333333,0.0,0.1,1.0,0.832,0.832,partial
qwen3-8b,rwse,connected_nodes,30,-0.0333333333333333,-0.1,0.0,1.0,0.082,0.082,none
qwen3-8b,filler,connected_nodes,30,-0.0333333333333333,-0.1,0.0,1.0,0.082,0.082,none
qwen3-8b,degree,connected_nodes,30,-0.0333333333333333,-0.1,0.0,1.0,0.208,0.082,partial
qwen3-8b,components,connected_nodes,30,-0.0333333333333333,-0.1,0.0,1.0,0.082,0.082,none
qwen3-8b,clustering,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
qwen3-8b,filler,cycle_check,30,0.0333333333333333,0.0,0.1,1.0,0.832,0.832,none
qwen3-8b,degree,cycle_check,30,-0.0333333333333333,-0.1,0.0,1.0,0.946,0.832,partial
qwen3-8b,filler,edge_count,30,0.0333333333333333,-0.1,0.2,1.0,0.018,0.018,none
qwen3-8b,components,edge_count,30,0.0333333333333333,-0.1333333333333333,0.2,1.0,0.018,0.018,none
qwen3-8b,components,edge_existence,30,0.0,0.0,0.0,1.0,0.498,0.498,none
qwen3-8b,clustering,edge_existence,30,0.0,0.0,0.0,1.0,0.72,0.498,partial
qwen3-8b,degree,edge_existence,30,0.0,0.0,0.0,1.0,0.794,0.498,partial
qwen3-8b,rwse,edge_existence,30,0.0,0.0,0.0,1.0,0.642,0.498,partial
qwen3-8b,clustering,node_count,30,0.0,0.0,0.0,1.0,1.0,0.064,shortcut
qwen3-8b,components,cycle_check,30,0.0,-0.1,0.1,1.0,1.0,0.832,shortcut
qwen3-8b,components,node_count,30,0.0,0.0,0.0,1.0,0.076,0.064,none
qwen3-8b,degree,node_count,30,0.0,0.0,0.0,1.0,1.0,0.064,shortcut
qwen3-8b,rwse,node_count,30,0.0,0.0,0.0,1.0,1.0,0.064,shortcut
qwen3-8b,clustering,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
qwen3-8b,components,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
qwen3-8b,degree,node_degree,30,0.0,0.0,0.0,1.0,1.0,0.082,shortcut
qwen3-8b,filler,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
qwen3-8b,rwse,node_degree,30,0.0,0.0,0.0,1.0,0.616,0.082,partial
