task,arm,cond,slope_none,slope_cond,dslope,lo,hi,sig
node_degree,qwen3-1.7b,components,3.699182212707741,-4.1288349310679235,-7.839591341846763,-18.1899508458148,2.077205011214019,False
node_degree,qwen3-1.7b,clustering,3.699182212707741,-4.524736278868289,-8.235246344867488,-19.313177342300662,3.222483733717475,False
node_degree,qwen3-1.7b,rwse,3.699182212707741,-19.286697254483656,-22.986001348633735,-33.438165775024885,-11.976736911646183,True
node_degree,qwen3-1.7b,degree,3.699182212707741,-10.083279541687572,-13.795019780959274,-25.1188674653399,-2.534189876901625,True
node_degree,qwen3-1.7b,filler,3.699182212707741,-4.71885114992717,-8.428534115539998,-18.22347294201662,1.41637124880766,False
node_degree,qwen3-1.7b,all,3.699182212707741,-18.3746579742466,-22.08718736633192,-34.48201230752522,-9.531443012961706,True
node_degree,qwen3-1.7b-think,components,-8.720751095035522,-1.6758396441156886,7.97983380503252,-1.981589531747529,17.49387069455362,False
node_degree,qwen3-1.7b-think,clustering,-8.720751095035522,-9.120226624011668,-1.1733095162290805,-13.180908590519815,10.730508701579941,False
node_degree,qwen3-1.7b-think,rwse,-8.720751095035522,-7.211999214570854,1.582956562604151,-10.459254529950586,13.053121547579524,False
node_degree,qwen3-1.7b-think,degree,-8.720751095035522,-18.727455137442835,-11.898167309200762,-24.606275175705324,1.1245539884437308,False
node_degree,qwen3-1.7b-think,filler,-8.720751095035522,-16.436790487420343,-9.333937179810336,-20.85110344292562,1.8583896990862288,False
node_degree,qwen3-1.7b-think,all,-8.720751095035522,-24.347256887596043,-15.522630900498665,-28.079674777229894,-2.148871516547441,True
node_degree,qwen3-4b,components,-1.3353243345657777,-1.4808523696350804,-0.14552803506948497,-5.945742172075737,5.759123078126929,False
node_degree,qwen3-4b,clustering,-1.3353243345657777,4.369793091370311,5.705117425935943,-1.415563660839724,13.379368915849414,False
node_degree,qwen3-4b,rwse,-1.3353243345657777,0.04951672758740286,1.3848410621531093,-5.808031545114133,8.979888005357552,False
node_degree,qwen3-4b,degree,-1.3353243345657777,-12.092775284721203,-10.757450950155532,-23.27739905870022,1.4029050987674907,False
