arm,task,density,condition,n,baseline,delta,acc,bar,bar_none,carries
qwen3-1.7b,edge_existence,0.75,components,100,0.77,0.0,0.77,0.7352380952380952,0.7352380952380952,False
qwen3-1.7b,edge_existence,0.75,clustering,100,0.77,4.999999999999993,0.82,0.7266666666666667,0.7352380952380952,False
qwen3-1.7b,edge_existence,0.75,rwse,100,0.77,0.0,0.77,0.5538095238095239,0.7352380952380952,False
qwen3-1.7b,edge_existence,0.75,degree,96,0.7604166666666666,5.2083333333333375,0.8125,0.7457142857142857,0.7352380952380952,False
qwen3-1.7b,edge_existence,0.75,all,100,0.77,8.999999999999996,0.86,0.7409523809523809,0.7352380952380952,False
qwen3-1.7b,edge_existence,0.85,components,100,0.86,-1.0000000000000009,0.85,0.7352380952380952,0.7352380952380952,False
qwen3-1.7b,edge_existence,0.85,clustering,100,0.86,0.0,0.86,0.7266666666666667,0.7352380952380952,False
qwen3-1.7b,edge_existence,0.85,rwse,100,0.86,1.0000000000000009,0.87,0.5538095238095239,0.7352380952380952,False
qwen3-1.7b,edge_existence,0.85,degree,100,0.86,2.0000000000000018,0.88,0.7457142857142857,0.7352380952380952,False
qwen3-1.7b,edge_existence,0.85,all,100,0.86,3.0000000000000027,0.89,0.7409523809523809,0.7352380952380952,False
qwen3-1.7b,node_degree,0.1,components,100,0.91,1.0000000000000009,0.92,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.1,clustering,100,0.91,2.0000000000000018,0.93,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.1,rwse,100,0.91,2.9999999999999916,0.94,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b,node_degree,0.1,degree,100,0.91,2.9999999999999916,0.94,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.1,all,100,0.91,5.999999999999995,0.97,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.2,components,100,0.8,1.9999999999999907,0.82,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.2,clustering,100,0.8,1.9999999999999907,0.82,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.2,rwse,100,0.8,3.9999999999999925,0.84,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b,node_degree,0.2,degree,100,0.8,9.999999999999998,0.9,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.2,all,100,0.8,9.999999999999998,0.9,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.35,components,100,0.41,3.0000000000000027,0.44,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.35,clustering,100,0.41,6.0,0.47,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.35,rwse,99,0.41414141414141414,6.0606060606060606,0.47474747474747475,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b,node_degree,0.35,degree,100,0.41,18.0,0.59,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.35,all,100,0.41,17.0,0.58,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.5,components,100,0.3,1.0000000000000009,0.31,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.5,clustering,100,0.3,2.0000000000000018,0.32,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.5,rwse,100,0.3,3.0000000000000027,0.33,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b,node_degree,0.5,degree,100,0.3,-1.0000000000000009,0.29,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.5,all,100,0.3,8.000000000000002,0.38,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.65,components,99,0.08080808080808081,6.06060606060606,0.1414141414141414,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.65,clustering,99,0.08080808080808081,-1.010101010101011,0.0707070707070707,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.65,rwse,99,0.08080808080808081,-1.010101010101011,0.0707070707070707,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b,node_degree,0.65,degree,99,0.08080808080808081,0.0,0.08080808080808081,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.65,all,99,0.08080808080808081,7.07070707070707,0.15151515151515152,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.75,components,100,0.16,-4.000000000000001,0.12,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.75,clustering,100,0.16,-5.0,0.11,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.75,rwse,100,0.16,-11.0,0.05,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b,node_degree,0.75,degree,100,0.16,-1.0000000000000009,0.15,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.75,all,100,0.16,1.0000000000000009,0.17,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.85,components,100,0.05,-1.0000000000000002,0.04,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.85,clustering,100,0.05,-4.0,0.01,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b,node_degree,0.85,rwse,100,0.05,-4.0,0.01,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b,node_degree,0.85,degree,100,0.05,2.0000000000000004,0.07,1.0,0.1442857142857143,True
qwen3-1.7b,node_degree,0.85,all,100,0.05,0.0,0.05,1.0,0.1442857142857143,True
qwen3-1.7b-think,connected_nodes,0.1,components,95,0.9578947368421052,2.1052631578947434,0.9789473684210527,0.0,0.0,False
qwen3-1.7b-think,connected_nodes,0.1,clustering,96,0.9479166666666666,1.041666666666674,0.9583333333333334,0.0,0.0,False
qwen3-1.7b-think,connected_nodes,0.1,rwse,97,0.9484536082474226,4.123711340206193,0.9896907216494846,0.0014285714285714286,0.0,False
qwen3-1.7b-think,connected_nodes,0.1,degree,96,0.9479166666666666,0.0,0.9479166666666666,0.0014285714285714286,0.0,False
qwen3-1.7b-think,connected_nodes,0.1,all,97,0.9484536082474226,5.154639175257736,1.0,0.008095238095238096,0.0,False
qwen3-1.7b-think,connected_nodes,0.2,components,99,0.9595959595959596,-1.0101010101010055,0.9494949494949495,0.0,0.0,False
qwen3-1.7b-think,connected_nodes,0.2,clustering,100,0.96,0.0,0.96,0.0,0.0,False
qwen3-1.7b-think,connected_nodes,0.2,rwse,100,0.96,-7.9999999999999964,0.88,0.0014285714285714286,0.0,False
qwen3-1.7b-think,connected_nodes,0.2,degree,97,0.9587628865979382,-1.0309278350515538,0.9484536082474226,0.0014285714285714286,0.0,False
qwen3-1.7b-think,connected_nodes,0.2,all,98,0.9591836734693877,0.0,0.9591836734693877,0.008095238095238096,0.0,False
qwen3-1.7b-think,connected_nodes,0.35,components,98,0.6938775510204082,2.0408163265306145,0.7142857142857143,0.0,0.0,False
qwen3-1.7b-think,connected_nodes,0.35,clustering,98,0.6938775510204082,-3.0612244897959218,0.6632653061224489,0.0,0.0,False
qwen3-1.7b-think,connected_nodes,0.35,rwse,98,0.6938775510204082,3.0612244897959218,0.7244897959183674,0.0014285714285714286,0.0,False
qwen3-1.7b-think,connected_nodes,0.35,degree,98,0.6938775510204082,13.265306122448983,0.826530612244898,0.0014285714285714286,0.0,False
qwen3-1.7b-think,connected_nodes,0.35,all,98,0.6938775510204082,9.183673469387754,0.7857142857142857,0.008095238095238096,0.0,False
qwen3-1.7b-think,connected_nodes,0.5,components,100,0.59,8.000000000000007,0.67,0.0,0.0,False
qwen3-1.7b-think,connected_nodes,0.5,clustering,100,0.59,8.000000000000007,0.67,0.0,0.0,False
qwen3-1.7b-think,connected_nodes,0.5,rwse,98,0.5918367346938775,0.0,0.5918367346938775,0.0014285714285714286,0.0,False
qwen3-1.7b-think,connected_nodes,0.5,degree,99,0.5858585858585859,17.17171717171717,0.7575757575757576,0.0014285714285714286,0.0,False
qwen3-1.7b-think,connected_nodes,0.5,all,99,0.5858585858585859,10.1010101010101,0.6868686868686869,0.008095238095238096,0.0,False
qwen3-1.7b-think,edge_existence,0.1,components,98,1.0,-1.0204081632653073,0.9897959183673469,0.7352380952380952,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.1,clustering,98,1.0,-2.0408163265306145,0.9795918367346939,0.7266666666666667,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.1,rwse,99,1.0,0.0,1.0,0.5538095238095239,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.1,degree,98,1.0,-3.0612244897959218,0.9693877551020408,0.7457142857142857,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.1,all,99,1.0,-4.040404040404044,0.9595959595959596,0.7409523809523809,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.2,components,100,1.0,-3.0000000000000027,0.97,0.7352380952380952,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.2,clustering,100,1.0,-2.0000000000000018,0.98,0.7266666666666667,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.2,rwse,100,1.0,-5.000000000000004,0.95,0.5538095238095239,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.2,degree,100,1.0,-5.000000000000004,0.95,0.7457142857142857,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.2,all,100,1.0,-4.0000000000000036,0.96,0.7409523809523809,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.35,components,100,0.97,1.0000000000000009,0.98,0.7352380952380952,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.35,clustering,100,0.97,2.0000000000000018,0.99,0.7266666666666667,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.35,rwse,100,0.97,0.0,0.97,0.5538095238095239,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.35,degree,100,0.97,0.0,0.97,0.7457142857142857,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.35,all,100,0.97,0.0,0.97,0.7409523809523809,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.5,components,100,1.0,0.0,1.0,0.7352380952380952,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.5,clustering,100,1.0,-2.0000000000000018,0.98,0.7266666666666667,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.5,rwse,99,1.0,0.0,1.0,0.5538095238095239,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.5,degree,99,1.0,-1.0101010101010055,0.98989898989899,0.7457142857142857,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.5,all,100,1.0,0.0,1.0,0.7409523809523809,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.65,components,100,0.99,0.0,0.99,0.7352380952380952,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.65,clustering,100,0.99,0.0,0.99,0.7266666666666667,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.65,rwse,100,0.99,1.0000000000000009,1.0,0.5538095238095239,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.65,degree,100,0.99,1.0000000000000009,1.0,0.7457142857142857,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.65,all,100,0.99,-2.0000000000000018,0.97,0.7409523809523809,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.75,components,100,0.98,0.0,0.98,0.7352380952380952,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.75,clustering,100,0.98,2.0000000000000018,1.0,0.7266666666666667,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.75,rwse,100,0.98,1.0000000000000009,0.99,0.5538095238095239,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.75,degree,100,0.98,0.0,0.98,0.7457142857142857,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.75,all,100,0.98,1.0000000000000009,0.99,0.7409523809523809,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.85,components,100,1.0,0.0,1.0,0.7352380952380952,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.85,clustering,100,1.0,-3.0000000000000027,0.97,0.7266666666666667,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.85,rwse,100,1.0,-1.0000000000000009,0.99,0.5538095238095239,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.85,degree,100,1.0,-3.0000000000000027,0.97,0.7457142857142857,0.7352380952380952,False
qwen3-1.7b-think,edge_existence,0.85,all,100,1.0,-1.0000000000000009,0.99,0.7409523809523809,0.7352380952380952,False
qwen3-1.7b-think,node_degree,0.1,components,95,0.9368421052631579,2.1052631578947323,0.9578947368421052,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.1,clustering,96,0.9270833333333334,2.083333333333326,0.9479166666666666,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.1,rwse,97,0.9278350515463918,3.0927835051546393,0.9587628865979382,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.1,degree,97,0.9278350515463918,5.154639175257724,0.979381443298969,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.1,all,97,0.9278350515463918,5.154639175257724,0.979381443298969,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.2,components,100,0.95,-5.999999999999995,0.89,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.2,clustering,100,0.95,2.0000000000000018,0.97,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.2,rwse,98,0.9489795918367347,-2.0408163265306145,0.9285714285714286,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.2,degree,98,0.9489795918367347,-1.0204081632653073,0.9387755102040817,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.2,all,99,0.9595959595959596,1.0101010101010166,0.9696969696969697,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.35,components,100,0.6,2.0000000000000018,0.62,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.35,clustering,100,0.6,1.0000000000000009,0.61,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.35,rwse,100,0.6,5.000000000000004,0.65,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.35,degree,92,0.6086956521739131,22.826086956521742,0.8369565217391305,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.35,all,100,0.6,21.999999999999996,0.82,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.5,components,100,0.6,-2.0000000000000018,0.58,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.5,clustering,100,0.6,-1.0000000000000009,0.59,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.5,rwse,99,0.5959595959595959,4.040404040404044,0.6363636363636364,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.5,degree,89,0.6067415730337079,21.34831460674157,0.8202247191011236,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.5,all,100,0.6,18.000000000000004,0.78,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.65,components,99,0.5151515151515151,-6.0606060606060606,0.45454545454545453,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.65,clustering,100,0.52,-13.0,0.39,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.65,rwse,100,0.52,-9.000000000000002,0.43,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.65,degree,86,0.5465116279069767,23.25581395348838,0.7790697674418605,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.65,all,100,0.52,29.999999999999993,0.82,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.75,components,95,0.4631578947368421,-7.36842105263158,0.3894736842105263,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.75,clustering,96,0.46875,-9.375,0.375,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.75,rwse,96,0.46875,-8.333333333333332,0.3854166666666667,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.75,degree,84,0.5119047619047619,25.0,0.7619047619047619,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.75,all,93,0.4838709677419355,21.505376344086024,0.6989247311827957,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.85,components,96,0.4375,8.333333333333337,0.5208333333333334,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.85,clustering,99,0.42424242424242425,-7.070707070707072,0.35353535353535354,0.1442857142857143,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.85,rwse,98,0.41836734693877553,3.061224489795916,0.4489795918367347,0.21047619047619048,0.1442857142857143,False
qwen3-1.7b-think,node_degree,0.85,degree,93,0.43010752688172044,45.16129032258064,0.8817204301075269,1.0,0.1442857142857143,True
qwen3-1.7b-think,node_degree,0.85,all,98,0.42857142857142855,16.3265306122449,0.5918367346938775,1.0,0.1442857142857143,True
qwen3-4b,connected_nodes,0.1,components,100,0.93,6.999999999999995,1.0,0.0,0.0,False
qwen3-4b,connected_nodes,0.1,clustering,100,0.93,-8.000000000000007,0.85,0.0,0.0,False
qwen3-4b,connected_nodes,0.1,rwse,100,0.93,-10.000000000000009,0.83,0.0014285714285714286,0.0,False
qwen3-4b,connected_nodes,0.1,degree,100,0.93,-7.000000000000006,0.86,0.0014285714285714286,0.0,False
qwen3-4b,connected_nodes,0.1,all,100,0.93,-11.00000000000001,0.82,0.008095238095238096,0.0,False
qwen3-4b,connected_nodes,0.2,components,100,0.88,10.999999999999998,0.99,0.0,0.0,False
qwen3-4b,connected_nodes,0.2,clustering,100,0.88,8.999999999999996,0.97,0.0,0.0,False
qwen3-4b,connected_nodes,0.2,rwse,100,0.88,-5.000000000000004,0.83,0.0014285714285714286,0.0,False
qwen3-4b,connected_nodes,0.2,degree,100,0.88,2.0000000000000018,0.9,0.0014285714285714286,0.0,False
qwen3-4b,connected_nodes,0.2,all,100,0.88,0.0,0.88,0.008095238095238096,0.0,False
qwen3-4b,connected_nodes,0.35,components,100,0.84,9.999999999999998,0.94,0.0,0.0,False
qwen3-4b,connected_nodes,0.35,clustering,100,0.84,5.000000000000004,0.89,0.0,0.0,False
qwen3-4b,connected_nodes,0.35,rwse,100,0.84,5.000000000000004,0.89,0.0014285714285714286,0.0,False
qwen3-4b,connected_nodes,0.35,degree,100,0.84,-3.9999999999999925,0.8,0.0014285714285714286,0.0,False
qwen3-4b,connected_nodes,0.35,all,100,0.84,3.0000000000000027,0.87,0.008095238095238096,0.0,False
qwen3-4b,connected_nodes,0.5,components,100,0.79,8.999999999999996,0.88,0.0,0.0,False
qwen3-4b,connected_nodes,0.5,clustering,100,0.79,-2.0000000000000018,0.77,0.0,0.0,False
qwen3-4b,connected_nodes,0.5,rwse,100,0.79,9.999999999999998,0.89,0.0014285714285714286,0.0,False
qwen3-4b,connected_nodes,0.5,degree,100,0.79,-3.0000000000000027,0.76,0.0014285714285714286,0.0,False
qwen3-4b,connected_nodes,0.5,all,100,0.79,-3.0000000000000027,0.76,0.008095238095238096,0.0,False
qwen3-4b,edge_count,0.1,components,100,0.05,-5.0,0.0,0.03047619047619048,0.03047619047619048,False
qwen3-4b,edge_count,0.1,clustering,99,0.050505050505050504,-5.05050505050505,0.0,0.10428571428571429,0.03047619047619048,False
qwen3-4b,edge_count,0.1,rwse,98,0.05102040816326531,-4.081632653061225,0.01020408163265306,0.03047619047619048,0.03047619047619048,False
qwen3-4b,edge_count,0.1,degree,97,0.05154639175257732,22.68041237113402,0.27835051546391754,1.0,0.03047619047619048,True
qwen3-4b,edge_count,0.1,all,100,0.05,-2.0000000000000004,0.03,1.0,0.03047619047619048,True
qwen3-4b,edge_count,0.2,components,100,0.02,-1.0,0.01,0.03047619047619048,0.03047619047619048,False
qwen3-4b,edge_count,0.2,clustering,100,0.02,-1.0,0.01,0.10428571428571429,0.03047619047619048,False
qwen3-4b,edge_count,0.2,rwse,100,0.02,-1.0,0.01,0.03047619047619048,0.03047619047619048,False
qwen3-4b,edge_count,0.2,degree,99,0.020202020202020204,30.303030303030305,0.32323232323232326,1.0,0.03047619047619048,True
qwen3-4b,edge_count,0.2,all,100,0.02,0.9999999999999999,0.03,1.0,0.03047619047619048,True
qwen3-4b,edge_count,0.35,components,99,0.010101010101010102,1.0101010101010102,0.020202020202020204,0.03047619047619048,0.03047619047619048,False
qwen3-4b,edge_count,0.35,clustering,100,0.01,1.0,0.02,0.10428571428571429,0.03047619047619048,False
qwen3-4b,edge_count,0.35,rwse,100,0.01,-1.0,0.0,0.03047619047619048,0.03047619047619048,False
