arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,bh_significant
qwen3-1.7b-think,lo,cycle_check,filler,none,388,1.0,1.0,0.0,0,0,1.0,False
qwen3-1.7b-think,lo,cycle_check,all,none,373,1.0,1.0,0.0,0,0,1.0,False
qwen3-1.7b-think,lo,edge_existence,components,none,398,0.9925,0.9849,-0.75,6,3,0.5078125,False
qwen3-1.7b-think,lo,edge_existence,clustering,none,398,0.9925,0.9824,-1.01,6,2,0.2890625,False
qwen3-1.7b-think,lo,edge_existence,rwse,none,398,0.9925,0.9799,-1.26,8,3,0.2265625,False
qwen3-1.7b-think,lo,edge_existence,degree,none,397,0.9924,0.9698,-2.27,11,2,0.0224609375,False
qwen3-1.7b-think,lo,edge_existence,filler,none,399,0.9925,0.985,-0.75,6,3,0.5078125,False
qwen3-1.7b-think,lo,edge_existence,all,none,399,0.9925,0.9724,-2.01,10,2,0.03857421875,False
qwen3-1.7b-think,lo,node_count,components,none,342,0.9883,0.9971,0.88,1,4,0.375,False
qwen3-1.7b-think,lo,node_count,clustering,none,369,0.9864,1.0,1.36,0,5,0.0625,False
qwen3-1.7b-think,lo,node_count,rwse,none,369,0.9864,1.0,1.36,0,5,0.0625,False
qwen3-1.7b-think,lo,node_count,degree,none,360,0.9861,0.9944,0.83,2,5,0.453125,False
qwen3-1.7b-think,lo,node_count,filler,none,369,0.9864,1.0,1.36,0,5,0.0625,False
qwen3-1.7b-think,lo,node_count,all,none,369,0.9864,1.0,1.36,0,5,0.0625,False
qwen3-1.7b-think,lo,node_degree,components,none,395,0.7696,0.7595,-1.01,25,21,0.6587380770236564,False
qwen3-1.7b-think,lo,node_degree,clustering,none,396,0.7677,0.7778,1.01,27,31,0.6940040940761316,False
qwen3-1.7b-think,lo,node_degree,rwse,none,394,0.7665,0.7919,2.54,31,41,0.28878428041410487,False
qwen3-1.7b-think,lo,node_degree,degree,none,376,0.7793,0.8963,11.7,15,59,2.553422007441105e-07,True
qwen3-1.7b-think,lo,node_degree,filler,none,396,0.7677,0.7323,-3.54,38,24,0.09795444051950737,False
qwen3-1.7b-think,lo,node_degree,all,none,396,0.7702,0.8864,11.62,17,63,2.2661405044675457e-07,True
qwen3-1.7b-think,hi,edge_existence,components,none,300,0.99,0.99,0.0,2,2,1.0,False
qwen3-1.7b-think,hi,edge_existence,clustering,none,300,0.99,0.9867,-0.33,4,3,1.0,False
qwen3-1.7b-think,hi,edge_existence,rwse,none,300,0.99,0.9933,0.33,2,3,1.0,False
qwen3-1.7b-think,hi,edge_existence,degree,none,300,0.99,0.9833,-0.67,5,3,0.7265625,False
qwen3-1.7b-think,hi,edge_existence,filler,none,300,0.99,0.9833,-0.67,4,2,0.6875,False
qwen3-1.7b-think,hi,edge_existence,all,none,300,0.99,0.9833,-0.67,5,3,0.7265625,False
qwen3-1.7b-think,hi,node_degree,components,none,290,0.4724,0.4552,-1.72,31,26,0.5966417603730826,False
qwen3-1.7b-think,hi,node_degree,clustering,none,295,0.4712,0.3729,-9.83,68,39,0.006517764631278962,True
qwen3-1.7b-think,hi,node_degree,rwse,none,294,0.4694,0.4218,-4.76,57,43,0.19334790449564246,False
qwen3-1.7b-think,hi,node_degree,degree,none,263,0.4943,0.8099,31.56,14,97,1.8853635158491296e-16,True
qwen3-1.7b-think,hi,node_degree,filler,none,293,0.4744,0.3481,-12.63,68,31,0.00025534608649658137,True
qwen3-1.7b-think,hi,node_degree,all,none,291,0.4777,0.7045,22.68,37,103,2.1773240965610595e-08,True
qwen3-4b,lo,connected_nodes,components,none,400,0.86,0.9525,9.25,7,44,1.2115257419509362e-07,True
qwen3-4b,lo,connected_nodes,clustering,none,400,0.86,0.87,1.0,29,33,0.7035366713552734,False
qwen3-4b,lo,connected_nodes,rwse,none,400,0.86,0.86,0.0,34,34,1.0,False
qwen3-4b,lo,connected_nodes,degree,none,400,0.86,0.83,-3.0,42,30,0.19450516586739908,False
qwen3-4b,lo,connected_nodes,filler,none,400,0.86,0.735,-12.5,71,21,1.6168121721594917e-07,True
qwen3-4b,lo,connected_nodes,all,none,400,0.86,0.8325,-2.75,43,32,0.24804574189252795,False
qwen3-4b,lo,cycle_check,components,none,391,0.9974,0.9847,-1.28,6,1,0.125,False
qwen3-4b,lo,cycle_check,clustering,none,395,0.9975,1.0,0.25,0,1,1.0,False
qwen3-4b,lo,cycle_check,rwse,none,392,0.9974,1.0,0.26,0,1,1.0,False
qwen3-4b,lo,cycle_check,degree,none,391,0.9974,0.9821,-1.53,6,0,0.03125,False
qwen3-4b,lo,cycle_check,filler,none,392,1.0,0.9974,-0.26,1,0,1.0,False
qwen3-4b,lo,cycle_check,all,none,395,0.9975,0.9924,-0.51,3,1,0.625,False
qwen3-4b,lo,edge_count,components,none,397,0.0202,0.0076,-1.26,7,2,0.1796875,False
qwen3-4b,lo,edge_count,clustering,none,399,0.0201,0.0075,-1.25,8,3,0.2265625,False
qwen3-4b,lo,edge_count,rwse,none,398,0.0201,0.005,-1.51,7,1,0.0703125,False
qwen3-4b,lo,edge_count,degree,none,393,0.0204,0.2977,27.74,5,114,5.743453631889443e-28,True
qwen3-4b,lo,edge_count,filler,none,400,0.02,0.0325,1.25,5,10,0.3017578125,False
