arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,density,bh_significant
qwen3-1.7b,lo,edge_count,degree,none,86,0.0233,0.0349,1.16,2,3,1.0,0.2,False
qwen3-1.7b,lo,edge_count,degree,none,56,0.0,0.0893,8.93,0,5,0.0625,0.5,False
qwen3-1.7b,lo,edge_count,filler,none,60,0.0333,0.0,-3.33,2,0,0.5,0.1,False
qwen3-1.7b,lo,edge_count,filler,none,82,0.0244,0.0366,1.22,1,2,1.0,0.2,False
qwen3-1.7b,lo,edge_count,all,none,52,0.0192,0.0,-1.92,1,0,1.0,0.1,False
qwen3-1.7b,lo,edge_count,all,none,83,0.0241,0.012,-1.2,2,1,1.0,0.2,False
qwen3-1.7b,lo,edge_existence,components,none,100,0.89,0.86,-3.0,5,2,0.453125,0.1,False
qwen3-1.7b,lo,edge_existence,components,none,100,0.73,0.62,-11.0,17,6,0.03468966484069824,0.2,False
qwen3-1.7b,lo,edge_existence,components,none,100,0.66,0.5,-16.0,18,2,0.0004024505615234375,0.35,True
qwen3-1.7b,lo,edge_existence,components,none,100,0.54,0.51,-3.0,4,1,0.375,0.5,False
qwen3-1.7b,lo,edge_existence,clustering,none,100,0.89,0.84,-5.0,9,4,0.266845703125,0.1,False
qwen3-1.7b,lo,edge_existence,clustering,none,100,0.73,0.74,1.0,15,16,1.0,0.2,False
qwen3-1.7b,lo,edge_existence,clustering,none,100,0.66,0.72,6.0,8,14,0.28627872467041016,0.35,False
qwen3-1.7b,lo,edge_existence,clustering,none,100,0.54,0.67,13.0,1,14,0.0009765625,0.5,True
qwen3-1.7b,lo,edge_existence,rwse,none,99,0.8889,0.9192,3.03,3,6,0.5078125,0.1,False
qwen3-1.7b,lo,edge_existence,rwse,none,100,0.73,0.68,-5.0,16,11,0.44206833839416504,0.2,False
qwen3-1.7b,lo,edge_existence,rwse,none,100,0.66,0.76,10.0,13,23,0.13249816396273673,0.35,False
qwen3-1.7b,lo,edge_existence,rwse,none,100,0.54,0.67,13.0,2,15,0.002349853515625,0.5,True
qwen3-1.7b,lo,edge_existence,degree,none,100,0.89,0.83,-6.0,7,1,0.0703125,0.1,False
qwen3-1.7b,lo,edge_existence,degree,none,100,0.73,0.7,-3.0,15,12,0.7011080384254456,0.2,False
qwen3-1.7b,lo,edge_existence,degree,none,100,0.66,0.67,1.0,10,11,1.0,0.35,False
qwen3-1.7b,lo,edge_existence,degree,none,100,0.54,0.78,24.0,1,25,8.046627044677734e-07,0.5,True
qwen3-1.7b,lo,edge_existence,filler,none,100,0.89,0.84,-5.0,9,4,0.266845703125,0.1,False
qwen3-1.7b,lo,edge_existence,filler,none,100,0.73,0.53,-20.0,25,5,0.00032491423189640045,0.2,True
qwen3-1.7b,lo,edge_existence,filler,none,100,0.66,0.34,-32.0,33,1,4.0745362639427185e-09,0.35,True
qwen3-1.7b,lo,edge_existence,filler,none,100,0.54,0.48,-6.0,6,0,0.03125,0.5,True
qwen3-1.7b,lo,edge_existence,all,none,100,0.89,0.89,0.0,6,6,1.0,0.1,False
qwen3-1.7b,lo,edge_existence,all,none,100,0.73,0.81,8.0,8,16,0.15158963203430176,0.2,False
qwen3-1.7b,lo,edge_existence,all,none,100,0.66,0.78,12.0,14,26,0.0806904677519924,0.35,False
qwen3-1.7b,lo,edge_existence,all,none,100,0.54,0.8,26.0,1,27,2.1606683731079102e-07,0.5,True
qwen3-1.7b,lo,node_count,components,none,100,0.02,0.19,17.0,2,19,0.00022125244140625,0.1,True
qwen3-1.7b,lo,node_count,components,none,100,0.0,0.41,41.0,0,41,9.094947017729282e-13,0.2,True
qwen3-1.7b,lo,node_count,components,none,100,0.28,0.7,42.0,7,49,7.455210310203242e-09,0.35,True
qwen3-1.7b,lo,node_count,components,none,100,0.96,0.81,-15.0,19,4,0.002599477767944336,0.5,True
qwen3-1.7b,lo,node_count,clustering,none,100,0.02,0.95,93.0,0,93,2.0194839173657902e-28,0.1,True
qwen3-1.7b,lo,node_count,clustering,none,100,0.0,1.0,100.0,0,100,1.5777218104420236e-30,0.2,True
qwen3-1.7b,lo,node_count,clustering,none,100,0.28,1.0,72.0,0,72,4.235164736271502e-22,0.35,True
qwen3-1.7b,lo,node_count,clustering,none,100,0.96,1.0,4.0,0,4,0.125,0.5,False
qwen3-1.7b,lo,node_count,rwse,none,100,0.02,0.32,30.0,1,31,1.5366822481155396e-08,0.1,True
qwen3-1.7b,lo,node_count,rwse,none,100,0.0,0.17,17.0,0,17,1.52587890625e-05,0.2,True
qwen3-1.7b,lo,node_count,rwse,none,100,0.28,0.55,27.0,11,38,0.00014197068519905542,0.35,True
qwen3-1.7b,lo,node_count,rwse,none,100,0.96,0.3,-66.0,67,1,4.675621868843738e-19,0.5,True
qwen3-1.7b,lo,node_count,degree,none,100,0.02,0.03,1.0,2,3,1.0,0.1,False
qwen3-1.7b,lo,node_count,degree,none,100,0.0,0.05,5.0,0,5,0.0625,0.2,False
qwen3-1.7b,lo,node_count,degree,none,100,0.28,0.45,17.0,14,31,0.016094360031274846,0.35,True
qwen3-1.7b,lo,node_count,degree,none,100,0.96,1.0,4.0,0,4,0.125,0.5,False
qwen3-1.7b,lo,node_count,filler,none,100,0.02,0.16,14.0,2,16,0.001312255859375,0.1,True
qwen3-1.7b,lo,node_count,filler,none,100,0.0,0.7,70.0,0,70,1.6940658945086007e-21,0.2,True
qwen3-1.7b,lo,node_count,filler,none,100,0.28,0.99,71.0,0,71,8.470329472543003e-22,0.35,True
qwen3-1.7b,lo,node_count,filler,none,100,0.96,1.0,4.0,0,4,0.125,0.5,False
qwen3-1.7b,lo,node_count,all,none,100,0.02,0.7,68.0,0,68,6.776263578034403e-21,0.1,True
qwen3-1.7b,lo,node_count,all,none,100,0.0,0.52,52.0,0,52,4.440892098500626e-16,0.2,True
qwen3-1.7b,lo,node_count,all,none,100,0.28,0.94,66.0,3,69,2.6371947296289014e-17,0.35,True
qwen3-1.7b,lo,node_count,all,none,100,0.96,0.98,2.0,2,4,0.6875,0.5,False
qwen3-1.7b,lo,node_degree,components,none,100,0.91,0.92,1.0,3,4,1.0,0.1,False
qwen3-1.7b,lo,node_degree,components,none,100,0.8,0.82,2.0,5,7,0.7744140625,0.2,False
qwen3-1.7b,lo,node_degree,components,none,100,0.41,0.44,3.0,10,13,0.6776394844055176,0.35,False
qwen3-1.7b,lo,node_degree,components,none,100,0.3,0.31,1.0,11,12,1.0,0.5,False
qwen3-1.7b,lo,node_degree,clustering,none,100,0.91,0.93,2.0,4,6,0.75390625,0.1,False
qwen3-1.7b,lo,node_degree,clustering,none,100,0.8,0.82,2.0,10,12,0.8318119049072266,0.2,False
qwen3-1.7b,lo,node_degree,clustering,none,100,0.41,0.47,6.0,15,21,0.40503224614076316,0.35,False
qwen3-1.7b,lo,node_degree,clustering,none,100,0.3,0.32,2.0,12,14,0.8450189828872681,0.5,False
qwen3-1.7b,lo,node_degree,rwse,none,100,0.91,0.94,3.0,3,6,0.5078125,0.1,False
qwen3-1.7b,lo,node_degree,rwse,none,100,0.8,0.84,4.0,7,11,0.480682373046875,0.2,False
qwen3-1.7b,lo,node_degree,rwse,none,99,0.4141,0.4747,6.06,14,20,0.39152830513194203,0.35,False
qwen3-1.7b,lo,node_degree,rwse,none,100,0.3,0.33,3.0,13,16,0.711071103811264,0.5,False
qwen3-1.7b,lo,node_degree,degree,none,100,0.91,0.94,3.0,2,5,0.453125,0.1,False
qwen3-1.7b,lo,node_degree,degree,none,100,0.8,0.9,10.0,2,12,0.012939453125,0.2,False
qwen3-1.7b,lo,node_degree,degree,none,100,0.41,0.59,18.0,9,27,0.00393317302223295,0.35,True
qwen3-1.7b,lo,node_degree,degree,none,100,0.3,0.29,-1.0,14,13,1.0,0.5,False
qwen3-1.7b,lo,node_degree,filler,none,100,0.91,0.96,5.0,1,6,0.125,0.1,False
qwen3-1.7b,lo,node_degree,filler,none,100,0.8,0.73,-7.0,11,4,0.11846923828125,0.2,False
qwen3-1.7b,lo,node_degree,filler,none,100,0.41,0.41,0.0,11,11,1.0,0.35,False
qwen3-1.7b,lo,node_degree,filler,none,100,0.3,0.3,0.0,11,11,1.0,0.5,False
qwen3-1.7b,lo,node_degree,all,none,100,0.91,0.97,6.0,3,9,0.14599609375,0.1,False
qwen3-1.7b,lo,node_degree,all,none,100,0.8,0.9,10.0,6,16,0.052478790283203125,0.2,False
qwen3-1.7b,lo,node_degree,all,none,100,0.41,0.58,17.0,13,30,0.0137181850586785,0.35,True
qwen3-1.7b,lo,node_degree,all,none,100,0.3,0.38,8.0,14,22,0.2429849540349096,0.5,False
qwen3-1.7b,hi,edge_existence,components,none,100,0.68,0.66,-2.0,2,0,0.5,0.65,False
qwen3-1.7b,hi,edge_existence,components,none,100,0.77,0.77,0.0,0,0,1.0,0.75,False
qwen3-1.7b,hi,edge_existence,components,none,100,0.86,0.85,-1.0,1,0,1.0,0.85,False
qwen3-1.7b,hi,edge_existence,clustering,none,100,0.68,0.67,-1.0,2,1,1.0,0.65,False
qwen3-1.7b,hi,edge_existence,clustering,none,100,0.77,0.82,5.0,3,8,0.2265625,0.75,False
qwen3-1.7b,hi,edge_existence,clustering,none,100,0.86,0.86,0.0,0,0,1.0,0.85,False
qwen3-1.7b,hi,edge_existence,rwse,none,100,0.68,0.7,2.0,2,4,0.6875,0.65,False
qwen3-1.7b,hi,edge_existence,rwse,none,100,0.77,0.77,0.0,1,1,1.0,0.75,False
qwen3-1.7b,hi,edge_existence,rwse,none,100,0.86,0.87,1.0,1,2,1.0,0.85,False
qwen3-1.7b,hi,edge_existence,degree,none,100,0.68,0.71,3.0,0,3,0.25,0.65,False
qwen3-1.7b,hi,edge_existence,degree,none,96,0.7604,0.8125,5.21,4,9,0.266845703125,0.75,False
qwen3-1.7b,hi,edge_existence,degree,none,100,0.86,0.88,2.0,1,3,0.625,0.85,False
qwen3-1.7b,hi,edge_existence,filler,none,100,0.68,0.66,-2.0,2,0,0.5,0.65,False
qwen3-1.7b,hi,edge_existence,filler,none,100,0.77,0.76,-1.0,1,0,1.0,0.75,False
qwen3-1.7b,hi,edge_existence,filler,none,100,0.86,0.85,-1.0,1,0,1.0,0.85,False
qwen3-1.7b,hi,edge_existence,all,none,100,0.68,0.76,8.0,0,8,0.0078125,0.65,True
qwen3-1.7b,hi,edge_existence,all,none,100,0.77,0.86,9.0,1,10,0.01171875,0.75,False
qwen3-1.7b,hi,edge_existence,all,none,100,0.86,0.89,3.0,2,5,0.453125,0.85,False
qwen3-1.7b,hi,node_degree,components,none,99,0.0808,0.1414,6.06,3,9,0.14599609375,0.65,False
qwen3-1.7b,hi,node_degree,components,none,100,0.16,0.12,-4.0,8,4,0.3876953125,0.75,False
qwen3-1.7b,hi,node_degree,components,none,100,0.05,0.04,-1.0,3,2,1.0,0.85,False
qwen3-1.7b,hi,node_degree,clustering,none,99,0.0808,0.0707,-1.01,6,5,1.0,0.65,False
qwen3-1.7b,hi,node_degree,clustering,none,100,0.16,0.11,-5.0,13,8,0.38331031799316406,0.75,False
qwen3-1.7b,hi,node_degree,clustering,none,100,0.05,0.01,-4.0,5,1,0.21875,0.85,False
qwen3-1.7b,hi,node_degree,rwse,none,99,0.0808,0.0707,-1.01,5,4,1.0,0.65,False
qwen3-1.7b,hi,node_degree,rwse,none,100,0.16,0.05,-11.0,14,3,0.012725830078125,0.75,True
qwen3-1.7b,hi,node_degree,rwse,none,100,0.05,0.01,-4.0,5,1,0.21875,0.85,False
qwen3-1.7b,hi,node_degree,degree,none,99,0.0808,0.0808,0.0,7,7,1.0,0.65,False
qwen3-1.7b,hi,node_degree,degree,none,100,0.16,0.15,-1.0,13,12,1.0,0.75,False
qwen3-1.7b,hi,node_degree,degree,none,100,0.05,0.07,2.0,5,7,0.7744140625,0.85,False
qwen3-1.7b,hi,node_degree,filler,none,99,0.0808,0.0707,-1.01,6,5,1.0,0.65,False
qwen3-1.7b,hi,node_degree,filler,none,100,0.16,0.03,-13.0,16,3,0.004425048828125,0.75,True
qwen3-1.7b,hi,node_degree,filler,none,100,0.05,0.03,-2.0,5,3,0.7265625,0.85,False
qwen3-1.7b,hi,node_degree,all,none,99,0.0808,0.1515,7.07,5,12,0.143463134765625,0.65,False
qwen3-1.7b,hi,node_degree,all,none,100,0.16,0.17,1.0,14,15,1.0,0.75,False
qwen3-1.7b,hi,node_degree,all,none,100,0.05,0.05,0.0,4,4,1.0,0.85,False
qwen3-1.7b-think,lo,connected_nodes,components,none,95,0.9579,0.9789,2.11,1,3,0.625,0.1,False
qwen3-1.7b-think,lo,connected_nodes,components,none,99,0.9596,0.9495,-1.01,3,2,1.0,0.2,False
qwen3-1.7b-think,lo,connected_nodes,components,none,98,0.6939,0.7143,2.04,6,8,0.79052734375,0.35,False
qwen3-1.7b-think,lo,connected_nodes,components,none,100,0.59,0.67,8.0,6,14,0.11531829833984375,0.5,False
qwen3-1.7b-think,lo,connected_nodes,clustering,none,96,0.9479,0.9583,1.04,3,4,1.0,0.1,False
qwen3-1.7b-think,lo,connected_nodes,clustering,none,100,0.96,0.96,0.0,3,3,1.0,0.2,False
qwen3-1.7b-think,lo,connected_nodes,clustering,none,98,0.6939,0.6633,-3.06,14,11,0.6900379657745361,0.35,False
qwen3-1.7b-think,lo,connected_nodes,clustering,none,100,0.59,0.67,8.0,10,18,0.1849333420395851,0.5,False
qwen3-1.7b-think,lo,connected_nodes,rwse,none,97,0.9485,0.9897,4.12,0,4,0.125,0.1,False
qwen3-1.7b-think,lo,connected_nodes,rwse,none,100,0.96,0.88,-8.0,10,2,0.03857421875,0.2,False
qwen3-1.7b-think,lo,connected_nodes,rwse,none,98,0.6939,0.7245,3.06,10,13,0.6776394844055176,0.35,False
qwen3-1.7b-think,lo,connected_nodes,rwse,none,98,0.5918,0.5918,0.0,11,11,1.0,0.5,False
qwen3-1.7b-think,lo,connected_nodes,degree,none,96,0.9479,0.9479,0.0,3,3,1.0,0.1,False
qwen3-1.7b-think,lo,connected_nodes,degree,none,97,0.9588,0.9485,-1.03,2,1,1.0,0.2,False
qwen3-1.7b-think,lo,connected_nodes,degree,none,98,0.6939,0.8265,13.27,4,17,0.007197380065917969,0.35,True
qwen3-1.7b-think,lo,connected_nodes,degree,none,99,0.5859,0.7576,17.17,6,23,0.002315700054168701,0.5,True
qwen3-1.7b-think,lo,connected_nodes,filler,none,97,0.9485,0.9588,1.03,2,3,1.0,0.1,False
qwen3-1.7b-think,lo,connected_nodes,filler,none,99,0.9596,0.9798,2.02,1,3,0.625,0.2,False
qwen3-1.7b-think,lo,connected_nodes,filler,none,98,0.6939,0.7245,3.06,7,10,0.629058837890625,0.35,False
qwen3-1.7b-think,lo,connected_nodes,filler,none,100,0.59,0.61,2.0,11,13,0.8388197422027588,0.5,False
qwen3-1.7b-think,lo,connected_nodes,all,none,97,0.9485,1.0,5.15,0,5,0.0625,0.1,False
qwen3-1.7b-think,lo,connected_nodes,all,none,98,0.9592,0.9592,0.0,2,2,1.0,0.2,False
qwen3-1.7b-think,lo,connected_nodes,all,none,98,0.6939,0.7857,9.18,4,13,0.049041748046875,0.35,False
qwen3-1.7b-think,lo,connected_nodes,all,none,99,0.5859,0.6869,10.1,11,21,0.11018416518345475,0.5,False
qwen3-1.7b-think,lo,cycle_check,components,none,85,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-1.7b-think,lo,cycle_check,components,none,94,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b-think,lo,cycle_check,components,none,82,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b-think,lo,cycle_check,components,none,85,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b-think,lo,cycle_check,clustering,none,98,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-1.7b-think,lo,cycle_check,clustering,none,98,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b-think,lo,cycle_check,clustering,none,89,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b-think,lo,cycle_check,clustering,none,91,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b-think,lo,cycle_check,rwse,none,99,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-1.7b-think,lo,cycle_check,rwse,none,97,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b-think,lo,cycle_check,rwse,none,95,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b-think,lo,cycle_check,rwse,none,95,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b-think,lo,cycle_check,degree,none,87,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-1.7b-think,lo,cycle_check,degree,none,72,1.0,0.9861,-1.39,1,0,1.0,0.2,False
qwen3-1.7b-think,lo,cycle_check,degree,none,63,1.0,0.9841,-1.59,1,0,1.0,0.35,False
qwen3-1.7b-think,lo,cycle_check,degree,none,73,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b-think,lo,cycle_check,filler,none,99,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-1.7b-think,lo,cycle_check,filler,none,98,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b-think,lo,cycle_check,filler,none,95,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b-think,lo,cycle_check,filler,none,96,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b-think,lo,cycle_check,all,none,94,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-1.7b-think,lo,cycle_check,all,none,94,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b-think,lo,cycle_check,all,none,93,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b-think,lo,cycle_check,all,none,92,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b-think,lo,edge_existence,components,none,98,1.0,0.9898,-1.02,1,0,1.0,0.1,False
qwen3-1.7b-think,lo,edge_existence,components,none,100,1.0,0.97,-3.0,3,0,0.25,0.2,False
qwen3-1.7b-think,lo,edge_existence,components,none,100,0.97,0.98,1.0,2,3,1.0,0.35,False
qwen3-1.7b-think,lo,edge_existence,components,none,100,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b-think,lo,edge_existence,clustering,none,98,1.0,0.9796,-2.04,2,0,0.5,0.1,False
qwen3-1.7b-think,lo,edge_existence,clustering,none,100,1.0,0.98,-2.0,2,0,0.5,0.2,False
qwen3-1.7b-think,lo,edge_existence,clustering,none,100,0.97,0.99,2.0,0,2,0.5,0.35,False
qwen3-1.7b-think,lo,edge_existence,clustering,none,100,1.0,0.98,-2.0,2,0,0.5,0.5,False
qwen3-1.7b-think,lo,edge_existence,rwse,none,99,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-1.7b-think,lo,edge_existence,rwse,none,100,1.0,0.95,-5.0,5,0,0.0625,0.2,False
qwen3-1.7b-think,lo,edge_existence,rwse,none,100,0.97,0.97,0.0,3,3,1.0,0.35,False
qwen3-1.7b-think,lo,edge_existence,rwse,none,99,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b-think,lo,edge_existence,degree,none,98,1.0,0.9694,-3.06,3,0,0.25,0.1,False
qwen3-1.7b-think,lo,edge_existence,degree,none,100,1.0,0.95,-5.0,5,0,0.0625,0.2,False
qwen3-1.7b-think,lo,edge_existence,degree,none,100,0.97,0.97,0.0,2,2,1.0,0.35,False
qwen3-1.7b-think,lo,edge_existence,degree,none,99,1.0,0.9899,-1.01,1,0,1.0,0.5,False
qwen3-1.7b-think,lo,edge_existence,filler,none,99,1.0,0.9697,-3.03,3,0,0.25,0.1,False
qwen3-1.7b-think,lo,edge_existence,filler,none,100,1.0,0.98,-2.0,2,0,0.5,0.2,False
qwen3-1.7b-think,lo,edge_existence,filler,none,100,0.97,1.0,3.0,0,3,0.25,0.35,False
qwen3-1.7b-think,lo,edge_existence,filler,none,100,1.0,0.99,-1.0,1,0,1.0,0.5,False
qwen3-1.7b-think,lo,edge_existence,all,none,99,1.0,0.9596,-4.04,4,0,0.125,0.1,False
qwen3-1.7b-think,lo,edge_existence,all,none,100,1.0,0.96,-4.0,4,0,0.125,0.2,False
qwen3-1.7b-think,lo,edge_existence,all,none,100,0.97,0.97,0.0,2,2,1.0,0.35,False
qwen3-1.7b-think,lo,edge_existence,all,none,100,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b-think,lo,node_count,components,none,94,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-1.7b-think,lo,node_count,components,none,91,1.0,0.989,-1.1,1,0,1.0,0.2,False
qwen3-1.7b-think,lo,node_count,components,none,79,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b-think,lo,node_count,components,none,78,0.9487,1.0,5.13,0,4,0.125,0.5,False
qwen3-1.7b-think,lo,node_count,clustering,none,98,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-1.7b-think,lo,node_count,clustering,none,97,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b-think,lo,node_count,clustering,none,83,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b-think,lo,node_count,clustering,none,91,0.9451,1.0,5.49,0,5,0.0625,0.5,False
qwen3-1.7b-think,lo,node_count,rwse,none,98,1.0,1.0,0.0,0,0,1.0,0.1,False
