arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,density,bh_significant
qwen3-1.7b-think,lo,node_count,rwse,none,97,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b-think,lo,node_count,rwse,none,83,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b-think,lo,node_count,rwse,none,91,0.9451,1.0,5.49,0,5,0.0625,0.5,False
qwen3-1.7b-think,lo,node_count,degree,none,97,1.0,0.9897,-1.03,1,0,1.0,0.1,False
qwen3-1.7b-think,lo,node_count,degree,none,96,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b-think,lo,node_count,degree,none,79,1.0,0.9873,-1.27,1,0,1.0,0.35,False
qwen3-1.7b-think,lo,node_count,degree,none,88,0.9432,1.0,5.68,0,5,0.0625,0.5,False
qwen3-1.7b-think,lo,node_count,filler,none,98,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-1.7b-think,lo,node_count,filler,none,97,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b-think,lo,node_count,filler,none,83,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b-think,lo,node_count,filler,none,91,0.9451,1.0,5.49,0,5,0.0625,0.5,False
qwen3-1.7b-think,lo,node_count,all,none,98,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-1.7b-think,lo,node_count,all,none,97,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b-think,lo,node_count,all,none,83,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b-think,lo,node_count,all,none,91,0.9451,1.0,5.49,0,5,0.0625,0.5,False
qwen3-1.7b-think,lo,node_degree,components,none,95,0.9368,0.9579,2.11,1,3,0.625,0.1,False
qwen3-1.7b-think,lo,node_degree,components,none,100,0.95,0.89,-6.0,7,1,0.0703125,0.2,False
qwen3-1.7b-think,lo,node_degree,components,none,100,0.6,0.62,2.0,6,8,0.79052734375,0.35,False
qwen3-1.7b-think,lo,node_degree,components,none,100,0.6,0.58,-2.0,11,9,0.8238029479980469,0.5,False
qwen3-1.7b-think,lo,node_degree,clustering,none,96,0.9271,0.9479,2.08,3,5,0.7265625,0.1,False
qwen3-1.7b-think,lo,node_degree,clustering,none,100,0.95,0.97,2.0,1,3,0.625,0.2,False
qwen3-1.7b-think,lo,node_degree,clustering,none,100,0.6,0.61,1.0,8,9,1.0,0.35,False
qwen3-1.7b-think,lo,node_degree,clustering,none,100,0.6,0.59,-1.0,15,14,1.0,0.5,False
qwen3-1.7b-think,lo,node_degree,rwse,none,97,0.9278,0.9588,3.09,2,5,0.453125,0.1,False
qwen3-1.7b-think,lo,node_degree,rwse,none,98,0.949,0.9286,-2.04,5,3,0.7265625,0.2,False
qwen3-1.7b-think,lo,node_degree,rwse,none,100,0.6,0.65,5.0,12,17,0.45825831964612007,0.35,False
qwen3-1.7b-think,lo,node_degree,rwse,none,99,0.596,0.6364,4.04,12,16,0.5715881884098053,0.5,False
qwen3-1.7b-think,lo,node_degree,degree,none,97,0.9278,0.9794,5.15,1,6,0.125,0.1,False
qwen3-1.7b-think,lo,node_degree,degree,none,98,0.949,0.9388,-1.02,4,3,1.0,0.2,False
qwen3-1.7b-think,lo,node_degree,degree,none,92,0.6087,0.837,22.83,3,24,4.9233436584472656e-05,0.35,True
qwen3-1.7b-think,lo,node_degree,degree,none,89,0.6067,0.8202,21.35,7,26,0.0013187271542847157,0.5,True
qwen3-1.7b-think,lo,node_degree,filler,none,96,0.9271,0.9792,5.21,1,6,0.125,0.1,False
qwen3-1.7b-think,lo,node_degree,filler,none,100,0.95,0.85,-10.0,12,2,0.012939453125,0.2,False
qwen3-1.7b-think,lo,node_degree,filler,none,100,0.6,0.56,-4.0,10,6,0.454498291015625,0.35,False
qwen3-1.7b-think,lo,node_degree,filler,none,100,0.6,0.55,-5.0,15,10,0.42435622215270996,0.5,False
qwen3-1.7b-think,lo,node_degree,all,none,97,0.9278,0.9794,5.15,0,5,0.0625,0.1,False
qwen3-1.7b-think,lo,node_degree,all,none,99,0.9596,0.9697,1.01,2,3,1.0,0.2,False
qwen3-1.7b-think,lo,node_degree,all,none,100,0.6,0.82,22.0,7,29,0.00031255115754902363,0.35,True
qwen3-1.7b-think,lo,node_degree,all,none,100,0.6,0.78,18.0,8,26,0.0029350556433200836,0.5,True
qwen3-1.7b-think,hi,edge_existence,components,none,100,0.99,0.99,0.0,1,1,1.0,0.65,False
qwen3-1.7b-think,hi,edge_existence,components,none,100,0.98,0.98,0.0,1,1,1.0,0.75,False
qwen3-1.7b-think,hi,edge_existence,components,none,100,1.0,1.0,0.0,0,0,1.0,0.85,False
qwen3-1.7b-think,hi,edge_existence,clustering,none,100,0.99,0.99,0.0,1,1,1.0,0.65,False
qwen3-1.7b-think,hi,edge_existence,clustering,none,100,0.98,1.0,2.0,0,2,0.5,0.75,False
qwen3-1.7b-think,hi,edge_existence,clustering,none,100,1.0,0.97,-3.0,3,0,0.25,0.85,False
qwen3-1.7b-think,hi,edge_existence,rwse,none,100,0.99,1.0,1.0,0,1,1.0,0.65,False
qwen3-1.7b-think,hi,edge_existence,rwse,none,100,0.98,0.99,1.0,1,2,1.0,0.75,False
qwen3-1.7b-think,hi,edge_existence,rwse,none,100,1.0,0.99,-1.0,1,0,1.0,0.85,False
qwen3-1.7b-think,hi,edge_existence,degree,none,100,0.99,1.0,1.0,0,1,1.0,0.65,False
qwen3-1.7b-think,hi,edge_existence,degree,none,100,0.98,0.98,0.0,2,2,1.0,0.75,False
qwen3-1.7b-think,hi,edge_existence,degree,none,100,1.0,0.97,-3.0,3,0,0.25,0.85,False
qwen3-1.7b-think,hi,edge_existence,filler,none,100,0.99,0.99,0.0,1,1,1.0,0.65,False
qwen3-1.7b-think,hi,edge_existence,filler,none,100,0.98,0.99,1.0,0,1,1.0,0.75,False
qwen3-1.7b-think,hi,edge_existence,filler,none,100,1.0,0.97,-3.0,3,0,0.25,0.85,False
qwen3-1.7b-think,hi,edge_existence,all,none,100,0.99,0.97,-2.0,3,1,0.625,0.65,False
qwen3-1.7b-think,hi,edge_existence,all,none,100,0.98,0.99,1.0,1,2,1.0,0.75,False
qwen3-1.7b-think,hi,edge_existence,all,none,100,1.0,0.99,-1.0,1,0,1.0,0.85,False
qwen3-1.7b-think,hi,node_degree,components,none,99,0.5152,0.4545,-6.06,12,6,0.237884521484375,0.65,False
qwen3-1.7b-think,hi,node_degree,components,none,95,0.4632,0.3895,-7.37,13,6,0.1670684814453125,0.75,False
qwen3-1.7b-think,hi,node_degree,components,none,96,0.4375,0.5208,8.33,6,14,0.11531829833984375,0.85,False
qwen3-1.7b-think,hi,node_degree,clustering,none,100,0.52,0.39,-13.0,27,14,0.05958388801809633,0.65,False
qwen3-1.7b-think,hi,node_degree,clustering,none,96,0.4688,0.375,-9.38,19,10,0.13604594767093658,0.75,False
qwen3-1.7b-think,hi,node_degree,clustering,none,99,0.4242,0.3535,-7.07,22,15,0.3240086000878364,0.85,False
qwen3-1.7b-think,hi,node_degree,rwse,none,100,0.52,0.43,-9.0,22,13,0.17546524899080396,0.65,False
qwen3-1.7b-think,hi,node_degree,rwse,none,96,0.4688,0.3854,-8.33,19,11,0.20048842206597328,0.75,False
qwen3-1.7b-think,hi,node_degree,rwse,none,98,0.4184,0.449,3.06,16,19,0.7358788008568808,0.85,False
qwen3-1.7b-think,hi,node_degree,degree,none,86,0.5465,0.7791,23.26,7,27,0.0008213953115046024,0.65,True
qwen3-1.7b-think,hi,node_degree,degree,none,84,0.5119,0.7619,25.0,4,25,0.00010371580719947815,0.75,True
qwen3-1.7b-think,hi,node_degree,degree,none,93,0.4301,0.8817,45.16,3,45,1.312585595769633e-10,0.85,True
qwen3-1.7b-think,hi,node_degree,filler,none,99,0.5253,0.3535,-17.17,28,11,0.009475304279476404,0.65,True
qwen3-1.7b-think,hi,node_degree,filler,none,95,0.4737,0.3684,-10.53,19,9,0.08715855330228806,0.75,False
qwen3-1.7b-think,hi,node_degree,filler,none,99,0.4242,0.3232,-10.1,21,11,0.11018416518345475,0.85,False
qwen3-1.7b-think,hi,node_degree,all,none,100,0.52,0.82,30.0,9,39,1.5221826110689562e-05,0.65,True
qwen3-1.7b-think,hi,node_degree,all,none,93,0.4839,0.6989,21.51,11,31,0.002887247974285856,0.75,True
qwen3-1.7b-think,hi,node_degree,all,none,98,0.4286,0.5918,16.33,17,33,0.032839137564268484,0.85,False
qwen3-4b,lo,connected_nodes,components,none,100,0.93,1.0,7.0,0,7,0.015625,0.1,True
qwen3-4b,lo,connected_nodes,components,none,100,0.88,0.99,11.0,1,12,0.00341796875,0.2,True
qwen3-4b,lo,connected_nodes,components,none,100,0.84,0.94,10.0,2,12,0.012939453125,0.35,False
qwen3-4b,lo,connected_nodes,components,none,100,0.79,0.88,9.0,4,13,0.049041748046875,0.5,False
qwen3-4b,lo,connected_nodes,clustering,none,100,0.93,0.85,-8.0,9,1,0.021484375,0.1,True
qwen3-4b,lo,connected_nodes,clustering,none,100,0.88,0.97,9.0,3,12,0.03515625,0.2,False
qwen3-4b,lo,connected_nodes,clustering,none,100,0.84,0.89,5.0,5,10,0.3017578125,0.35,False
qwen3-4b,lo,connected_nodes,clustering,none,100,0.79,0.77,-2.0,12,10,0.8318119049072266,0.5,False
qwen3-4b,lo,connected_nodes,rwse,none,100,0.93,0.83,-10.0,14,4,0.0308837890625,0.1,True
qwen3-4b,lo,connected_nodes,rwse,none,100,0.88,0.83,-5.0,12,7,0.359283447265625,0.2,False
qwen3-4b,lo,connected_nodes,rwse,none,100,0.84,0.89,5.0,5,10,0.3017578125,0.35,False
qwen3-4b,lo,connected_nodes,rwse,none,100,0.79,0.89,10.0,3,13,0.021270751953125,0.5,False
qwen3-4b,lo,connected_nodes,degree,none,100,0.93,0.86,-7.0,9,2,0.0654296875,0.1,False
qwen3-4b,lo,connected_nodes,degree,none,100,0.88,0.9,2.0,7,9,0.803619384765625,0.2,False
qwen3-4b,lo,connected_nodes,degree,none,100,0.84,0.8,-4.0,11,7,0.480682373046875,0.35,False
qwen3-4b,lo,connected_nodes,degree,none,100,0.79,0.76,-3.0,15,12,0.7011080384254456,0.5,False
qwen3-4b,lo,connected_nodes,filler,none,100,0.93,0.72,-21.0,24,3,4.9233436584472656e-05,0.1,True
qwen3-4b,lo,connected_nodes,filler,none,100,0.88,0.74,-14.0,19,5,0.006610751152038574,0.2,True
qwen3-4b,lo,connected_nodes,filler,none,100,0.84,0.78,-6.0,13,7,0.26317596435546875,0.35,False
qwen3-4b,lo,connected_nodes,filler,none,100,0.79,0.7,-9.0,15,6,0.0783538818359375,0.5,False
qwen3-4b,lo,connected_nodes,all,none,100,0.93,0.82,-11.0,14,3,0.012725830078125,0.1,True
qwen3-4b,lo,connected_nodes,all,none,100,0.88,0.88,0.0,9,9,1.0,0.2,False
qwen3-4b,lo,connected_nodes,all,none,100,0.84,0.87,3.0,7,10,0.629058837890625,0.35,False
qwen3-4b,lo,connected_nodes,all,none,100,0.79,0.76,-3.0,13,10,0.6776394844055176,0.5,False
qwen3-4b,lo,cycle_check,components,none,97,0.9897,0.9691,-2.06,3,1,0.625,0.1,False
qwen3-4b,lo,cycle_check,components,none,94,1.0,0.9894,-1.06,1,0,1.0,0.2,False
qwen3-4b,lo,cycle_check,components,none,100,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,cycle_check,components,none,100,1.0,0.98,-2.0,2,0,0.5,0.5,False
qwen3-4b,lo,cycle_check,clustering,none,98,0.9898,1.0,1.02,0,1,1.0,0.1,False
qwen3-4b,lo,cycle_check,clustering,none,97,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-4b,lo,cycle_check,clustering,none,100,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,cycle_check,clustering,none,100,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,cycle_check,rwse,none,96,0.9896,1.0,1.04,0,1,1.0,0.1,False
qwen3-4b,lo,cycle_check,rwse,none,96,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-4b,lo,cycle_check,rwse,none,100,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,cycle_check,rwse,none,100,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,cycle_check,degree,none,97,0.9897,0.9897,0.0,0,0,1.0,0.1,False
qwen3-4b,lo,cycle_check,degree,none,97,1.0,0.9897,-1.03,1,0,1.0,0.2,False
qwen3-4b,lo,cycle_check,degree,none,98,1.0,0.9694,-3.06,3,0,0.25,0.35,False
qwen3-4b,lo,cycle_check,degree,none,99,1.0,0.9798,-2.02,2,0,0.5,0.5,False
qwen3-4b,lo,cycle_check,filler,none,96,1.0,0.9896,-1.04,1,0,1.0,0.1,False
qwen3-4b,lo,cycle_check,filler,none,97,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-4b,lo,cycle_check,filler,none,99,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,cycle_check,filler,none,100,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,cycle_check,all,none,98,0.9898,1.0,1.02,0,1,1.0,0.1,False
qwen3-4b,lo,cycle_check,all,none,97,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-4b,lo,cycle_check,all,none,100,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,cycle_check,all,none,100,1.0,0.97,-3.0,3,0,0.25,0.5,False
qwen3-4b,lo,edge_count,components,none,100,0.05,0.0,-5.0,5,0,0.0625,0.1,False
qwen3-4b,lo,edge_count,components,none,100,0.02,0.01,-1.0,1,0,1.0,0.2,False
qwen3-4b,lo,edge_count,components,none,99,0.0101,0.0202,1.01,1,2,1.0,0.35,False
qwen3-4b,lo,edge_count,components,none,98,0.0,0.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,edge_count,clustering,none,99,0.0505,0.0,-5.05,5,0,0.0625,0.1,False
qwen3-4b,lo,edge_count,clustering,none,100,0.02,0.01,-1.0,2,1,1.0,0.2,False
qwen3-4b,lo,edge_count,clustering,none,100,0.01,0.02,1.0,1,2,1.0,0.35,False
qwen3-4b,lo,edge_count,clustering,none,100,0.0,0.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,edge_count,rwse,none,98,0.051,0.0102,-4.08,5,1,0.21875,0.1,False
qwen3-4b,lo,edge_count,rwse,none,100,0.02,0.01,-1.0,1,0,1.0,0.2,False
qwen3-4b,lo,edge_count,rwse,none,100,0.01,0.0,-1.0,1,0,1.0,0.35,False
qwen3-4b,lo,edge_count,rwse,none,100,0.0,0.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,edge_count,degree,none,97,0.0515,0.2784,22.68,2,24,1.049041748046875e-05,0.1,True
qwen3-4b,lo,edge_count,degree,none,99,0.0202,0.3232,30.3,2,32,6.938353180885315e-08,0.2,True
qwen3-4b,lo,edge_count,degree,none,99,0.0101,0.2525,24.24,1,25,8.046627044677734e-07,0.35,True
qwen3-4b,lo,edge_count,degree,none,98,0.0,0.3367,33.67,0,33,2.3283064365386963e-10,0.5,True
qwen3-4b,lo,edge_count,filler,none,100,0.05,0.1,5.0,2,7,0.1796875,0.1,False
qwen3-4b,lo,edge_count,filler,none,100,0.02,0.02,0.0,2,2,1.0,0.2,False
qwen3-4b,lo,edge_count,filler,none,100,0.01,0.01,0.0,1,1,1.0,0.35,False
qwen3-4b,lo,edge_count,filler,none,100,0.0,0.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,edge_count,all,none,100,0.05,0.03,-2.0,4,2,0.6875,0.1,False
qwen3-4b,lo,edge_count,all,none,100,0.02,0.03,1.0,1,2,1.0,0.2,False
qwen3-4b,lo,edge_count,all,none,99,0.0101,0.0808,7.07,1,8,0.0390625,0.35,False
qwen3-4b,lo,edge_count,all,none,98,0.0,0.0918,9.18,0,9,0.00390625,0.5,True
qwen3-4b,lo,edge_existence,components,none,100,0.96,0.99,3.0,0,3,0.25,0.1,False
qwen3-4b,lo,edge_existence,components,none,100,0.93,0.94,1.0,4,5,1.0,0.2,False
qwen3-4b,lo,edge_existence,components,none,100,0.83,0.75,-8.0,13,5,0.09625244140625,0.35,False
qwen3-4b,lo,edge_existence,components,none,100,0.9,0.83,-7.0,10,3,0.09228515625,0.5,False
qwen3-4b,lo,edge_existence,clustering,none,100,0.96,0.97,1.0,1,2,1.0,0.1,False
qwen3-4b,lo,edge_existence,clustering,none,100,0.93,0.98,5.0,1,6,0.125,0.2,False
qwen3-4b,lo,edge_existence,clustering,none,100,0.83,0.89,6.0,6,12,0.237884521484375,0.35,False
qwen3-4b,lo,edge_existence,clustering,none,100,0.9,0.94,4.0,4,8,0.3876953125,0.5,False
qwen3-4b,lo,edge_existence,rwse,none,100,0.96,0.96,0.0,1,1,1.0,0.1,False
qwen3-4b,lo,edge_existence,rwse,none,100,0.93,0.89,-4.0,9,5,0.4239501953125,0.2,False
qwen3-4b,lo,edge_existence,rwse,none,100,0.83,0.7,-13.0,20,7,0.0191572904586792,0.35,False
qwen3-4b,lo,edge_existence,rwse,none,100,0.9,0.67,-23.0,23,0,2.384185791015625e-07,0.5,True
qwen3-4b,lo,edge_existence,degree,none,100,0.96,0.99,3.0,0,3,0.25,0.1,False
qwen3-4b,lo,edge_existence,degree,none,99,0.9293,0.9192,-1.01,5,4,1.0,0.2,False
qwen3-4b,lo,edge_existence,degree,none,100,0.83,0.79,-4.0,10,6,0.454498291015625,0.35,False
qwen3-4b,lo,edge_existence,degree,none,99,0.899,0.7475,-15.15,17,2,0.000728607177734375,0.5,True
qwen3-4b,lo,edge_existence,filler,none,100,0.96,0.96,0.0,1,1,1.0,0.1,False
qwen3-4b,lo,edge_existence,filler,none,100,0.93,0.84,-9.0,12,3,0.03515625,0.2,False
qwen3-4b,lo,edge_existence,filler,none,100,0.83,0.75,-8.0,16,8,0.15158963203430176,0.35,False
qwen3-4b,lo,edge_existence,filler,none,100,0.9,0.79,-11.0,13,2,0.00738525390625,0.5,True
qwen3-4b,lo,edge_existence,all,none,99,0.9596,0.9596,0.0,3,3,1.0,0.1,False
qwen3-4b,lo,edge_existence,all,none,100,0.93,0.84,-9.0,12,3,0.03515625,0.2,False
qwen3-4b,lo,edge_existence,all,none,100,0.83,0.7,-13.0,20,7,0.0191572904586792,0.35,False
qwen3-4b,lo,edge_existence,all,none,100,0.9,0.73,-17.0,19,2,0.00022125244140625,0.5,True
qwen3-4b,lo,node_count,components,none,100,0.92,0.97,5.0,1,6,0.125,0.1,False
qwen3-4b,lo,node_count,components,none,100,0.69,1.0,31.0,0,31,9.313225746154785e-10,0.2,True
qwen3-4b,lo,node_count,components,none,100,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,node_count,components,none,100,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,node_count,clustering,none,100,0.92,0.97,5.0,2,7,0.1796875,0.1,False
qwen3-4b,lo,node_count,clustering,none,100,0.69,0.99,30.0,1,31,1.5366822481155396e-08,0.2,True
qwen3-4b,lo,node_count,clustering,none,100,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,node_count,clustering,none,100,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,node_count,rwse,none,100,0.92,0.98,6.0,2,8,0.109375,0.1,False
qwen3-4b,lo,node_count,rwse,none,100,0.69,1.0,31.0,0,31,9.313225746154785e-10,0.2,True
qwen3-4b,lo,node_count,rwse,none,100,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,node_count,rwse,none,100,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,node_count,degree,none,100,0.92,0.94,2.0,4,6,0.75390625,0.1,False
qwen3-4b,lo,node_count,degree,none,100,0.69,0.99,30.0,1,31,1.5366822481155396e-08,0.2,True
qwen3-4b,lo,node_count,degree,none,100,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,node_count,degree,none,100,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,node_count,filler,none,100,0.92,0.98,6.0,0,6,0.03125,0.1,False
qwen3-4b,lo,node_count,filler,none,100,0.69,1.0,31.0,0,31,9.313225746154785e-10,0.2,True
qwen3-4b,lo,node_count,filler,none,100,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,node_count,filler,none,100,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,node_count,all,none,100,0.92,1.0,8.0,0,8,0.0078125,0.1,True
qwen3-4b,lo,node_count,all,none,100,0.69,1.0,31.0,0,31,9.313225746154785e-10,0.2,True
qwen3-4b,lo,node_count,all,none,100,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,node_count,all,none,100,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-4b,lo,node_degree,components,none,100,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-4b,lo,node_degree,components,none,100,0.99,0.99,0.0,0,0,1.0,0.2,False
qwen3-4b,lo,node_degree,components,none,100,0.99,0.99,0.0,0,0,1.0,0.35,False
qwen3-4b,lo,node_degree,components,none,100,0.99,1.0,1.0,0,1,1.0,0.5,False
qwen3-4b,lo,node_degree,clustering,none,100,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-4b,lo,node_degree,clustering,none,100,0.99,1.0,1.0,0,1,1.0,0.2,False
qwen3-4b,lo,node_degree,clustering,none,100,0.99,0.99,0.0,1,1,1.0,0.35,False
qwen3-4b,lo,node_degree,clustering,none,100,0.99,0.96,-3.0,4,1,0.375,0.5,False
qwen3-4b,lo,node_degree,rwse,none,100,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-4b,lo,node_degree,rwse,none,100,0.99,0.97,-2.0,3,1,0.625,0.2,False
qwen3-4b,lo,node_degree,rwse,none,100,0.99,0.96,-3.0,3,0,0.25,0.35,False
qwen3-4b,lo,node_degree,rwse,none,100,0.99,0.95,-4.0,5,1,0.21875,0.5,False
qwen3-4b,lo,node_degree,degree,none,100,1.0,0.94,-6.0,6,0,0.03125,0.1,False
qwen3-4b,lo,node_degree,degree,none,100,0.99,0.98,-1.0,2,1,1.0,0.2,False
qwen3-4b,lo,node_degree,degree,none,100,0.99,0.92,-7.0,8,1,0.0390625,0.35,False
qwen3-4b,lo,node_degree,degree,none,100,0.99,0.87,-12.0,13,1,0.0018310546875,0.5,True
qwen3-4b,lo,node_degree,filler,none,100,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-4b,lo,node_degree,filler,none,100,0.99,0.99,0.0,1,1,1.0,0.2,False
qwen3-4b,lo,node_degree,filler,none,100,0.99,0.99,0.0,1,1,1.0,0.35,False
qwen3-4b,lo,node_degree,filler,none,100,0.99,0.97,-2.0,3,1,0.625,0.5,False
qwen3-4b,lo,node_degree,all,none,100,1.0,0.93,-7.0,7,0,0.015625,0.1,False
qwen3-4b,lo,node_degree,all,none,100,0.99,0.96,-3.0,4,1,0.375,0.2,False
qwen3-4b,lo,node_degree,all,none,100,0.99,0.92,-7.0,7,0,0.015625,0.35,False
qwen3-4b,lo,node_degree,all,none,100,0.99,0.84,-15.0,16,1,0.000274658203125,0.5,True
qwen3-4b,hi,edge_existence,components,none,100,0.87,0.79,-8.0,10,2,0.03857421875,0.65,False
qwen3-4b,hi,edge_existence,components,none,99,0.8788,0.8889,1.01,5,6,1.0,0.75,False
qwen3-4b,hi,edge_existence,components,none,100,0.96,0.93,-3.0,4,1,0.375,0.85,False
qwen3-4b,hi,edge_existence,clustering,none,100,0.87,0.95,8.0,3,11,0.057373046875,0.65,False
qwen3-4b,hi,edge_existence,clustering,none,100,0.87,0.96,9.0,2,11,0.0224609375,0.75,False
qwen3-4b,hi,edge_existence,clustering,none,100,0.96,0.95,-1.0,5,4,1.0,0.85,False
qwen3-4b,hi,edge_existence,rwse,none,100,0.87,0.9,3.0,6,9,0.60723876953125,0.65,False
qwen3-4b,hi,edge_existence,rwse,none,100,0.87,0.88,1.0,6,7,1.0,0.75,False
qwen3-4b,hi,edge_existence,rwse,none,100,0.96,0.9,-6.0,7,1,0.0703125,0.85,False
qwen3-4b,hi,edge_existence,degree,none,99,0.8687,0.8182,-5.05,8,3,0.2265625,0.65,False
qwen3-4b,hi,edge_existence,degree,none,100,0.87,0.87,0.0,4,4,1.0,0.75,False
qwen3-4b,hi,edge_existence,degree,none,100,0.96,0.92,-4.0,6,2,0.2890625,0.85,False
qwen3-4b,hi,edge_existence,filler,none,100,0.87,0.75,-12.0,12,0,0.00048828125,0.65,True
qwen3-4b,hi,edge_existence,filler,none,100,0.87,0.85,-2.0,5,3,0.7265625,0.75,False
qwen3-4b,hi,edge_existence,filler,none,100,0.96,0.91,-5.0,5,0,0.0625,0.85,False
qwen3-4b,hi,edge_existence,all,none,100,0.87,0.88,1.0,8,9,1.0,0.65,False
qwen3-4b,hi,edge_existence,all,none,99,0.8687,0.8586,-1.01,4,3,1.0,0.75,False
qwen3-4b,hi,edge_existence,all,none,100,0.96,0.9,-6.0,6,0,0.03125,0.85,False
qwen3-4b,hi,node_degree,components,none,100,0.82,0.74,-8.0,8,0,0.0078125,0.65,True
qwen3-4b,hi,node_degree,components,none,100,0.5,0.46,-4.0,10,6,0.454498291015625,0.75,False
qwen3-4b,hi,node_degree,components,none,100,0.33,0.42,9.0,6,15,0.0783538818359375,0.85,False
qwen3-4b,hi,node_degree,clustering,none,100,0.82,0.89,7.0,1,8,0.0390625,0.65,False
qwen3-4b,hi,node_degree,clustering,none,100,0.5,0.59,9.0,6,15,0.0783538818359375,0.75,False
qwen3-4b,hi,node_degree,clustering,none,100,0.33,0.51,18.0,5,23,0.0009122341871261597,0.85,True
qwen3-4b,hi,node_degree,rwse,none,100,0.82,0.82,0.0,5,5,1.0,0.65,False
qwen3-4b,hi,node_degree,rwse,none,100,0.5,0.63,13.0,4,17,0.007197380065917969,0.75,True
qwen3-4b,hi,node_degree,rwse,none,100,0.33,0.43,10.0,8,18,0.07551869750022888,0.85,False
qwen3-4b,hi,node_degree,degree,none,100,0.82,0.76,-6.0,20,14,0.39152830513194203,0.65,False
qwen3-4b,hi,node_degree,degree,none,100,0.5,0.57,7.0,19,26,0.3712980344710104,0.75,False
qwen3-4b,hi,node_degree,degree,none,100,0.33,0.6,27.0,15,42,0.00046000500864878946,0.85,True
qwen3-4b,hi,node_degree,filler,none,100,0.82,0.86,4.0,3,7,0.34375,0.65,False
qwen3-4b,hi,node_degree,filler,none,100,0.5,0.49,-1.0,7,6,1.0,0.75,False
qwen3-4b,hi,node_degree,filler,none,100,0.33,0.36,3.0,13,16,0.711071103811264,0.85,False
qwen3-4b,hi,node_degree,all,none,100,0.82,0.45,-37.0,42,5,2.4579776436439715e-08,0.65,True
qwen3-4b,hi,node_degree,all,none,100,0.5,0.31,-19.0,32,13,0.00660882284228137,0.75,True
qwen3-4b,hi,node_degree,all,none,100,0.33,0.25,-8.0,24,16,0.26818725105476915,0.85,False
qwen3-4b-think,lo,connected_nodes,components,none,93,0.9892,0.9892,0.0,0,0,1.0,0.1,False
qwen3-4b-think,lo,connected_nodes,components,none,91,0.989,1.0,1.1,0,1,1.0,0.2,False
qwen3-4b-think,lo,connected_nodes,components,none,96,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-4b-think,lo,connected_nodes,components,none,97,0.9794,0.9897,1.03,1,2,1.0,0.5,False
qwen3-4b-think,lo,connected_nodes,clustering,none,89,1.0,1.0,0.0,0,0,1.0,0.1,False
qwen3-4b-think,lo,connected_nodes,clustering,none,90,0.9889,0.9889,0.0,1,1,1.0,0.2,False
