arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,density,none_acc,bh_significant
qwen3-1.7b-think,hi,node_degree,components,filler,97,0.3196,0.5258,20.62,8,28,0.0011932429624721408,0.85,0.4286,True
qwen3-1.7b-think,hi,node_degree,clustering,filler,99,0.3535,0.3939,4.04,18,22,0.6358280026288412,0.65,0.52,False
qwen3-1.7b-think,hi,node_degree,clustering,filler,98,0.3673,0.3878,2.04,10,12,0.8318119049072266,0.75,0.4839,False
qwen3-1.7b-think,hi,node_degree,clustering,filler,100,0.32,0.35,3.0,12,15,0.7011080384254456,0.85,0.4286,False
qwen3-1.7b-think,hi,node_degree,rwse,filler,99,0.3535,0.4343,8.08,13,21,0.22948101302608848,0.65,0.52,False
qwen3-1.7b-think,hi,node_degree,rwse,filler,99,0.3636,0.3939,3.03,14,17,0.720100131817162,0.75,0.4839,False
qwen3-1.7b-think,hi,node_degree,rwse,filler,99,0.3131,0.4444,13.13,5,18,0.010622024536132812,0.85,0.4286,True
qwen3-4b,lo,connected_nodes,components,filler,100,0.74,0.99,25.0,1,26,4.172325134277344e-07,0.2,0.88,True
qwen3-4b,lo,connected_nodes,components,filler,100,0.78,0.94,16.0,2,18,0.0004024505615234375,0.35,0.84,True
qwen3-4b,lo,connected_nodes,components,filler,100,0.7,0.88,18.0,6,24,0.001430906355381012,0.5,0.79,True
qwen3-4b,lo,connected_nodes,clustering,filler,100,0.74,0.97,23.0,2,25,5.647540092468262e-06,0.2,0.88,True
qwen3-4b,lo,connected_nodes,clustering,filler,100,0.78,0.89,11.0,5,16,0.02660369873046875,0.35,0.84,False
qwen3-4b,lo,connected_nodes,clustering,filler,100,0.7,0.77,7.0,10,17,0.24778856337070465,0.5,0.79,False
qwen3-4b,lo,connected_nodes,rwse,filler,100,0.74,0.83,9.0,5,14,0.063568115234375,0.2,0.88,False
qwen3-4b,lo,connected_nodes,rwse,filler,100,0.78,0.89,11.0,3,14,0.012725830078125,0.35,0.84,True
qwen3-4b,lo,connected_nodes,rwse,filler,100,0.7,0.89,19.0,4,23,0.000310748815536499,0.5,0.79,True
qwen3-4b,lo,edge_existence,components,filler,100,0.75,0.75,0.0,11,11,1.0,0.35,0.83,False
qwen3-4b,lo,edge_existence,components,filler,100,0.79,0.83,4.0,1,5,0.21875,0.5,0.9,False
qwen3-4b,lo,edge_existence,clustering,filler,100,0.75,0.89,14.0,5,19,0.006610751152038574,0.35,0.83,True
qwen3-4b,lo,edge_existence,clustering,filler,100,0.79,0.94,15.0,2,17,0.000728607177734375,0.5,0.9,True
qwen3-4b,lo,edge_existence,rwse,filler,100,0.75,0.7,-5.0,13,8,0.38331031799316406,0.35,0.83,False
qwen3-4b,lo,edge_existence,rwse,filler,100,0.79,0.67,-12.0,15,3,0.007537841796875,0.5,0.9,True
qwen3-4b,lo,node_count,components,filler,100,1.0,1.0,0.0,0,0,1.0,0.2,0.69,False
qwen3-4b,lo,node_count,clustering,filler,100,1.0,0.99,-1.0,1,0,1.0,0.2,0.69,False
qwen3-4b,lo,node_count,rwse,filler,100,1.0,1.0,0.0,0,0,1.0,0.2,0.69,False
qwen3-4b,hi,edge_existence,components,filler,100,0.75,0.79,4.0,2,6,0.2890625,0.65,0.87,False
qwen3-4b,hi,edge_existence,components,filler,99,0.8586,0.8889,3.03,3,6,0.5078125,0.75,0.8687,False
qwen3-4b,hi,edge_existence,clustering,filler,100,0.75,0.95,20.0,1,21,1.0967254638671875e-05,0.65,0.87,True
qwen3-4b,hi,edge_existence,clustering,filler,100,0.85,0.96,11.0,1,12,0.00341796875,0.75,0.8687,True
qwen3-4b,hi,edge_existence,rwse,filler,100,0.75,0.9,15.0,4,19,0.002599477767944336,0.65,0.87,True
qwen3-4b,hi,edge_existence,rwse,filler,100,0.85,0.88,3.0,3,6,0.5078125,0.75,0.8687,False
qwen3-4b,hi,node_degree,components,filler,100,0.86,0.74,-12.0,14,2,0.004180908203125,0.65,0.82,True
qwen3-4b,hi,node_degree,components,filler,100,0.49,0.46,-3.0,8,5,0.5810546875,0.75,0.5,False
qwen3-4b,hi,node_degree,components,filler,100,0.36,0.42,6.0,10,16,0.32693958282470703,0.85,0.33,False
qwen3-4b,hi,node_degree,clustering,filler,100,0.86,0.89,3.0,4,7,0.548828125,0.65,0.82,False
qwen3-4b,hi,node_degree,clustering,filler,100,0.49,0.59,10.0,8,18,0.07551869750022888,0.75,0.5,False
qwen3-4b,hi,node_degree,clustering,filler,100,0.36,0.51,15.0,6,21,0.005924612283706665,0.85,0.33,True
qwen3-4b,hi,node_degree,rwse,filler,100,0.86,0.82,-4.0,9,5,0.4239501953125,0.65,0.82,False
qwen3-4b,hi,node_degree,rwse,filler,100,0.49,0.63,14.0,6,20,0.009355306625366211,0.75,0.5,True
qwen3-4b,hi,node_degree,rwse,filler,100,0.36,0.43,7.0,9,16,0.2295229434967041,0.85,0.33,False
