density,condition,kept,capped,parsed,unparsable,mean_score,mean_abs_error,blind_bar_answer,blind_bar_score
0.1,clustering,397,3,397,0,0.9672544080604534,0.03526448362720403,4,0.2314990512333966
0.1,components,394,6,394,0,0.9543147208121827,0.06598984771573604,4,0.2314990512333966
0.1,degree,396,4,396,0,0.9823232323232324,0.022727272727272728,4,0.2314990512333966
0.1,none,394,6,394,0,0.9517766497461929,0.06598984771573604,4,0.2314990512333966
0.2,clustering,400,0,400,0,0.925,0.09,7,0.16216216216216217
0.2,components,398,2,398,0,0.8994974874371859,0.18592964824120603,7,0.16216216216216217
0.2,degree,395,5,395,0,0.9468354430379747,0.07341772151898734,7,0.16216216216216217
0.2,none,398,2,398,0,0.8768844221105527,0.1884422110552764,7,0.16216216216216217
0.35,clustering,399,1,399,0,0.6666666666666666,0.45363408521303256,13,0.15107458912768648
0.35,components,400,0,400,0,0.665,0.45,13,0.15107458912768648
0.35,degree,383,17,383,0,0.8302872062663186,0.32114882506527415,13,0.15107458912768648
0.35,none,400,0,400,0,0.6325,0.4825,13,0.15107458912768648
0.5,clustering,400,0,400,0,0.5775,0.7175,20,0.1467425679949399
0.5,components,400,0,400,0,0.58,0.6775,20,0.1467425679949399
0.5,degree,381,19,381,0,0.8162729658792651,0.2782152230971129,20,0.1467425679949399
0.5,none,400,0,400,0,0.585,0.5925,20,0.1467425679949399
0.65,clustering,400,0,400,0,0.4175,1.225,26,0.13208762886597938
0.65,components,400,0,400,0,0.44,1.0625,26,0.13208762886597938
0.65,degree,353,47,353,0,0.7422096317280453,0.40509915014164305,26,0.13208762886597938
0.65,none,399,1,399,0,0.43859649122807015,0.899749373433584,26,0.13208762886597938
0.75,clustering,400,0,400,0,0.355,1.42,29,0.1653796653796654
0.75,components,395,5,395,0,0.38734177215189874,1.2658227848101267,29,0.1653796653796654
0.75,degree,361,39,361,0,0.7423822714681441,0.4903047091412742,29,0.1653796653796654
0.75,none,398,2,398,0,0.44221105527638194,1.0477386934673367,29,0.1653796653796654
0.85,clustering,399,1,399,0,0.43107769423558895,1.0250626566416041,34,0.1725692208628461
0.85,components,389,11,389,0,0.4652956298200514,0.9305912596401028,34,0.1725692208628461
0.85,degree,370,30,370,0,0.845945945945946,0.21891891891891893,34,0.1725692208628461
0.85,none,395,5,395,0,0.4936708860759494,0.8151898734177215,34,0.1725692208628461
