arm,condition,p,prevalence,pred_yes,accuracy,tpr,tnr,balanced,n_positive,n_negative
qwen3-1.7b-think,clustering,0.35,0.31,0.32,0.99,1.0,0.9855072463768116,0.9927536231884058,31,69
qwen3-1.7b-think,clustering,0.5,0.48,0.5,0.98,1.0,0.9615384615384616,0.9807692307692308,48,52
qwen3-1.7b-think,clustering,0.65,0.66,0.67,0.99,1.0,0.9705882352941176,0.9852941176470589,66,34
qwen3-1.7b-think,clustering,0.75,0.76,0.76,1.0,1.0,1.0,1.0,76,24
qwen3-1.7b-think,clustering,0.85,0.85,0.82,0.97,0.9647058823529412,1.0,0.9823529411764707,85,15
qwen3-1.7b-think,components,0.1,0.1,0.11,0.98,1.0,0.9777777777777777,0.9888888888888889,10,90
qwen3-1.7b-think,components,0.2,0.18,0.21,0.97,1.0,0.9634146341463414,0.9817073170731707,18,82
qwen3-1.7b-think,components,0.35,0.31,0.33,0.98,1.0,0.9710144927536232,0.9855072463768115,31,69
qwen3-1.7b-think,components,0.5,0.48,0.48,1.0,1.0,1.0,1.0,48,52
qwen3-1.7b-think,components,0.65,0.66,0.65,0.99,0.9848484848484849,1.0,0.9924242424242424,66,34
qwen3-1.7b-think,components,0.75,0.76,0.74,0.98,0.9736842105263158,1.0,0.986842105263158,76,24
qwen3-1.7b-think,components,0.85,0.85,0.85,1.0,1.0,1.0,1.0,85,15
qwen3-1.7b-think,degree,0.1,0.1,0.13,0.96,1.0,0.9555555555555556,0.9777777777777779,10,90
qwen3-1.7b-think,degree,0.2,0.18,0.23,0.95,1.0,0.9390243902439024,0.9695121951219512,18,82
qwen3-1.7b-think,degree,0.35,0.31,0.34,0.97,1.0,0.9565217391304348,0.9782608695652174,31,69
qwen3-1.7b-think,degree,0.5,0.48,0.49,0.98,1.0,0.9615384615384616,0.9807692307692308,48,52
qwen3-1.7b-think,degree,0.65,0.66,0.66,1.0,1.0,1.0,1.0,66,34
qwen3-1.7b-think,degree,0.75,0.76,0.76,0.98,0.9868421052631579,0.9583333333333334,0.9725877192982456,76,24
qwen3-1.7b-think,degree,0.85,0.85,0.84,0.97,0.9764705882352941,0.9333333333333333,0.9549019607843137,85,15
qwen3-1.7b-think,filler,0.1,0.1,0.13,0.97,1.0,0.9666666666666667,0.9833333333333334,10,90
qwen3-1.7b-think,filler,0.2,0.18,0.2,0.98,1.0,0.975609756097561,0.9878048780487805,18,82
qwen3-1.7b-think,filler,0.35,0.31,0.31,1.0,1.0,1.0,1.0,31,69
qwen3-1.7b-think,filler,0.5,0.48,0.47,0.99,0.9791666666666666,1.0,0.9895833333333333,48,52
qwen3-1.7b-think,filler,0.65,0.66,0.65,0.99,0.9848484848484849,1.0,0.9924242424242424,66,34
qwen3-1.7b-think,filler,0.75,0.76,0.75,0.99,0.9868421052631579,1.0,0.993421052631579,76,24
qwen3-1.7b-think,filler,0.85,0.85,0.84,0.97,0.9764705882352941,0.9333333333333333,0.9549019607843137,85,15
qwen3-1.7b-think,none,0.1,0.1,0.1,0.99,1.0,0.9888888888888889,0.9944444444444445,10,90
qwen3-1.7b-think,none,0.2,0.18,0.18,1.0,1.0,1.0,1.0,18,82
qwen3-1.7b-think,none,0.35,0.31,0.32,0.97,0.967741935483871,0.9710144927536232,0.969378214118747,31,69
qwen3-1.7b-think,none,0.5,0.48,0.48,1.0,1.0,1.0,1.0,48,52
qwen3-1.7b-think,none,0.65,0.66,0.65,0.99,0.9848484848484849,1.0,0.9924242424242424,66,34
qwen3-1.7b-think,none,0.75,0.76,0.74,0.98,0.9736842105263158,1.0,0.986842105263158,76,24
qwen3-1.7b-think,none,0.85,0.85,0.85,1.0,1.0,1.0,1.0,85,15
qwen3-1.7b-think,rwse,0.1,0.1,0.1,1.0,1.0,1.0,1.0,10,90
qwen3-1.7b-think,rwse,0.2,0.18,0.21,0.95,0.9444444444444444,0.9512195121951219,0.9478319783197832,18,82
qwen3-1.7b-think,rwse,0.35,0.31,0.34,0.97,1.0,0.9565217391304348,0.9782608695652174,31,69
qwen3-1.7b-think,rwse,0.5,0.48,0.48,0.99,1.0,0.9807692307692307,0.9903846153846154,48,52
qwen3-1.7b-think,rwse,0.65,0.66,0.66,1.0,1.0,1.0,1.0,66,34
qwen3-1.7b-think,rwse,0.75,0.76,0.77,0.99,1.0,0.9583333333333334,0.9791666666666667,76,24
qwen3-1.7b-think,rwse,0.85,0.85,0.86,0.99,1.0,0.9333333333333333,0.9666666666666667,85,15
qwen3-4b,all,0.1,0.1,0.15,0.95,1.0,0.9444444444444444,0.9722222222222222,10,90
qwen3-4b,all,0.2,0.18,0.34,0.84,1.0,0.8048780487804879,0.9024390243902439,18,82
qwen3-4b,all,0.35,0.31,0.61,0.7,1.0,0.5652173913043478,0.7826086956521738,31,69
qwen3-4b,all,0.5,0.48,0.75,0.73,1.0,0.4807692307692308,0.7403846153846154,48,52
qwen3-4b,all,0.65,0.66,0.78,0.88,1.0,0.6470588235294118,0.8235294117647058,66,34
qwen3-4b,all,0.75,0.76,0.89,0.85,0.9868421052631579,0.4166666666666667,0.7017543859649122,76,24
qwen3-4b,all,0.85,0.85,0.93,0.9,0.9882352941176471,0.4,0.6941176470588235,85,15
qwen3-4b,clustering,0.1,0.1,0.13,0.97,1.0,0.9666666666666667,0.9833333333333334,10,90
qwen3-4b,clustering,0.2,0.18,0.2,0.98,1.0,0.975609756097561,0.9878048780487805,18,82
qwen3-4b,clustering,0.35,0.31,0.42,0.89,1.0,0.8405797101449275,0.9202898550724637,31,69
qwen3-4b,clustering,0.5,0.48,0.54,0.94,1.0,0.8846153846153846,0.9423076923076923,48,52
qwen3-4b,clustering,0.65,0.66,0.69,0.95,0.9848484848484849,0.8823529411764706,0.9336007130124777,66,34
qwen3-4b,clustering,0.75,0.76,0.76,0.96,0.9736842105263158,0.9166666666666666,0.9451754385964912,76,24
qwen3-4b,clustering,0.85,0.85,0.84,0.95,0.9647058823529412,0.8666666666666667,0.915686274509804,85,15
qwen3-4b,components,0.1,0.1,0.11,0.99,1.0,0.9888888888888889,0.9944444444444445,10,90
qwen3-4b,components,0.2,0.18,0.24,0.94,1.0,0.926829268292683,0.9634146341463414,18,82
qwen3-4b,components,0.35,0.31,0.56,0.75,1.0,0.6376811594202898,0.8188405797101449,31,69
qwen3-4b,components,0.5,0.48,0.65,0.83,1.0,0.6730769230769231,0.8365384615384616,48,52
qwen3-4b,components,0.65,0.66,0.83,0.79,0.9696969696969697,0.4411764705882353,0.7054367201426025,66,34
qwen3-4b,components,0.75,0.76,0.82,0.88,0.9605263157894737,0.625,0.7927631578947368,76,24
qwen3-4b,components,0.85,0.85,0.9,0.93,0.9882352941176471,0.6,0.7941176470588236,85,15
qwen3-4b,degree,0.1,0.1,0.11,0.99,1.0,0.9888888888888889,0.9944444444444445,10,90
qwen3-4b,degree,0.2,0.18,0.27,0.91,1.0,0.8902439024390244,0.9451219512195121,18,82
qwen3-4b,degree,0.35,0.31,0.52,0.79,1.0,0.6956521739130435,0.8478260869565217,31,69
qwen3-4b,degree,0.5,0.48,0.74,0.74,1.0,0.5,0.75,48,52
qwen3-4b,degree,0.65,0.66,0.83,0.81,0.9848484848484849,0.47058823529411764,0.7277183600713013,66,34
qwen3-4b,degree,0.75,0.76,0.87,0.87,0.9868421052631579,0.5,0.743421052631579,76,24
qwen3-4b,degree,0.85,0.85,0.91,0.92,0.9882352941176471,0.5333333333333333,0.7607843137254902,85,15
qwen3-4b,filler,0.1,0.1,0.14,0.96,1.0,0.9555555555555556,0.9777777777777779,10,90
qwen3-4b,filler,0.2,0.18,0.34,0.84,1.0,0.8048780487804879,0.9024390243902439,18,82
qwen3-4b,filler,0.35,0.31,0.56,0.75,1.0,0.6376811594202898,0.8188405797101449,31,69
qwen3-4b,filler,0.5,0.48,0.69,0.79,1.0,0.5961538461538461,0.7980769230769231,48,52
qwen3-4b,filler,0.65,0.66,0.83,0.75,0.9393939393939394,0.38235294117647056,0.660873440285205,66,34
qwen3-4b,filler,0.75,0.76,0.87,0.85,0.9736842105263158,0.4583333333333333,0.7160087719298246,76,24
qwen3-4b,filler,0.85,0.85,0.92,0.91,0.9882352941176471,0.4666666666666667,0.7274509803921569,85,15
qwen3-4b,none,0.1,0.1,0.14,0.96,1.0,0.9555555555555556,0.9777777777777779,10,90
qwen3-4b,none,0.2,0.18,0.23,0.93,0.9444444444444444,0.926829268292683,0.9356368563685638,18,82
qwen3-4b,none,0.35,0.31,0.48,0.83,1.0,0.7536231884057971,0.8768115942028986,31,69
qwen3-4b,none,0.5,0.48,0.58,0.9,1.0,0.8076923076923077,0.9038461538461539,48,52
qwen3-4b,none,0.65,0.66,0.73,0.87,0.9545454545454546,0.7058823529411765,0.8302139037433156,66,34
qwen3-4b,none,0.75,0.76,0.81,0.87,0.9473684210526315,0.625,0.7861842105263157,76,24
qwen3-4b,none,0.85,0.85,0.87,0.96,0.9882352941176471,0.8,0.8941176470588236,85,15
