arm,task,condition,p,n,success,exact,cap,parsed,tokens,f1
qwen3-1.7b,edge_count,clustering,0.5,100,0.0,0.0,0.33,1.0,4140.0,
qwen3-1.7b,edge_count,components,0.1,100,0.0,0.0,0.2,1.0,1650.0,
qwen3-1.7b,edge_count,components,0.2,100,0.01,0.01,0.2,1.0,2052.0,
qwen3-1.7b,edge_count,components,0.35,100,0.0,0.0,0.33,1.0,3070.0,
qwen3-1.7b,edge_count,components,0.5,100,0.0,0.0,0.36,1.0,4006.5,
qwen3-1.7b,edge_count,degree,0.1,100,0.06,0.06,0.1,1.0,1214.0,
qwen3-1.7b,edge_count,degree,0.2,100,0.03,0.03,0.06,1.0,772.5,
qwen3-1.7b,edge_count,degree,0.35,100,0.01,0.01,0.02,1.0,805.0,
qwen3-1.7b,edge_count,degree,0.5,100,0.07,0.07,0.2,1.0,1185.0,
qwen3-1.7b,edge_count,filler,0.1,100,0.0,0.0,0.15,1.0,1501.0,
qwen3-1.7b,edge_count,filler,0.2,100,0.03,0.03,0.09,1.0,2005.5,
qwen3-1.7b,edge_count,filler,0.35,100,0.0,0.0,0.4,1.0,2913.0,
qwen3-1.7b,edge_count,filler,0.5,100,0.0,0.0,0.41,1.0,2269.0,
qwen3-1.7b,edge_count,none,0.1,100,0.03,0.03,0.31,1.0,1988.0,
qwen3-1.7b,edge_count,none,0.2,100,0.02,0.02,0.09,1.0,2026.0,
qwen3-1.7b,edge_count,none,0.35,100,0.0,0.0,0.5,1.0,5874.5,
qwen3-1.7b,edge_count,none,0.5,100,0.0,0.0,0.29,1.0,4035.5,
qwen3-1.7b,edge_count,rwse,0.1,100,0.0,0.0,0.1,1.0,1578.5,
qwen3-1.7b,edge_count,rwse,0.2,100,0.02,0.02,0.09,1.0,2138.0,
qwen3-1.7b,edge_count,rwse,0.35,100,0.0,0.0,0.21,1.0,3086.5,
qwen3-1.7b,edge_count,rwse,0.5,100,0.0,0.0,0.32,1.0,4055.5,
qwen3-1.7b,edge_existence,all,0.1,100,0.89,0.89,0.0,1.0,232.0,
qwen3-1.7b,edge_existence,all,0.2,100,0.81,0.81,0.0,1.0,292.5,
qwen3-1.7b,edge_existence,all,0.35,100,0.78,0.78,0.0,1.0,363.0,
qwen3-1.7b,edge_existence,all,0.5,100,0.8,0.8,0.0,1.0,352.5,
qwen3-1.7b,edge_existence,all,0.65,100,0.76,0.76,0.0,1.0,372.0,
qwen3-1.7b,edge_existence,all,0.75,100,0.86,0.86,0.0,1.0,376.0,
qwen3-1.7b,edge_existence,all,0.85,100,0.89,0.89,0.0,1.0,404.5,
qwen3-1.7b,edge_existence,clustering,0.1,100,0.84,0.84,0.0,1.0,200.0,
qwen3-1.7b,edge_existence,clustering,0.2,100,0.74,0.74,0.0,1.0,241.5,
qwen3-1.7b,edge_existence,clustering,0.35,100,0.72,0.72,0.0,1.0,275.0,
qwen3-1.7b,edge_existence,clustering,0.5,100,0.67,0.67,0.0,1.0,268.5,
qwen3-1.7b,edge_existence,clustering,0.65,100,0.67,0.67,0.0,1.0,259.0,
qwen3-1.7b,edge_existence,clustering,0.75,100,0.82,0.82,0.0,1.0,319.0,
qwen3-1.7b,edge_existence,clustering,0.85,100,0.86,0.86,0.0,1.0,314.5,
qwen3-1.7b,edge_existence,components,0.1,100,0.86,0.86,0.0,1.0,162.5,
qwen3-1.7b,edge_existence,components,0.2,100,0.62,0.62,0.0,1.0,191.5,
qwen3-1.7b,edge_existence,components,0.35,100,0.5,0.5,0.0,1.0,207.0,
qwen3-1.7b,edge_existence,components,0.5,100,0.51,0.51,0.0,1.0,220.5,
qwen3-1.7b,edge_existence,components,0.65,100,0.66,0.66,0.0,1.0,157.0,
qwen3-1.7b,edge_existence,components,0.75,100,0.77,0.77,0.0,1.0,54.0,
qwen3-1.7b,edge_existence,components,0.85,100,0.85,0.85,0.0,1.0,47.0,
qwen3-1.7b,edge_existence,degree,0.1,100,0.83,0.83,0.0,1.0,160.5,
qwen3-1.7b,edge_existence,degree,0.2,100,0.7,0.7,0.0,1.0,210.5,
qwen3-1.7b,edge_existence,degree,0.35,100,0.67,0.67,0.0,1.0,271.5,
qwen3-1.7b,edge_existence,degree,0.5,100,0.78,0.78,0.0,1.0,293.5,
qwen3-1.7b,edge_existence,degree,0.65,100,0.71,0.71,0.0,1.0,265.0,
qwen3-1.7b,edge_existence,degree,0.75,100,0.78,0.78,0.04,0.96,360.5,
qwen3-1.7b,edge_existence,degree,0.85,100,0.88,0.88,0.0,1.0,349.5,
qwen3-1.7b,edge_existence,filler,0.1,100,0.84,0.84,0.0,1.0,150.5,
qwen3-1.7b,edge_existence,filler,0.2,100,0.53,0.53,0.0,1.0,169.0,
qwen3-1.7b,edge_existence,filler,0.35,100,0.34,0.34,0.0,1.0,175.5,
qwen3-1.7b,edge_existence,filler,0.5,100,0.48,0.48,0.0,1.0,171.0,
qwen3-1.7b,edge_existence,filler,0.65,100,0.66,0.66,0.0,1.0,167.0,
qwen3-1.7b,edge_existence,filler,0.75,100,0.76,0.76,0.0,1.0,65.5,
qwen3-1.7b,edge_existence,filler,0.85,100,0.85,0.85,0.0,1.0,41.0,
qwen3-1.7b,edge_existence,none,0.1,100,0.89,0.89,0.0,1.0,180.5,
qwen3-1.7b,edge_existence,none,0.2,100,0.73,0.73,0.0,1.0,215.5,
qwen3-1.7b,edge_existence,none,0.35,100,0.66,0.66,0.0,1.0,237.5,
qwen3-1.7b,edge_existence,none,0.5,100,0.54,0.54,0.0,1.0,206.5,
qwen3-1.7b,edge_existence,none,0.65,100,0.68,0.68,0.0,1.0,50.5,
qwen3-1.7b,edge_existence,none,0.75,100,0.77,0.77,0.0,1.0,47.5,
qwen3-1.7b,edge_existence,none,0.85,100,0.86,0.86,0.0,1.0,120.0,
qwen3-1.7b,edge_existence,rwse,0.1,100,0.91,0.91,0.01,0.99,221.0,
qwen3-1.7b,edge_existence,rwse,0.2,100,0.68,0.68,0.0,1.0,276.0,
qwen3-1.7b,edge_existence,rwse,0.35,100,0.76,0.76,0.0,1.0,305.5,
qwen3-1.7b,edge_existence,rwse,0.5,100,0.67,0.67,0.0,1.0,287.5,
qwen3-1.7b,edge_existence,rwse,0.65,100,0.7,0.7,0.0,1.0,304.0,
qwen3-1.7b,edge_existence,rwse,0.75,100,0.77,0.77,0.0,1.0,320.0,
qwen3-1.7b,edge_existence,rwse,0.85,100,0.87,0.87,0.0,1.0,378.0,
qwen3-1.7b,node_count,all,0.1,100,0.7,0.7,0.0,1.0,196.0,
qwen3-1.7b,node_count,all,0.2,100,0.52,0.52,0.0,1.0,196.0,
qwen3-1.7b,node_count,all,0.35,100,0.94,0.94,0.0,1.0,83.0,
qwen3-1.7b,node_count,all,0.5,100,0.98,0.98,0.0,1.0,86.0,
qwen3-1.7b,node_count,clustering,0.1,100,0.95,0.95,0.0,1.0,197.0,
qwen3-1.7b,node_count,clustering,0.2,100,1.0,1.0,0.0,1.0,199.5,
qwen3-1.7b,node_count,clustering,0.35,100,1.0,1.0,0.0,1.0,197.5,
qwen3-1.7b,node_count,clustering,0.5,100,1.0,1.0,0.0,1.0,84.0,
qwen3-1.7b,node_count,components,0.1,100,0.19,0.19,0.0,1.0,400.0,
qwen3-1.7b,node_count,components,0.2,100,0.41,0.41,0.0,1.0,202.0,
qwen3-1.7b,node_count,components,0.35,100,0.7,0.7,0.0,1.0,199.0,
qwen3-1.7b,node_count,components,0.5,100,0.81,0.81,0.0,1.0,77.0,
qwen3-1.7b,node_count,degree,0.1,100,0.03,0.03,0.0,1.0,401.0,
qwen3-1.7b,node_count,degree,0.2,100,0.05,0.05,0.0,1.0,397.0,
qwen3-1.7b,node_count,degree,0.35,100,0.45,0.45,0.0,1.0,227.0,
qwen3-1.7b,node_count,degree,0.5,100,1.0,1.0,0.0,1.0,77.0,
qwen3-1.7b,node_count,filler,0.1,100,0.16,0.16,0.0,1.0,288.5,
qwen3-1.7b,node_count,filler,0.2,100,0.7,0.7,0.0,1.0,207.0,
qwen3-1.7b,node_count,filler,0.35,100,0.99,0.99,0.0,1.0,78.0,
qwen3-1.7b,node_count,filler,0.5,100,1.0,1.0,0.0,1.0,78.0,
qwen3-1.7b,node_count,none,0.1,100,0.02,0.02,0.0,1.0,399.0,
qwen3-1.7b,node_count,none,0.2,100,0.0,0.0,0.0,1.0,396.0,
qwen3-1.7b,node_count,none,0.35,100,0.28,0.28,0.0,1.0,222.0,
qwen3-1.7b,node_count,none,0.5,100,0.96,0.96,0.0,1.0,77.0,
qwen3-1.7b,node_count,rwse,0.1,100,0.32,0.32,0.0,1.0,390.0,
qwen3-1.7b,node_count,rwse,0.2,100,0.17,0.17,0.0,1.0,201.0,
qwen3-1.7b,node_count,rwse,0.35,100,0.55,0.55,0.0,1.0,201.0,
qwen3-1.7b,node_count,rwse,0.5,100,0.3,0.3,0.0,1.0,201.0,
qwen3-1.7b,node_degree,all,0.1,100,0.97,0.97,0.0,1.0,79.0,
qwen3-1.7b,node_degree,all,0.2,100,0.9,0.9,0.0,1.0,93.0,
qwen3-1.7b,node_degree,all,0.35,100,0.58,0.58,0.0,1.0,172.5,
qwen3-1.7b,node_degree,all,0.5,100,0.38,0.38,0.0,1.0,203.5,
qwen3-1.7b,node_degree,all,0.65,100,0.15,0.15,0.0,1.0,176.0,
qwen3-1.7b,node_degree,all,0.75,100,0.17,0.17,0.0,1.0,228.0,
qwen3-1.7b,node_degree,all,0.85,100,0.05,0.05,0.0,1.0,289.5,
qwen3-1.7b,node_degree,clustering,0.1,100,0.93,0.93,0.0,1.0,78.0,
qwen3-1.7b,node_degree,clustering,0.2,100,0.82,0.82,0.0,1.0,91.5,
qwen3-1.7b,node_degree,clustering,0.35,100,0.47,0.47,0.0,1.0,175.0,
qwen3-1.7b,node_degree,clustering,0.5,100,0.32,0.32,0.0,1.0,236.0,
qwen3-1.7b,node_degree,clustering,0.65,100,0.07,0.07,0.0,1.0,284.5,
qwen3-1.7b,node_degree,clustering,0.75,100,0.11,0.11,0.0,1.0,297.0,
qwen3-1.7b,node_degree,clustering,0.85,100,0.01,0.01,0.0,1.0,232.5,
qwen3-1.7b,node_degree,components,0.1,100,0.92,0.92,0.0,1.0,77.0,
qwen3-1.7b,node_degree,components,0.2,100,0.82,0.82,0.0,1.0,90.5,
qwen3-1.7b,node_degree,components,0.35,100,0.44,0.44,0.0,1.0,131.0,
qwen3-1.7b,node_degree,components,0.5,100,0.31,0.31,0.0,1.0,231.5,
qwen3-1.7b,node_degree,components,0.65,100,0.14,0.14,0.0,1.0,279.5,
qwen3-1.7b,node_degree,components,0.75,100,0.12,0.12,0.0,1.0,281.0,
qwen3-1.7b,node_degree,components,0.85,100,0.04,0.04,0.0,1.0,236.5,
qwen3-1.7b,node_degree,degree,0.1,100,0.94,0.94,0.0,1.0,88.0,
qwen3-1.7b,node_degree,degree,0.2,100,0.9,0.9,0.0,1.0,98.0,
qwen3-1.7b,node_degree,degree,0.35,100,0.59,0.59,0.0,1.0,176.5,
qwen3-1.7b,node_degree,degree,0.5,100,0.29,0.29,0.0,1.0,229.5,
qwen3-1.7b,node_degree,degree,0.65,100,0.08,0.08,0.0,1.0,246.0,
qwen3-1.7b,node_degree,degree,0.75,100,0.15,0.15,0.0,1.0,267.0,
qwen3-1.7b,node_degree,degree,0.85,100,0.07,0.07,0.0,1.0,245.5,
qwen3-1.7b,node_degree,filler,0.1,100,0.96,0.96,0.0,1.0,76.0,
qwen3-1.7b,node_degree,filler,0.2,100,0.73,0.73,0.0,1.0,90.0,
qwen3-1.7b,node_degree,filler,0.35,100,0.41,0.41,0.0,1.0,122.5,
qwen3-1.7b,node_degree,filler,0.5,100,0.3,0.3,0.0,1.0,183.5,
qwen3-1.7b,node_degree,filler,0.65,100,0.07,0.07,0.0,1.0,258.0,
qwen3-1.7b,node_degree,filler,0.75,100,0.03,0.03,0.0,1.0,277.0,
qwen3-1.7b,node_degree,filler,0.85,100,0.03,0.03,0.0,1.0,290.0,
qwen3-1.7b,node_degree,none,0.1,100,0.91,0.91,0.0,1.0,77.0,
qwen3-1.7b,node_degree,none,0.2,100,0.8,0.8,0.0,1.0,90.5,
qwen3-1.7b,node_degree,none,0.35,100,0.41,0.41,0.0,1.0,132.5,
