arm,task,control,condition,n,baseline,treatment,delta,lo,hi,fixed,broken,pvalue,qvalue
qwen3-4b,node_count,none,all,400,90.25,100.0,9.75,7.249999999999999,12.25,39,0,3.637978807091713e-12,2.1827872842550278e-11
qwen3-4b,node_count,filler,none,400,99.5,90.25,-9.25,-12.0,-6.75,0,37,1.4551915228366852e-11,8.731149137020111e-11
qwen3-4b,node_count,filler,components,400,99.5,99.25,-0.25,-1.25,0.5,1,2,1.0,1.0
qwen3-4b,node_count,filler,clustering,400,99.5,99.0,-0.5,-1.7500000000000002,0.75,2,4,0.6875,1.0
qwen3-4b,node_count,filler,rwse,400,99.5,99.5,0.0,-1.0,1.0,2,2,1.0,1.0
qwen3-4b,node_count,filler,degree,400,99.5,98.25,-1.25,-2.5,0.0,1,6,0.125,0.375
qwen3-4b,node_count,filler,all,400,99.5,100.0,0.5,0.0,1.25,2,0,0.5,1.0
qwen3-4b,node_degree,none,filler,400,99.25,98.75,-0.5,-2.0,0.75,3,5,0.7265625,0.871875
qwen3-4b,node_degree,none,components,400,99.25,99.5,0.25,0.0,0.75,1,0,1.0,1.0
qwen3-4b,node_degree,none,clustering,400,99.25,98.75,-0.5,-2.0,1.0,3,5,0.7265625,0.871875
qwen3-4b,node_degree,none,rwse,400,99.25,97.0,-2.25,-4.0,-0.5,2,11,0.0224609375,0.044921875
qwen3-4b,node_degree,none,degree,400,99.25,92.75,-6.5,-9.25,-3.7500000000000004,3,29,2.5560148060321808e-06,7.668044418096542e-06
qwen3-4b,node_degree,none,all,400,99.25,91.25,-8.0,-11.0,-5.250000000000001,2,34,1.941225491464138e-08,1.1647352948784828e-07
qwen3-4b,node_degree,filler,none,400,98.75,99.25,0.5,-0.7500000000000001,2.0,5,3,0.7265625,0.871875
qwen3-4b,node_degree,filler,components,400,98.75,99.5,0.75,-0.5,2.0,5,2,0.453125,0.6796875
qwen3-4b,node_degree,filler,clustering,400,98.75,98.75,0.0,-1.25,1.25,3,3,1.0,1.0
qwen3-4b,node_degree,filler,rwse,400,98.75,97.0,-1.7500000000000002,-3.7500000000000004,0.25,5,12,0.143463134765625,0.28692626953125
qwen3-4b,node_degree,filler,degree,400,98.75,92.75,-6.0,-9.0,-3.25,4,28,1.9301194697618484e-05,5.7903584092855453e-05
qwen3-4b,node_degree,filler,all,400,98.75,91.25,-7.5,-10.25,-5.0,2,32,6.938353180885315e-08,4.163011908531189e-07
qwen3-4b-think,connected_nodes,none,filler,400,95.5,96.75,1.25,-1.0,3.5000000000000004,13,8,0.38331031799316406,0.8555355519056321
qwen3-4b-think,connected_nodes,none,components,400,95.5,96.0,0.5,-1.7500000000000002,2.75,12,10,0.8318119049072266,0.8555355519056321
qwen3-4b-think,connected_nodes,none,clustering,400,95.5,94.75,-0.75,-3.25,1.7500000000000002,12,15,0.7011080384254456,0.8555355519056321
qwen3-4b-think,connected_nodes,none,rwse,400,95.5,96.0,0.5,-2.0,3.0,13,11,0.8388197422027588,0.8555355519056321
qwen3-4b-think,connected_nodes,none,degree,400,95.5,96.0,0.5,-2.25,3.25,16,14,0.8555355519056321,0.8555355519056321
qwen3-4b-think,connected_nodes,none,all,400,95.5,94.25,-1.25,-3.7500000000000004,1.25,11,16,0.44206833839416504,0.8555355519056321
qwen3-4b-think,connected_nodes,filler,none,400,96.75,95.5,-1.25,-3.5000000000000004,1.0,8,13,0.38331031799316406,0.6776394844055176
qwen3-4b-think,connected_nodes,filler,components,400,96.75,96.0,-0.75,-3.0000000000000004,1.5,9,12,0.6636238098144531,0.6776394844055176
qwen3-4b-think,connected_nodes,filler,clustering,400,96.75,94.75,-2.0,-4.25,0.24999999999999997,7,15,0.13380050659179688,0.4014015197753906
qwen3-4b-think,connected_nodes,filler,rwse,400,96.75,96.0,-0.75,-3.25,1.5000000000000002,10,13,0.6776394844055176,0.6776394844055176
qwen3-4b-think,connected_nodes,filler,degree,400,96.75,96.0,-0.75,-2.7500000000000004,1.256250000000023,8,11,0.6476058959960938,0.6776394844055176
qwen3-4b-think,connected_nodes,filler,all,400,96.75,94.25,-2.5,-4.750000000000001,-0.24999999999999992,7,17,0.06391465663909912,0.3834879398345947
qwen3-4b-think,cycle_check,none,filler,400,99.25,99.75,0.5,-0.5,1.5,3,1,0.625,1.0
qwen3-4b-think,cycle_check,none,components,400,99.25,96.0,-3.25,-5.5,-1.25,3,16,0.004425048828125,0.013275146484375
qwen3-4b-think,cycle_check,none,clustering,400,99.25,99.25,0.0,-1.25,1.25,3,3,1.0,1.0
qwen3-4b-think,cycle_check,none,rwse,400,99.25,99.5,0.25,-0.75,1.5,3,2,1.0,1.0
qwen3-4b-think,cycle_check,none,degree,400,99.25,93.75,-5.5,-8.249999999999998,-3.2437499999999773,3,25,2.744048833847046e-05,0.00016464293003082275
qwen3-4b-think,cycle_check,none,all,400,99.25,98.75,-0.5,-1.9999999999999998,0.7500000000000001,3,5,0.7265625,1.0
qwen3-4b-think,cycle_check,filler,none,400,99.75,99.25,-0.5,-1.5000000000000002,0.49999999999999994,1,3,0.625,0.75
qwen3-4b-think,cycle_check,filler,components,400,99.75,96.0,-3.75,-5.75,-2.0,1,16,0.000274658203125,0.000823974609375
qwen3-4b-think,cycle_check,filler,clustering,400,99.75,99.25,-0.5,-1.5,0.5,1,3,0.625,0.75
qwen3-4b-think,cycle_check,filler,rwse,400,99.75,99.5,-0.25,-1.0,0.5,1,2,1.0,1.0
qwen3-4b-think,cycle_check,filler,degree,400,99.75,93.75,-6.0,-8.5,-3.75,1,25,8.046627044677734e-07,4.827976226806641e-06
qwen3-4b-think,cycle_check,filler,all,400,99.75,98.75,-1.0,-2.25,0.0,1,5,0.21875,0.4375
qwen3-4b-think,edge_count,none,filler,400,20.0,32.25,12.25,7.5,17.25,80,31,3.681632925244418e-06,7.363265850488836e-06
qwen3-4b-think,edge_count,none,components,400,20.0,44.75,24.75,19.75,30.000000000000004,120,21,4.810039242065313e-18,2.886023545239188e-17
qwen3-4b-think,edge_count,none,clustering,400,20.0,44.75,24.75,19.25,30.0,123,24,3.177259588075142e-17,9.531778764225427e-17
qwen3-4b-think,edge_count,none,rwse,400,20.0,30.25,10.25,5.5,15.000000000000002,74,33,9.18202620626861e-05,0.00013773039309402914
qwen3-4b-think,edge_count,none,degree,400,20.0,28.499999999999996,8.5,3.0000000000000004,14.250000000000002,88,54,0.0054300904534824125,0.006516108544178894
qwen3-4b-think,edge_count,none,all,400,20.0,21.75,1.7500000000000002,-3.500000000000001,7.249999999999999,63,56,0.5824937911572259,0.5824937911572259
qwen3-4b-think,edge_count,filler,none,400,32.25,20.0,-12.25,-17.25,-7.250000000000001,31,80,3.681632925244418e-06,1.4173411710052174e-05
qwen3-4b-think,edge_count,filler,components,400,32.25,44.75,12.5,6.75,18.006250000000023,97,47,3.7557097042084756e-05,7.511419408416951e-05
qwen3-4b-think,edge_count,filler,clustering,400,32.25,44.75,12.5,7.500000000000001,17.75,84,34,4.724470570017391e-06,1.4173411710052174e-05
qwen3-4b-think,edge_count,filler,rwse,400,32.25,30.25,-2.0,-7.000000000000001,3.0062500000000236,53,61,0.5122548722298447,0.5122548722298447
qwen3-4b-think,edge_count,filler,degree,400,32.25,28.499999999999996,-3.75,-9.250000000000004,1.7500000000000002,69,84,0.2576337765467225,0.30916053185606696
qwen3-4b-think,edge_count,filler,all,400,32.25,21.75,-10.5,-16.249999999999996,-4.75,50,92,0.0005337707534569341,0.0008006561301854012
qwen3-4b-think,edge_existence,none,filler,400,99.75,99.75,0.0,0.0,0.0,0,0,1.0,1.0
qwen3-4b-think,edge_existence,none,components,400,99.75,99.25,-0.5,-1.5000000000000002,0.49999999999999994,1,3,0.625,0.9375
qwen3-4b-think,edge_existence,none,clustering,400,99.75,99.0,-0.75,-1.7500000000000002,0.0,0,3,0.25,0.5
qwen3-4b-think,edge_existence,none,rwse,400,99.75,98.5,-1.25,-2.5,0.0,1,6,0.125,0.5
qwen3-4b-think,edge_existence,none,degree,400,99.75,99.75,0.0,-0.75,0.75,1,1,1.0,1.0
qwen3-4b-think,edge_existence,none,all,400,99.75,98.75,-1.0,-2.25,0.0,1,5,0.21875,0.5
qwen3-4b-think,edge_existence,filler,none,400,99.75,99.75,0.0,0.0,0.0,0,0,1.0,1.0
qwen3-4b-think,edge_existence,filler,components,400,99.75,99.25,-0.5,-1.5000000000000002,0.49999999999999994,1,3,0.625,0.9375
qwen3-4b-think,edge_existence,filler,clustering,400,99.75,99.0,-0.75,-1.7499999999999998,0.0,0,3,0.25,0.5
qwen3-4b-think,edge_existence,filler,rwse,400,99.75,98.5,-1.25,-2.5,0.0,1,6,0.125,0.5
qwen3-4b-think,edge_existence,filler,degree,400,99.75,99.75,0.0,-0.75,0.75,1,1,1.0,1.0
qwen3-4b-think,edge_existence,filler,all,400,99.75,98.75,-1.0,-2.25,0.0,1,5,0.21875,0.5
qwen3-4b-think,node_count,none,filler,400,99.5,100.0,0.5,0.0,1.25,2,0,0.5,1.0
qwen3-4b-think,node_count,none,components,400,99.5,99.5,0.0,-1.0,1.0,2,2,1.0,1.0
qwen3-4b-think,node_count,none,clustering,400,99.5,99.75,0.25,-0.5,1.25,2,1,1.0,1.0
qwen3-4b-think,node_count,none,rwse,400,99.5,99.75,0.25,-0.5,1.0,2,1,1.0,1.0
qwen3-4b-think,node_count,none,degree,400,99.5,99.75,0.25,-0.5,1.25,2,1,1.0,1.0
qwen3-4b-think,node_count,none,all,400,99.5,100.0,0.5,0.0,1.25,2,0,0.5,1.0
qwen3-4b-think,node_count,filler,none,400,100.0,99.5,-0.5,-1.25,0.0,0,2,0.5,1.0
qwen3-4b-think,node_count,filler,components,400,100.0,99.5,-0.5,-1.25,0.0,0,2,0.5,1.0
qwen3-4b-think,node_count,filler,clustering,400,100.0,99.75,-0.25,-0.75,0.0,0,1,1.0,1.0
qwen3-4b-think,node_count,filler,rwse,400,100.0,99.75,-0.25,-0.75,0.0,0,1,1.0,1.0
qwen3-4b-think,node_count,filler,degree,400,100.0,99.75,-0.25,-0.75,0.0,0,1,1.0,1.0
qwen3-4b-think,node_count,filler,all,400,100.0,100.0,0.0,0.0,0.0,0,0,1.0,1.0
qwen3-4b-think,node_degree,none,filler,400,97.0,99.0,2.0,0.49999999999999994,3.75,10,2,0.03857421875,0.11572265625
qwen3-4b-think,node_degree,none,components,400,97.0,97.25,0.25,-2.0,2.2500000000000004,10,9,1.0,1.0
qwen3-4b-think,node_degree,none,clustering,400,97.0,98.75,1.7500000000000002,-0.25,3.7500000000000004,12,5,0.143463134765625,0.28692626953125
qwen3-4b-think,node_degree,none,rwse,400,97.0,95.75,-1.25,-3.75,1.0000000000000002,10,15,0.42435622215270996,0.6365343332290649
qwen3-4b-think,node_degree,none,degree,400,97.0,99.5,2.5,0.75,4.5,12,2,0.012939453125,0.07763671875
qwen3-4b-think,node_degree,none,all,400,97.0,97.5,0.5,-1.5000000000000002,2.5,10,8,0.8145294189453125,0.977435302734375
qwen3-4b-think,node_degree,filler,none,400,99.0,97.0,-2.0,-3.75,-0.49999999999999994,2,10,0.03857421875,0.11572265625
qwen3-4b-think,node_degree,filler,components,400,99.0,97.25,-1.7500000000000002,-3.5000000000000004,0.0,3,10,0.09228515625,0.1845703125
qwen3-4b-think,node_degree,filler,clustering,400,99.0,98.75,-0.25,-1.5000000000000002,1.0,3,4,1.0,1.0
qwen3-4b-think,node_degree,filler,rwse,400,99.0,95.75,-3.25,-5.5,-1.25,3,16,0.004425048828125,0.02655029296875
qwen3-4b-think,node_degree,filler,degree,400,99.0,99.5,0.5,-0.75,1.7500000000000002,4,2,0.6875,0.825
qwen3-4b-think,node_degree,filler,all,400,99.0,97.5,-1.5,-3.25,0.0,3,9,0.14599609375,0.218994140625
