arm,task,control,condition,n,baseline,treatment,delta,lo,hi,fixed,broken,pvalue,qvalue
qwen3-1.7b,edge_existence,filler,rwse,400,54.75,75.5,20.75,16.25,25.25,96,13,8.303445016382138e-17,1.6606890032764276e-16
qwen3-1.7b,edge_existence,filler,degree,400,54.75,74.5,19.75,15.5,24.25,91,12,3.4610428636474895e-16,5.191564295471234e-16
qwen3-1.7b,edge_existence,filler,all,400,54.75,82.0,27.250000000000004,22.5,31.75,119,10,7.876735311199382e-25,4.72604118671963e-24
qwen3-1.7b,node_count,none,filler,400,31.5,71.25,39.75,36.0,43.50000000000001,161,2,2.2865181363073523e-45,4.5730362726147045e-45
qwen3-1.7b,node_count,none,components,400,31.5,52.75,21.25,16.5,26.249999999999996,113,28,2.6418869265765717e-13,3.9628303898648576e-13
qwen3-1.7b,node_count,none,clustering,400,31.5,98.75,67.25,64.49999999999999,69.75,269,0,2.1084395886461046e-81,1.2650637531876628e-80
qwen3-1.7b,node_count,none,rwse,400,31.5,33.5,2.0,-2.9999999999999973,7.000000000000001,87,79,0.5870535639169906,0.5870535639169906
qwen3-1.7b,node_count,none,degree,400,31.5,38.25,6.75,3.25,10.25,43,16,0.0005843646280443461,0.0007012375536532154
qwen3-1.7b,node_count,none,all,400,31.5,78.5,47.0,42.5,51.49999999999999,193,5,1.2314364929436383e-50,3.694309478830915e-50
qwen3-1.7b,node_count,filler,none,400,71.25,31.5,-39.75,-43.25625,-35.99374999999998,2,161,2.2865181363073523e-45,1.3719108817844114e-44
qwen3-1.7b,node_count,filler,components,400,71.25,52.75,-18.5,-23.5,-13.25,28,102,4.4253738468920555e-11,5.310448616270467e-11
qwen3-1.7b,node_count,filler,clustering,400,71.25,98.75,27.500000000000004,24.5,30.5,110,0,1.5407439555097887e-33,4.622231866529366e-33
qwen3-1.7b,node_count,filler,rwse,400,71.25,33.5,-37.75,-42.75,-32.75,25,176,3.737608838133044e-29,5.606413257199566e-29
qwen3-1.7b,node_count,filler,degree,400,71.25,38.25,-33.0,-37.24999999999999,-28.749999999999996,7,139,5.719725898594834e-33,1.1439451797189668e-32
qwen3-1.7b,node_count,filler,all,400,71.25,78.5,7.249999999999999,2.993750000000001,12.0,73,44,0.009340760589436546,0.009340760589436546
qwen3-1.7b,node_degree,none,filler,400,60.5,60.0,-0.5,-4.5,3.25,32,34,0.9021585000966994,0.9021585000966995
qwen3-1.7b,node_degree,none,components,400,60.5,62.25000000000001,1.7500000000000002,-2.2499999999999996,5.75,36,29,0.45702078541058977,0.5484249424927077
qwen3-1.7b,node_degree,none,clustering,400,60.5,63.5,3.0,-1.7500000000000002,7.75,53,41,0.25644234893296985,0.38466352339945475
qwen3-1.7b,node_degree,none,rwse,400,60.5,64.5,4.0,-0.5000000000000001,8.5,53,37,0.11334435404342058,0.22668870808684116
qwen3-1.7b,node_degree,none,degree,400,60.5,68.0,7.5,3.25,11.756250000000023,57,27,0.0014044946311139559,0.004213483893341868
qwen3-1.7b,node_degree,none,all,400,60.5,70.75,10.25,5.250000000000001,15.5,77,36,0.00014401960112955247,0.0008641176067773148
qwen3-1.7b,node_degree,filler,none,400,60.0,60.5,0.5,-3.5000000000000004,4.5,34,32,0.9021585000966994,0.9021585000966995
qwen3-1.7b,node_degree,filler,components,400,60.0,62.25000000000001,2.25,-1.5000000000000002,6.25,39,30,0.3355576182340152,0.40266914188081826
qwen3-1.7b,node_degree,filler,clustering,400,60.0,63.5,3.5000000000000004,-1.25,8.000000000000002,55,41,0.1842858728803648,0.2764288093205472
qwen3-1.7b,node_degree,filler,rwse,400,60.0,64.5,4.5,0.0,9.0,53,35,0.06934604368506445,0.1386920873701289
qwen3-1.7b,node_degree,filler,degree,400,60.0,68.0,8.0,3.4999999999999996,12.5,61,29,0.000972760707951367,0.002918282123854101
qwen3-1.7b,node_degree,filler,all,400,60.0,70.75,10.75,6.0,15.5,74,31,3.27553526874422e-05,0.0001965321161246532
qwen3-1.7b-think,connected_nodes,none,filler,400,78.75,81.25,2.5,-1.0,6.25,32,22,0.22032849417661093,0.3304927412649164
qwen3-1.7b-think,connected_nodes,none,components,400,78.75,81.25,2.5,-0.75,5.75,28,18,0.18392482137699062,0.3304927412649164
qwen3-1.7b-think,connected_nodes,none,clustering,400,78.75,80.75,2.0,-2.0000000000000004,6.000000000000001,39,31,0.40296307504607976,0.4835556900552957
qwen3-1.7b-think,connected_nodes,none,rwse,400,78.75,79.0,0.25,-3.75,4.25,33,32,1.0,1.0
