arm,task,condition,n,success,exact,cap,f1
qwen3-4b,connected_nodes,clustering,400,0.87,0.87,0.0,0.9844828633672779
qwen3-4b,connected_nodes,components,400,0.9525,0.9525,0.0,0.9975950091875354
qwen3-4b,connected_nodes,degree,400,0.83,0.83,0.0,0.9768428662945616
qwen3-4b,connected_nodes,filler,400,0.735,0.735,0.0,0.9659515126986784
qwen3-4b,connected_nodes,none,400,0.86,0.86,0.0,0.9871080940829917
qwen3-4b,connected_nodes,rwse,400,0.86,0.86,0.0,0.9775867530993253
qwen3-4b,cycle_check,all,400,0.9875,0.9925,0.005,
qwen3-4b,cycle_check,clustering,400,0.995,0.995,0.005,
qwen3-4b,cycle_check,components,400,0.97,0.9775,0.015,
qwen3-4b,cycle_check,degree,400,0.9675,0.9675,0.015,
qwen3-4b,cycle_check,filler,400,0.985,0.995,0.0125,
qwen3-4b,cycle_check,none,400,0.99,0.9975,0.0075,
qwen3-4b,cycle_check,rwse,400,0.9875,1.0,0.0125,
qwen3-4b,edge_count,all,400,0.0575,0.0575,0.0075,
qwen3-4b,edge_count,clustering,400,0.0075,0.0075,0.0025,
qwen3-4b,edge_count,components,400,0.0075,0.0075,0.0075,
qwen3-4b,edge_count,degree,400,0.2925,0.2925,0.0175,
qwen3-4b,edge_count,filler,400,0.0325,0.0325,0.0,
qwen3-4b,edge_count,none,400,0.02,0.02,0.0,
qwen3-4b,edge_count,rwse,400,0.005,0.005,0.005,
qwen3-4b,edge_existence,all,400,0.805,0.805,0.0025,
qwen3-4b,edge_existence,clustering,400,0.945,0.945,0.0,
qwen3-4b,edge_existence,components,400,0.8775,0.8775,0.0,
qwen3-4b,edge_existence,degree,400,0.8575,0.8575,0.005,
qwen3-4b,edge_existence,filler,400,0.835,0.835,0.0,
qwen3-4b,edge_existence,none,400,0.905,0.905,0.0,
qwen3-4b,edge_existence,rwse,400,0.805,0.805,0.0,
qwen3-4b,node_count,all,400,1.0,1.0,0.0,
qwen3-4b,node_count,clustering,400,0.99,0.99,0.0,
qwen3-4b,node_count,components,400,0.9925,0.9925,0.0,
qwen3-4b,node_count,degree,400,0.9825,0.9825,0.0,
qwen3-4b,node_count,filler,400,0.995,0.995,0.0,
qwen3-4b,node_count,none,400,0.9025,0.9025,0.0,
qwen3-4b,node_count,rwse,400,0.995,0.995,0.0,
qwen3-4b,node_degree,all,400,0.9125,0.9125,0.0,
qwen3-4b,node_degree,clustering,400,0.9875,0.9875,0.0,
qwen3-4b,node_degree,components,400,0.995,0.995,0.0,
qwen3-4b,node_degree,degree,400,0.9275,0.9275,0.0,
qwen3-4b,node_degree,filler,400,0.9875,0.9875,0.0,
qwen3-4b,node_degree,none,400,0.9925,0.9925,0.0,
qwen3-4b,node_degree,rwse,400,0.97,0.97,0.0,
qwen3-4b-think,connected_nodes,all,400,0.9425,0.955,0.0425,0.9816605828382144
qwen3-4b-think,connected_nodes,clustering,400,0.9475,0.965,0.045,0.9834863719613719
qwen3-4b-think,connected_nodes,components,400,0.96,0.9725,0.035,0.9874642181886935
qwen3-4b-think,connected_nodes,degree,400,0.96,0.9725,0.03,0.9885659308391866
qwen3-4b-think,connected_nodes,filler,400,0.9675,0.98,0.0275,0.9934435606060606
qwen3-4b-think,connected_nodes,none,400,0.955,0.97,0.0325,0.9832293014003539
qwen3-4b-think,connected_nodes,rwse,400,0.96,0.9675,0.03,0.9866621545121546
qwen3-4b-think,cycle_check,all,400,0.9875,0.995,0.0125,
qwen3-4b-think,cycle_check,clustering,400,0.9925,1.0,0.0075,
qwen3-4b-think,cycle_check,components,400,0.96,0.9875,0.04,
qwen3-4b-think,cycle_check,degree,400,0.9375,0.96,0.055,
qwen3-4b-think,cycle_check,filler,400,0.9975,1.0,0.0025,
qwen3-4b-think,cycle_check,none,400,0.9925,0.9925,0.0075,
qwen3-4b-think,cycle_check,rwse,400,0.995,1.0,0.005,
qwen3-4b-think,edge_count,all,400,0.2175,0.28,0.5575,
qwen3-4b-think,edge_count,clustering,400,0.4475,0.5275,0.535,
qwen3-4b-think,edge_count,components,400,0.4475,0.5975,0.545,
qwen3-4b-think,edge_count,degree,400,0.285,0.41,0.5875,
qwen3-4b-think,edge_count,filler,400,0.3225,0.445,0.665,
qwen3-4b-think,edge_count,none,400,0.2,0.3475,0.795,
qwen3-4b-think,edge_count,rwse,400,0.3025,0.4575,0.6725,
qwen3-4b-think,edge_existence,all,400,0.9875,1.0,0.0125,
qwen3-4b-think,edge_existence,clustering,400,0.99,1.0,0.01,
qwen3-4b-think,edge_existence,components,400,0.9925,1.0,0.0075,
qwen3-4b-think,edge_existence,degree,400,0.9975,1.0,0.0025,
