arm,condition,metric,n,baseline,treatment,delta,lo,hi,fixed,broken,pvalue,qvalue
qwen3-4b,degree,consistent,400,87.0,81.0,-6.0,-10.500000000000002,-1.5,31,55,0.012672513952314862,0.019008770928472293
qwen3-4b,all,consistent,400,87.0,80.0,-7.000000000000001,-11.250000000000002,-2.75,27,55,0.0026424928957725444,0.005284985791545089
qwen3-4b,filler,joint_success,400,85.75,72.5,-13.25,-18.0,-8.75,21,74,4.24989199238447e-08,2.549935195430682e-07
qwen3-4b,components,joint_success,400,85.75,95.0,9.25,6.000000000000001,12.75,44,7,1.2115257419509362e-07,3.6345772258528086e-07
qwen3-4b,clustering,joint_success,400,85.75,86.25,0.5,-3.5000000000000004,4.5,34,32,0.9021585000966994,0.9021585000966995
qwen3-4b,rwse,joint_success,400,85.75,83.75,-2.0,-6.25,2.25,33,41,0.4159851975073046,0.4991822370087656
qwen3-4b,degree,joint_success,400,85.75,76.5,-9.25,-13.750000000000002,-4.75,28,65,0.0001575707877910854,0.0003151415755821708
qwen3-4b,all,joint_success,400,85.75,77.5,-8.25,-12.756249999999996,-3.7500000000000004,27,60,0.0005243546737950249,0.0007865320106925373
qwen3-4b,filler,consistent_wrong,400,1.25,3.0,1.7500000000000002,-4.336808689942018e-17,3.5000000000000004,11,4,0.11846923828124999,0.23693847656249997
qwen3-4b,components,consistent_wrong,400,1.25,0.5,-0.75,-2.0,0.5,2,5,0.453125,0.54375
qwen3-4b,clustering,consistent_wrong,400,1.25,3.25,2.0,0.0,4.0,12,4,0.076812744140625,0.230438232421875
qwen3-4b,rwse,consistent_wrong,400,1.25,1.5,0.25,-1.25,1.9999999999999998,6,5,1.0,1.0
qwen3-4b,degree,consistent_wrong,400,1.25,4.5,3.25,1.0,5.500000000000001,18,5,0.010622024536132812,0.06373214721679688
qwen3-4b,all,consistent_wrong,400,1.25,2.5,1.25,-0.5,3.25,10,5,0.30175781249999994,0.4526367187499999
qwen3-4b-think,filler,consistent,400,94.0,96.0,2.0,-0.5,4.500000000000001,17,9,0.16863754391670227,0.7676252386299893
qwen3-4b-think,components,consistent,400,94.0,94.5,0.5,-2.25,3.25,18,16,0.8641662404406816,1.0
qwen3-4b-think,clustering,consistent,400,94.0,94.5,0.5,-2.2500000000000004,3.25,18,16,0.8641662404406816,1.0
qwen3-4b-think,rwse,consistent,400,94.0,93.0,-1.0,-4.25,2.25,19,23,0.6439689563703723,1.0
qwen3-4b-think,degree,consistent,400,94.0,96.0,2.0,-1.0000000000000002,5.0,23,15,0.2558750795433298,0.7676252386299893
qwen3-4b-think,all,consistent,400,94.0,93.75,-0.25,-3.0000000000000004,2.5000000000000004,17,18,1.0,1.0
qwen3-4b-think,filler,joint_success,400,93.75,96.0,2.25,-0.2499999999999999,4.75,17,8,0.10775214433670044,0.6465128660202026
qwen3-4b-think,components,joint_success,400,93.75,94.5,0.75,-2.0,3.5000000000000004,18,15,0.7283324808813632,0.8679394004284404
qwen3-4b-think,clustering,joint_success,400,93.75,94.25,0.5,-2.2500000000000004,3.25,18,16,0.8641662404406816,0.8679394004284404
qwen3-4b-think,rwse,joint_success,400,93.75,93.0,-0.75,-4.0,2.5,19,22,0.755228657504631,0.8679394004284404
qwen3-4b-think,degree,joint_success,400,93.75,95.75,2.0,-1.25,5.0,23,15,0.2558750795433298,0.7676252386299893
qwen3-4b-think,all,joint_success,400,93.75,93.25,-0.5,-3.2562499999999988,2.5,17,19,0.8679394004284404,0.8679394004284404
qwen3-4b-think,filler,consistent_wrong,400,0.25,0.0,-0.25,-0.75,0.0,0,1,1.0,1.0
qwen3-4b-think,components,consistent_wrong,400,0.25,0.0,-0.25,-0.75,0.0,0,1,1.0,1.0
qwen3-4b-think,clustering,consistent_wrong,400,0.25,0.25,0.0,-0.75,0.75,1,1,1.0,1.0
qwen3-4b-think,rwse,consistent_wrong,400,0.25,0.0,-0.25,-0.75,0.0,0,1,1.0,1.0
qwen3-4b-think,degree,consistent_wrong,400,0.25,0.25,0.0,-0.75,0.75,1,1,1.0,1.0
qwen3-4b-think,all,consistent_wrong,400,0.25,0.5,0.25,-0.5,1.25,2,1,1.0,1.0
