p,index,graph_id,n_edges,mean_degree,components,triangles,mean_clustering,target,target_degree,target_clustering,edge_u,edge_v,rwse_unique,rwse_modal_share,rwse_unique_4dp,rwse_unique_6dp,degree_unique,clustering_unique
0.75,15,p0.75/15,574,28.7,1,3932,0.7355921194218663,10,29,0.7266009852216748,10,20,4,0.475,38,40,13,8
0.75,16,p0.75/16,596,29.8,1,4372,0.7602803017329534,12,33,0.7613636363636364,12,25,2,0.575,37,40,9,5
0.75,17,p0.75/17,583,29.15,1,4118,0.7483319657719685,16,25,0.76,16,32,3,0.5,39,40,12,8
0.75,18,p0.75/18,582,29.1,1,4107,0.7478725287893819,21,26,0.7846153846153846,21,35,3,0.6,39,40,12,8
0.75,19,p0.75/19,595,29.75,1,4399,0.7644629735735243,6,30,0.7310344827586207,6,33,2,0.575,40,40,13,9
0.75,20,p0.75/20,569,28.45,1,3875,0.7351848140684677,2,28,0.7328042328042328,2,6,4,0.4,39,40,15,9
0.75,21,p0.75/21,604,30.2,1,4607,0.776904399617344,33,36,0.7666666666666667,33,19,2,0.575,37,40,13,6
0.75,22,p0.75/22,598,29.9,1,4448,0.7671283869951383,36,27,0.7977207977207977,36,24,2,0.65,40,40,12,8
0.75,23,p0.75/23,587,29.35,1,4253,0.7587393911659617,29,30,0.7333333333333333,29,5,2,0.65,39,40,13,7
0.75,24,p0.75/24,586,29.3,1,4201,0.7523768755051632,16,30,0.7540229885057471,16,27,2,0.525,39,40,12,6
0.75,25,p0.75/25,590,29.5,1,4271,0.7563588316897019,29,29,0.7192118226600985,29,17,2,0.675,39,40,10,7
0.75,26,p0.75/26,569,28.45,1,3818,0.726544200958805,13,26,0.7015384615384616,13,4,3,0.35,39,40,11,8
0.75,27,p0.75/27,580,29.0,1,4058,0.7440350597457268,21,28,0.7037037037037037,21,0,3,0.65,39,40,12,7
0.75,28,p0.75/28,592,29.6,1,4278,0.7544145206412185,24,29,0.7684729064039408,24,6,2,0.7,38,40,10,6
0.75,29,p0.75/29,584,29.2,1,4202,0.7559848806134382,27,30,0.767816091954023,27,16,2,0.5,38,40,14,7
0.75,30,p0.75/30,601,30.05,1,4520,0.7702045001170952,11,34,0.7647058823529411,11,29,2,0.6,40,40,12,8
0.75,31,p0.75/31,592,29.6,1,4313,0.7576365932867855,10,27,0.7321937321937322,10,7,2,0.55,38,40,10,7
0.75,32,p0.75/32,573,28.65,1,3949,0.7402030474753104,36,29,0.7241379310344828,36,24,4,0.4,40,40,13,8
0.75,33,p0.75/33,568,28.4,1,3857,0.7344584821968813,17,28,0.7354497354497355,17,24,4,0.425,38,40,14,7
0.75,34,p0.75/34,587,29.35,1,4205,0.7530575622713391,3,31,0.7333333333333333,3,18,2,0.625,38,40,12,7
0.75,35,p0.75/35,579,28.95,1,4003,0.7376653774324797,35,27,0.7635327635327636,35,29,4,0.55,39,40,9,7
0.75,36,p0.75/36,590,29.5,1,4296,0.7583282004806313,39,30,0.7471264367816092,39,6,2,0.5,39,40,11,8
0.75,37,p0.75/37,606,30.3,1,4622,0.7768554435329079,7,29,0.7832512315270936,7,25,2,0.625,39,40,11,6
0.75,38,p0.75/38,587,29.35,1,4221,0.7540236301636831,7,30,0.7701149425287356,7,14,2,0.525,37,40,10,7
0.75,39,p0.75/39,579,28.95,1,4049,0.7442394675458829,23,28,0.7619047619047619,23,26,4,0.5,39,40,11,8
0.75,40,p0.75/40,581,29.05,1,4059,0.7421513861117296,18,27,0.7150997150997151,18,26,2,0.575,40,40,11,7
0.75,41,p0.75/41,568,28.4,1,3790,0.7241756056978708,28,28,0.7116402116402116,28,5,4,0.4,39,40,10,9
0.75,42,p0.75/42,589,29.45,1,4248,0.7536712765545847,8,28,0.7698412698412699,8,14,2,0.6,40,40,12,6
0.75,43,p0.75/43,580,29.0,1,4089,0.7476154048854977,20,32,0.7237903225806451,20,14,4,0.525,40,40,12,10
0.75,44,p0.75/44,569,28.45,1,3835,0.7293200783537619,14,22,0.7229437229437229,14,22,4,0.35,40,40,13,8
0.75,45,p0.75/45,572,28.6,1,3867,0.7295464612169555,38,29,0.7093596059113301,38,0,4,0.45,38,40,11,8
0.75,46,p0.75/46,589,29.45,1,4218,0.7510652756039905,29,29,0.7586206896551724,29,26,2,0.7,39,40,10,6
0.75,47,p0.75/47,586,29.3,1,4190,0.7520850754990274,37,29,0.7463054187192119,37,2,2,0.65,38,40,12,7
0.75,48,p0.75/48,575,28.75,1,3918,0.7311950560611196,20,32,0.719758064516129,20,13,4,0.5,39,40,12,7
0.75,49,p0.75/49,593,29.65,1,4322,0.7588149208998493,4,34,0.7468805704099821,4,17,2,0.65,38,40,12,7
0.75,50,p0.75/50,581,29.05,1,4100,0.7476144600748036,8,30,0.728735632183908,8,15,4,0.5,39,40,11,7
0.75,51,p0.75/51,591,29.55,1,4265,0.7546880979987602,39,30,0.7402298850574712,39,23,2,0.6,38,40,10,6
0.75,52,p0.75/52,588,29.4,1,4220,0.7527003900936151,37,28,0.7248677248677249,37,26,2,0.625,39,40,12,7
0.75,53,p0.75/53,591,29.55,1,4264,0.7537354984930922,14,29,0.7487684729064039,14,7,2,0.65,39,40,11,6
0.75,54,p0.75/54,575,28.75,1,3938,0.7360913403743634,12,31,0.7333333333333333,12,7,4,0.525,40,40,11,7
0.75,55,p0.75/55,595,29.75,1,4361,0.7602850743727222,21,32,0.7600806451612904,21,30,2,0.625,40,40,11,6
0.75,56,p0.75/56,570,28.5,1,3847,0.7302557547014215,17,30,0.7310344827586207,17,26,4,0.3,40,40,10,7
0.75,57,p0.75/57,584,29.2,1,4187,0.7543225486280807,27,27,0.7378917378917379,27,6,2,0.575,39,40,13,6
0.75,58,p0.75/58,580,29.0,1,4039,0.7419453202502575,6,25,0.7466666666666667,6,9,3,0.55,39,40,10,7
0.75,59,p0.75/59,585,29.25,1,4152,0.7481933093821485,34,28,0.7380952380952381,34,14,2,0.6,37,40,10,7
0.75,60,p0.75/60,596,29.8,1,4392,0.7628646054342008,23,30,0.7632183908045977,23,34,2,0.575,40,40,11,6
0.75,61,p0.75/61,577,28.85,1,4001,0.7408326946540675,18,27,0.7521367521367521,18,19,4,0.5,39,40,11,9
0.75,62,p0.75/62,568,28.4,1,3786,0.7247482282725135,34,27,0.7606837606837606,34,18,4,0.375,39,40,12,9
0.75,63,p0.75/63,588,29.4,1,4186,0.7481600101061391,10,30,0.7540229885057471,10,39,2,0.7,38,40,9,7
0.75,64,p0.75/64,587,29.35,1,4175,0.7482045457227482,32,29,0.7660098522167488,32,29,2,0.7,40,40,11,7
0.75,65,p0.75/65,597,29.85,1,4433,0.7670504964592542,30,28,0.7433862433862434,30,31,2,0.6,39,40,12,6
0.75,66,p0.75/66,604,30.2,1,4584,0.7745534353074798,22,31,0.7548387096774194,22,29,2,0.575,39,40,12,7
0.75,67,p0.75/67,601,30.05,1,4536,0.7721005461208142,37,34,0.7736185383244206,37,32,2,0.55,38,40,12,7
0.75,68,p0.75/68,586,29.3,1,4174,0.7493629628712073,27,27,0.7749287749287749,27,31,2,0.675,40,40,11,6
0.75,69,p0.75/69,574,28.7,1,3923,0.7350288666695454,30,31,0.7247311827956989,30,20,4,0.575,39,40,11,8
0.75,70,p0.75/70,582,29.1,1,4080,0.7441973202186676,10,25,0.7633333333333333,10,28,3,0.7,36,40,12,6
0.75,71,p0.75/71,595,29.75,1,4360,0.7607838539109681,33,28,0.7645502645502645,33,16,2,0.625,38,40,11,7
0.75,72,p0.75/72,609,30.45,1,4750,0.7881090723030564,29,36,0.753968253968254,29,22,2,0.55,36,40,14,8
0.75,73,p0.75/73,578,28.9,1,4014,0.7410343728806399,25,22,0.7359307359307359,25,17,4,0.575,40,40,12,8
0.75,74,p0.75/74,585,29.25,1,4126,0.7436169173233967,19,26,0.7507692307692307,19,33,2,0.55,38,40,9,7
0.75,75,p0.75/75,585,29.25,1,4195,0.7546916062720461,12,33,0.7424242424242424,12,38,2,0.525,38,40,12,7
0.75,76,p0.75/76,609,30.45,1,4708,0.7817907838586574,3,35,0.7764705882352941,3,16,2,0.65,37,40,12,7
0.75,77,p0.75/77,573,28.65,1,3940,0.7395523790464817,26,27,0.7293447293447294,26,7,4,0.425,38,40,11,8
0.75,78,p0.75/78,597,29.85,1,4405,0.7620986861746365,10,34,0.7593582887700535,10,12,2,0.575,38,40,9,6
0.75,79,p0.75/79,566,28.3,1,3736,0.7196544264397132,31,31,0.7032258064516129,31,34,4,0.4,39,40,11,7
0.75,80,p0.75/80,591,29.55,1,4271,0.7540954882627605,5,28,0.7671957671957672,5,7,2,0.6,40,40,10,6
0.75,81,p0.75/81,587,29.35,1,4264,0.7609861335270661,6,36,0.7523809523809524,6,30,2,0.575,40,40,13,8
0.75,82,p0.75/82,575,28.75,1,3961,0.7376060958380162,21,29,0.7339901477832512,21,37,4,0.5,38,40,12,6
0.75,83,p0.75/83,576,28.8,1,3957,0.7372303447608315,16,27,0.7407407407407407,16,30,4,0.5,38,40,10,7
0.75,84,p0.75/84,612,30.6,1,4782,0.7863368002442751,22,27,0.8091168091168092,22,34,2,0.6,37,40,11,6
0.75,85,p0.75/85,591,29.55,1,4352,0.7647747737613415,24,30,0.7816091954022989,24,34,2,0.5,38,40,14,10
0.75,86,p0.75/86,585,29.25,1,4172,0.7518115338147396,19,34,0.7397504456327986,19,35,2,0.6,37,40,11,8
0.75,87,p0.75/87,571,28.55,1,3859,0.7296573117969507,6,31,0.7354838709677419,6,38,4,0.325,39,40,11,8
0.75,88,p0.75/88,568,28.4,1,3801,0.7248077854698738,36,23,0.7272727272727273,36,39,4,0.475,39,40,12,9
0.75,89,p0.75/89,561,28.05,1,3713,0.7271643112422332,33,23,0.7628458498023716,33,18,3,0.55,40,40,12,8
0.75,90,p0.75/90,581,29.05,1,4086,0.7466468925608964,10,30,0.7264367816091954,10,34,3,0.525,39,40,12,7
0.75,91,p0.75/91,564,28.2,1,3760,0.7283704123664094,8,33,0.7253787878787878,8,34,3,0.5,39,40,12,7
0.75,92,p0.75/92,568,28.4,1,3810,0.7273988130688933,5,33,0.6950757575757576,5,8,4,0.35,39,40,11,9
0.75,93,p0.75/93,585,29.25,1,4133,0.746260430181765,6,28,0.746031746031746,6,19,2,0.6,38,40,10,8
0.75,94,p0.75/94,577,28.85,1,3995,0.7388209016160454,25,25,0.74,25,30,4,0.45,40,40,12,7
0.75,95,p0.75/95,586,29.3,1,4167,0.7484167098190524,0,25,0.77,0,13,2,0.65,40,40,10,7
0.75,96,p0.75/96,587,29.35,1,4214,0.7534411335663742,32,28,0.7222222222222222,32,4,2,0.6,38,40,13,8
0.75,97,p0.75/97,583,29.15,1,4115,0.747255210894091,5,24,0.7681159420289855,5,9,2,0.6,38,40,10,5
0.75,98,p0.75/98,563,28.15,1,3760,0.7294930356432302,29,29,0.7044334975369458,29,3,4,0.45,40,40,13,9
