model_size,task,density,condition,delta_nonthink,delta_think,interaction,acc_none_nonthink,cap_nonthink,cap_think
4b,node_degree,0.65,filler,0.0,0.0,0.0,,0.0,0.0
4b,node_degree,0.65,degree,-0.09999999999999998,-0.030000000000000027,0.06999999999999995,,0.0,0.01
4b,node_degree,0.65,clustering,0.030000000000000027,-0.020000000000000018,-0.050000000000000044,,0.0,0.0
4b,node_degree,0.65,rwse,-0.040000000000000036,-0.030000000000000027,0.010000000000000009,,0.0,0.02
4b,node_degree,0.65,components,-0.12,-0.020000000000000018,0.09999999999999998,,0.0,0.01
4b,node_degree,0.65,all,-0.41,-0.010000000000000009,0.39999999999999997,,0.0,0.01
4b,node_degree,0.75,filler,0.0,0.0,0.0,,0.0,0.0
4b,node_degree,0.75,degree,0.07999999999999996,0.010000000000000009,-0.06999999999999995,,0.0,0.0
4b,node_degree,0.75,clustering,0.09999999999999998,0.0,-0.09999999999999998,,0.0,0.0
4b,node_degree,0.75,rwse,0.14,-0.020000000000000018,-0.16000000000000003,,0.0,0.0
4b,node_degree,0.75,components,-0.02999999999999997,-0.010000000000000009,0.019999999999999962,,0.0,0.01
4b,node_degree,0.75,all,-0.18,0.010000000000000009,0.19,,0.0,0.01
4b,node_degree,0.85,filler,0.0,0.0,0.0,,0.0,0.0
4b,node_degree,0.85,degree,0.24,0.020000000000000018,-0.21999999999999997,,0.0,0.01
4b,node_degree,0.85,clustering,0.15000000000000002,0.010000000000000009,-0.14,,0.0,0.01
4b,node_degree,0.85,rwse,0.07,0.040000000000000036,-0.02999999999999997,,0.0,0.01
4b,node_degree,0.85,components,0.06,-0.029999999999999916,-0.08999999999999991,,0.0,0.0
4b,node_degree,0.85,all,-0.10999999999999999,0.030000000000000027,0.14,,0.0,0.01
4b,connected_nodes,0.1,filler,0.0,0.0,0.0,,0.0,0.02
4b,connected_nodes,0.1,degree,0.14,-0.030000000000000027,-0.17000000000000004,,0.0,0.06
4b,connected_nodes,0.1,clustering,0.13,-0.04999999999999993,-0.17999999999999994,,0.0,0.1
4b,connected_nodes,0.1,rwse,0.10999999999999999,-0.010000000000000009,-0.12,,0.0,0.04
4b,connected_nodes,0.1,components,0.28,-0.030000000000000027,-0.31000000000000005,,0.0,0.06
4b,connected_nodes,0.1,all,0.09999999999999998,-0.05999999999999994,-0.15999999999999992,,0.0,0.09
4b,connected_nodes,0.2,filler,0.0,0.0,0.0,,0.0,0.06
4b,connected_nodes,0.2,degree,0.16000000000000003,0.010000000000000009,-0.15000000000000002,,0.0,0.03
4b,connected_nodes,0.2,clustering,0.22999999999999998,-0.010000000000000009,-0.24,,0.0,0.07
4b,connected_nodes,0.2,rwse,0.08999999999999997,-0.030000000000000027,-0.12,,0.0,0.08
4b,connected_nodes,0.2,components,0.25,-0.010000000000000009,-0.26,,0.0,0.06
4b,connected_nodes,0.2,all,0.14,-0.039999999999999925,-0.17999999999999994,,0.0,0.07
4b,connected_nodes,0.35,filler,0.0,0.0,0.0,,0.0,0.0
4b,connected_nodes,0.35,degree,0.020000000000000018,0.0,-0.020000000000000018,,0.0,0.02
4b,connected_nodes,0.35,clustering,0.10999999999999999,0.0,-0.10999999999999999,,0.0,0.01
4b,connected_nodes,0.35,rwse,0.10999999999999999,-0.020000000000000018,-0.13,,0.0,0.0
4b,connected_nodes,0.35,components,0.15999999999999992,0.010000000000000009,-0.1499999999999999,,0.0,0.01
4b,connected_nodes,0.35,all,0.08999999999999997,0.0,-0.08999999999999997,,0.0,0.0
4b,connected_nodes,0.5,filler,0.0,0.0,0.0,,0.0,0.03
4b,connected_nodes,0.5,degree,0.06000000000000005,-0.010000000000000009,-0.07000000000000006,,0.0,0.01
4b,connected_nodes,0.5,clustering,0.07000000000000006,0.0,-0.07000000000000006,,0.0,0.0
4b,connected_nodes,0.5,rwse,0.19000000000000006,0.010000000000000009,-0.18000000000000005,,0.0,0.0
4b,connected_nodes,0.5,components,0.18000000000000005,0.0,-0.18000000000000005,,0.0,0.01
4b,connected_nodes,0.5,all,0.06000000000000005,0.0,-0.06000000000000005,,0.0,0.01
4b,edge_count,0.1,filler,0.0,0.0,0.0,,0.0,0.4
4b,edge_count,0.1,degree,0.17,-0.30000000000000004,-0.4700000000000001,,0.03,0.64
4b,edge_count,0.1,clustering,-0.1,0.05999999999999994,0.15999999999999995,,0.01,0.2
4b,edge_count,0.1,rwse,-0.09000000000000001,0.030000000000000027,0.12000000000000004,,0.02,0.31
4b,edge_count,0.1,components,-0.1,0.10999999999999999,0.21,,0.0,0.27
4b,edge_count,0.1,all,-0.07,-0.32,-0.25,,0.0,0.5
4b,edge_count,0.2,filler,0.0,0.0,0.0,,0.0,0.5
4b,edge_count,0.2,degree,0.3,-0.06999999999999995,-0.36999999999999994,,0.01,0.52
4b,edge_count,0.2,clustering,-0.01,0.07000000000000006,0.08000000000000006,,0.0,0.47
4b,edge_count,0.2,rwse,-0.01,0.09000000000000008,0.10000000000000007,,0.0,0.48
4b,edge_count,0.2,components,-0.01,0.18000000000000005,0.19000000000000006,,0.0,0.34
4b,edge_count,0.2,all,0.009999999999999998,-0.22999999999999993,-0.23999999999999994,,0.0,0.47
4b,edge_count,0.35,filler,0.0,0.0,0.0,,0.0,0.77
4b,edge_count,0.35,degree,0.24,-0.050000000000000044,-0.29000000000000004,,0.01,0.59
4b,edge_count,0.35,clustering,0.01,0.16999999999999993,0.15999999999999992,,0.0,0.51
4b,edge_count,0.35,rwse,-0.01,-0.040000000000000036,-0.030000000000000034,,0.0,0.91
4b,edge_count,0.35,components,0.01,0.15000000000000002,0.14,,0.01,0.65
4b,edge_count,0.35,all,0.07,-0.23,-0.30000000000000004,,0.01,0.63
4b,edge_count,0.5,filler,0.0,0.0,0.0,,0.0,0.99
4b,edge_count,0.5,degree,0.33,0.28,-0.04999999999999999,,0.02,0.6
4b,edge_count,0.5,clustering,0.0,0.030000000000000006,0.030000000000000006,,0.0,0.96
4b,edge_count,0.5,rwse,0.0,-0.03,-0.03,,0.0,0.99
4b,edge_count,0.5,components,0.0,0.16999999999999998,0.16999999999999998,,0.02,0.92
4b,edge_count,0.5,all,0.09,0.12,0.03,,0.02,0.63
