arm,condition,density,n,acc,discrepancy,share_retrieve,acc_retrieve,share_assert,acc_assert,share_enumerate,acc_enumerate
qwen3-1.7b-think,clustering,0.75,99,0.3838383838383838,0.030303030303030304,0.0,,0.0707070707070707,0.14285714285714285,0.9292929292929293,0.40217391304347827
qwen3-1.7b-think,clustering,0.85,100,0.35,0.03,0.0,,0.09,0.3333333333333333,0.91,0.3516483516483517
qwen3-1.7b-think,degree,0.1,100,0.98,0.08,0.01,1.0,0.97,0.979381443298969,0.02,1.0
qwen3-1.7b-think,degree,0.2,98,0.9387755102040817,0.14285714285714285,0.02040816326530612,0.5,0.6122448979591837,0.95,0.3673469387755102,0.9444444444444444
qwen3-1.7b-think,degree,0.35,92,0.8369565217391305,0.43478260869565216,0.0,,0.2391304347826087,0.6818181818181818,0.7608695652173914,0.8857142857142857
qwen3-1.7b-think,degree,0.5,89,0.8202247191011236,0.4044943820224719,0.0,,0.0898876404494382,0.75,0.9101123595505618,0.8271604938271605
qwen3-1.7b-think,degree,0.65,86,0.7790697674418605,0.6046511627906976,0.0,,0.10465116279069768,0.8888888888888888,0.8953488372093024,0.7662337662337663
qwen3-1.7b-think,degree,0.75,88,0.7613636363636364,0.4659090909090909,0.0,,0.022727272727272728,1.0,0.9772727272727273,0.7558139534883721
qwen3-1.7b-think,degree,0.85,94,0.8723404255319149,0.40425531914893614,0.0,,0.0425531914893617,1.0,0.9574468085106383,0.8666666666666667
qwen3-1.7b-think,none,0.1,97,0.9278350515463918,0.010309278350515464,0.0,,0.9587628865979382,0.9354838709677419,0.041237113402061855,0.75
qwen3-1.7b-think,none,0.2,100,0.95,0.01,0.0,,0.68,0.9411764705882353,0.32,0.96875
qwen3-1.7b-think,none,0.35,100,0.6,0.0,0.0,,0.14,0.5714285714285714,0.86,0.6046511627906976
qwen3-1.7b-think,none,0.5,100,0.6,0.01,0.0,,0.06,0.3333333333333333,0.94,0.6170212765957447
qwen3-1.7b-think,none,0.65,100,0.52,0.01,0.0,,0.03,0.6666666666666666,0.97,0.5154639175257731
qwen3-1.7b-think,none,0.75,96,0.46875,0.041666666666666664,0.0,,0.041666666666666664,0.5,0.9583333333333334,0.4673913043478261
qwen3-1.7b-think,none,0.85,99,0.42424242424242425,0.08080808080808081,0.0,,0.050505050505050504,0.4,0.9494949494949495,0.425531914893617
qwen3-1.7b-think,rwse,0.1,100,0.96,0.0,0.0,,0.93,0.967741935483871,0.07,0.8571428571428571
qwen3-1.7b-think,rwse,0.2,98,0.9285714285714286,0.01020408163265306,0.0,,0.5816326530612245,0.9298245614035088,0.41836734693877553,0.926829268292683
qwen3-1.7b-think,rwse,0.35,100,0.65,0.0,0.0,,0.27,0.5555555555555556,0.73,0.684931506849315
qwen3-1.7b-think,rwse,0.5,99,0.6363636363636364,0.0,0.0,,0.1111111111111111,0.2727272727272727,0.8888888888888888,0.6818181818181818
qwen3-1.7b-think,rwse,0.65,100,0.43,0.01,0.0,,0.06,0.3333333333333333,0.94,0.43617021276595747
qwen3-1.7b-think,rwse,0.75,100,0.39,0.02,0.0,,0.08,0.25,0.92,0.40217391304347827
qwen3-1.7b-think,rwse,0.85,99,0.4444444444444444,0.04040404040404041,0.0,,0.0707070707070707,0.42857142857142855,0.9292929292929293,0.44565217391304346
qwen3-1.7b,all,0.1,100,0.97,0.0,0.01,1.0,0.97,0.979381443298969,0.02,0.5
qwen3-1.7b,all,0.2,100,0.9,0.0,0.01,1.0,0.72,0.9305555555555556,0.27,0.8148148148148148
qwen3-1.7b,all,0.35,100,0.58,0.0,0.01,1.0,0.51,0.5294117647058824,0.48,0.625
qwen3-1.7b,all,0.5,100,0.38,0.01,0.05,1.0,0.57,0.38596491228070173,0.38,0.2894736842105263
qwen3-1.7b,all,0.65,100,0.15,0.0,0.08,0.5,0.68,0.16176470588235295,0.24,0.0
qwen3-1.7b,all,0.75,100,0.17,0.01,0.04,0.75,0.5,0.26,0.46,0.021739130434782608
qwen3-1.7b,all,0.85,100,0.05,0.0,0.04,0.75,0.35,0.05714285714285714,0.61,0.0
qwen3-1.7b,clustering,0.1,100,0.93,0.0,0.0,,0.97,0.9381443298969072,0.03,0.6666666666666666
qwen3-1.7b,clustering,0.2,100,0.82,0.0,0.0,,0.92,0.8478260869565217,0.08,0.5
qwen3-1.7b,clustering,0.35,100,0.47,0.0,0.0,,0.49,0.5306122448979592,0.51,0.4117647058823529
qwen3-1.7b,clustering,0.5,100,0.32,0.0,0.0,,0.54,0.3888888888888889,0.46,0.2391304347826087
qwen3-1.7b,clustering,0.65,100,0.07,0.0,0.0,,0.66,0.06060606060606061,0.34,0.08823529411764706
