arm,task,density,condition,n,baseline,delta,acc,trunc_a,trunc_b,flagged,bar,bar_none,carries,p,q
qwen3-1.7b,edge_count,0.5,clustering,100,0.0,0.0,0.0,0.29,0.33,True,0.10428571428571429,0.03047619047619048,False,1.0,1.0
qwen3-1.7b,edge_count,0.5,rwse,100,0.0,0.0,0.0,0.29,0.32,True,0.03047619047619048,0.03047619047619048,False,1.0,1.0
qwen3-1.7b,edge_count,0.5,degree,100,0.0,7.000000000000001,0.07,0.29,0.2,True,1.0,0.03047619047619048,True,0.015625,0.3125
qwen3-1.7b,edge_count,0.5,all,100,0.0,3.0,0.03,0.29,0.44,True,1.0,0.03047619047619048,True,0.25,0.7142857142857143
qwen3-1.7b,edge_existence,0.1,components,100,0.89,-3.0000000000000027,0.86,0.0,0.0,False,0.7352380952380952,0.7352380952380952,False,0.453125,0.79296875
qwen3-1.7b,edge_existence,0.1,clustering,100,0.89,-5.000000000000004,0.84,0.0,0.0,False,0.7266666666666667,0.7352380952380952,False,0.266845703125,0.6226399739583334
qwen3-1.7b,edge_existence,0.1,rwse,100,0.89,2.0000000000000018,0.91,0.0,0.01,False,0.5538095238095239,0.7352380952380952,False,0.75390625,1.0
qwen3-1.7b,edge_existence,0.1,degree,100,0.89,-6.000000000000005,0.83,0.0,0.0,False,0.7457142857142857,0.7352380952380952,False,0.0703125,0.2734375
qwen3-1.7b,edge_existence,0.1,all,100,0.89,0.0,0.89,0.0,0.0,False,0.7409523809523809,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.2,components,100,0.73,-10.999999999999998,0.62,0.0,0.0,False,0.7352380952380952,0.7352380952380952,False,0.03468966484069824,0.1517672836780548
qwen3-1.7b,edge_existence,0.2,clustering,100,0.73,1.0000000000000009,0.74,0.0,0.0,False,0.7266666666666667,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.2,rwse,100,0.73,-4.999999999999993,0.68,0.0,0.0,False,0.5538095238095239,0.7352380952380952,False,0.44206833839416504,0.79296875
qwen3-1.7b,edge_existence,0.2,degree,100,0.73,-3.0000000000000027,0.7,0.0,0.0,False,0.7457142857142857,0.7352380952380952,False,0.7011080384254456,1.0
qwen3-1.7b,edge_existence,0.2,all,100,0.73,8.000000000000007,0.81,0.0,0.0,False,0.7409523809523809,0.7352380952380952,False,0.15158963203430176,0.44213642676671344
qwen3-1.7b,edge_existence,0.35,components,100,0.66,-16.000000000000004,0.5,0.0,0.0,False,0.7352380952380952,0.7352380952380952,False,0.0004024505615234375,0.0046952565511067705
qwen3-1.7b,edge_existence,0.35,clustering,100,0.66,5.999999999999995,0.72,0.0,0.0,False,0.7266666666666667,0.7352380952380952,False,0.28627872467041016,0.6262347102165222
qwen3-1.7b,edge_existence,0.35,rwse,100,0.66,9.999999999999998,0.76,0.0,0.0,False,0.5538095238095239,0.7352380952380952,False,0.13249816396273673,0.42158506715416233
qwen3-1.7b,edge_existence,0.35,degree,100,0.66,1.0000000000000009,0.67,0.0,0.0,False,0.7457142857142857,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.35,all,100,0.66,12.0,0.78,0.0,0.0,False,0.7409523809523809,0.7352380952380952,False,0.0806904677519924,0.2824166371319734
