arm,density,condition,yes,bacc,truncated,tokens
qwen3-1.7b-think,0.65,none,0.65,0.9924242424242424,0.0,1152.0
qwen3-1.7b-think,0.65,rwse,0.66,1.0,0.0,1166.5
qwen3-1.7b-think,0.75,all,0.75,0.993421052631579,0.0,1076.5
qwen3-1.7b-think,0.75,clustering,0.76,1.0,0.0,959.0
qwen3-1.7b-think,0.75,components,0.74,0.986842105263158,0.0,1004.0
qwen3-1.7b-think,0.75,degree,0.76,0.9725877192982456,0.0,1351.5
qwen3-1.7b-think,0.75,filler,0.75,0.993421052631579,0.0,1055.0
qwen3-1.7b-think,0.75,none,0.74,0.986842105263158,0.0,1108.0
qwen3-1.7b-think,0.75,rwse,0.77,0.9791666666666667,0.0,1045.5
qwen3-1.7b-think,0.85,all,0.84,0.9941176470588236,0.0,978.5
qwen3-1.7b-think,0.85,clustering,0.82,0.9823529411764707,0.0,1034.0
qwen3-1.7b-think,0.85,components,0.85,1.0,0.0,1033.5
qwen3-1.7b-think,0.85,degree,0.84,0.9549019607843137,0.0,1221.5
qwen3-1.7b-think,0.85,filler,0.84,0.9549019607843137,0.0,1028.0
qwen3-1.7b-think,0.85,none,0.85,1.0,0.0,1099.5
qwen3-1.7b-think,0.85,rwse,0.86,0.9666666666666667,0.0,1022.0
qwen3-4b,0.1,all,0.1414141414141414,0.9722222222222222,0.01,98.0
qwen3-4b,0.1,clustering,0.13,0.9833333333333334,0.0,91.0
qwen3-4b,0.1,components,0.11,0.9944444444444445,0.0,107.5
qwen3-4b,0.1,degree,0.11,0.9944444444444445,0.0,105.0
qwen3-4b,0.1,filler,0.14,0.9777777777777779,0.0,71.0
qwen3-4b,0.1,none,0.14,0.9777777777777779,0.0,100.5
qwen3-4b,0.1,rwse,0.14,0.9777777777777779,0.0,101.0
qwen3-4b,0.2,all,0.34,0.9024390243902439,0.0,128.0
qwen3-4b,0.2,clustering,0.2,0.9878048780487805,0.0,117.5
qwen3-4b,0.2,components,0.24,0.9634146341463414,0.0,120.5
qwen3-4b,0.2,degree,0.26262626262626265,0.9451219512195121,0.01,134.0
qwen3-4b,0.2,filler,0.34,0.9024390243902439,0.0,90.0
qwen3-4b,0.2,none,0.23,0.9356368563685638,0.0,122.0
qwen3-4b,0.2,rwse,0.29,0.9329268292682926,0.0,134.5
qwen3-4b,0.35,all,0.61,0.7826086956521738,0.0,158.0
qwen3-4b,0.35,clustering,0.42,0.9202898550724637,0.0,146.5
qwen3-4b,0.35,components,0.56,0.8188405797101449,0.0,140.5
qwen3-4b,0.35,degree,0.52,0.8478260869565217,0.0,138.5
qwen3-4b,0.35,filler,0.56,0.8188405797101449,0.0,173.5
qwen3-4b,0.35,none,0.48,0.8768115942028986,0.0,136.5
qwen3-4b,0.35,rwse,0.61,0.7826086956521738,0.0,145.0
qwen3-4b,0.5,all,0.75,0.7403846153846154,0.0,157.0
qwen3-4b,0.5,clustering,0.54,0.9423076923076923,0.0,166.0
qwen3-4b,0.5,components,0.65,0.8365384615384616,0.0,153.0
qwen3-4b,0.5,degree,0.7373737373737373,0.75,0.01,157.0
qwen3-4b,0.5,filler,0.69,0.7980769230769231,0.0,147.5
qwen3-4b,0.5,none,0.58,0.9038461538461539,0.0,158.0
qwen3-4b,0.5,rwse,0.81,0.6826923076923077,0.0,155.5
qwen3-4b,0.65,all,0.78,0.8235294117647058,0.0,174.5
qwen3-4b,0.65,clustering,0.69,0.9336007130124777,0.0,187.0
qwen3-4b,0.65,components,0.83,0.7054367201426025,0.0,168.0
