arm,task,density,condition,n,n_uncapped,hit_cap_rate,median_tokens,p90_tokens,median_node_mentions,uses_degree_sum,narrates_neighbors,enumerates_nodes,acc,parsed_rate
qwen3-1.7b,cycle_check,0.5,none,100,99,0.01,291.0,389.6,3.0,0.0,0.0,0.0,1.0,1.0
qwen3-1.7b,cycle_check,0.5,filler,100,99,0.01,168.0,267.00000000000006,5.0,0.0,0.0,0.02,0.99,1.0
qwen3-1.7b,cycle_check,0.5,degree,100,77,0.23,,,40.0,0.72,0.03,0.57,0.64,0.81
qwen3-1.7b,cycle_check,0.5,clustering,100,100,0.0,388.0,883.7000000000003,13.0,0.0,0.0,0.34,1.0,1.0
qwen3-1.7b,cycle_check,0.5,rwse,100,100,0.0,437.0,3846.7000000000003,5.0,0.01,0.01,0.26,0.93,1.0
qwen3-1.7b,cycle_check,0.5,components,100,100,0.0,191.0,325.40000000000003,4.0,0.0,0.03,0.06,1.0,1.0
qwen3-1.7b,cycle_check,0.5,all,100,100,0.0,519.0,921.9000000000017,54.0,0.0,0.0,0.74,0.99,1.0
qwen3-1.7b,edge_existence,0.1,none,100,100,0.0,180.5,248.20000000000002,10.0,0.0,0.0,0.01,0.89,1.0
qwen3-1.7b,edge_existence,0.1,filler,100,100,0.0,150.5,218.40000000000003,10.0,0.0,0.0,0.03,0.84,1.0
qwen3-1.7b,edge_existence,0.1,degree,100,100,0.0,160.5,229.9000000000001,10.0,0.0,0.01,0.0,0.83,1.0
qwen3-1.7b,edge_existence,0.1,clustering,100,100,0.0,200.0,263.3000000000001,12.0,0.0,0.0,0.1,0.84,1.0
qwen3-1.7b,edge_existence,0.1,rwse,100,99,0.01,218.0,281.0,12.0,0.0,0.0,0.08,0.91,0.99
qwen3-1.7b,edge_existence,0.1,components,100,100,0.0,162.5,227.20000000000002,10.0,0.0,0.0,0.03,0.86,1.0
qwen3-1.7b,edge_existence,0.1,all,100,100,0.0,232.0,291.40000000000003,12.0,0.0,0.0,0.14,0.89,1.0
qwen3-1.7b,edge_existence,0.2,none,100,100,0.0,215.5,276.20000000000005,10.0,0.0,0.0,0.03,0.73,1.0
qwen3-1.7b,edge_existence,0.2,filler,100,100,0.0,169.0,223.10000000000002,8.0,0.0,0.0,0.05,0.53,1.0
qwen3-1.7b,edge_existence,0.2,degree,100,100,0.0,210.5,306.0,10.0,0.0,0.0,0.06,0.7,1.0
qwen3-1.7b,edge_existence,0.2,clustering,100,100,0.0,241.5,302.70000000000005,12.0,0.0,0.0,0.06,0.74,1.0
qwen3-1.7b,edge_existence,0.2,rwse,100,100,0.0,276.0,344.40000000000003,12.0,0.0,0.0,0.04,0.68,1.0
qwen3-1.7b,edge_existence,0.2,components,100,100,0.0,191.5,285.0,9.0,0.0,0.0,0.0,0.62,1.0
qwen3-1.7b,edge_existence,0.2,all,100,100,0.0,292.5,386.50000000000006,12.5,0.0,0.0,0.08,0.81,1.0
qwen3-1.7b,edge_existence,0.35,none,100,100,0.0,237.5,300.0,9.0,0.0,0.0,0.02,0.66,1.0
qwen3-1.7b,edge_existence,0.35,filler,100,100,0.0,175.5,229.40000000000003,6.0,0.0,0.0,0.01,0.34,1.0
