arm,task,density,condition,n,n_uncapped,hit_cap_rate,median_tokens,p90_tokens,median_node_mentions,uses_degree_sum,narrates_neighbors,enumerates_nodes,acc,parsed_rate
qwen3-1.7b-think,node_count,0.1,filler,100,100,0.0,904.5,1536.8000000000004,7.0,0.0,0.26,0.26,1.0,1.0
qwen3-1.7b-think,node_count,0.1,degree,100,99,0.01,1431.0,2062.4,3.0,0.1,0.29,0.28,0.99,1.0
qwen3-1.7b-think,node_count,0.1,clustering,100,100,0.0,947.0,1266.8000000000002,1.0,0.0,0.12,0.04,1.0,1.0
qwen3-1.7b-think,node_count,0.1,rwse,100,100,0.0,1188.0,1686.2000000000012,1.0,0.0,0.18,0.12,1.0,1.0
qwen3-1.7b-think,node_count,0.1,components,100,96,0.04,1004.5,1417.0,0.0,0.0,0.24,0.02,0.98,1.0
qwen3-1.7b-think,node_count,0.1,all,100,100,0.0,966.0,1423.7,1.0,0.0,0.29,0.04,1.0,1.0
qwen3-1.7b-think,node_count,0.2,none,100,97,0.03,1205.0,1549.2000000000003,0.0,0.0,0.36,0.0,0.97,1.0
qwen3-1.7b-think,node_count,0.2,filler,100,100,0.0,948.0,1529.1000000000001,7.0,0.0,0.22,0.34,1.0,1.0
qwen3-1.7b-think,node_count,0.2,degree,100,99,0.01,1711.0,2949.2000000000003,4.0,0.35,0.34,0.42,0.99,1.0
qwen3-1.7b-think,node_count,0.2,clustering,100,100,0.0,943.5,1283.2,1.0,0.0,0.09,0.12,1.0,1.0
qwen3-1.7b-think,node_count,0.2,rwse,100,100,0.0,1219.5,1992.5000000000002,2.0,0.0,0.11,0.1,1.0,1.0
qwen3-1.7b-think,node_count,0.2,components,100,94,0.06,987.5,1568.2,0.0,0.0,0.21,0.04,0.97,1.0
qwen3-1.7b-think,node_count,0.2,all,100,100,0.0,1043.0,2194.1,1.0,0.0,0.24,0.08,1.0,1.0
qwen3-1.7b-think,node_count,0.35,none,100,83,0.17,1184.0,1614.6,0.0,0.0,0.24,0.0,0.84,1.0
qwen3-1.7b-think,node_count,0.35,filler,100,100,0.0,612.0,1156.7,6.0,0.0,0.25,0.08,1.0,1.0
qwen3-1.7b-think,node_count,0.35,degree,100,95,0.05,2160.0,4235.400000000001,40.0,0.57,0.4,0.6,0.97,1.0
qwen3-1.7b-think,node_count,0.35,clustering,100,100,0.0,909.0,1432.7000000000005,1.0,0.0,0.09,0.08,1.0,1.0
qwen3-1.7b-think,node_count,0.35,rwse,100,100,0.0,1201.0,1787.7000000000005,2.0,0.0,0.2,0.13,1.0,1.0
qwen3-1.7b-think,node_count,0.35,components,100,95,0.05,1224.0,1534.6,0.0,0.0,0.3,0.01,0.95,1.0
qwen3-1.7b-think,node_count,0.35,all,100,100,0.0,755.5,1037.9000000000005,3.0,0.0,0.24,0.0,1.0,1.0
qwen3-1.7b-think,node_count,0.5,none,100,91,0.09,1176.0,2790.0,0.0,0.0,0.18,0.01,0.89,1.0
qwen3-1.7b-think,node_count,0.5,filler,100,100,0.0,480.0,740.4000000000001,7.0,0.0,0.24,0.04,1.0,1.0
qwen3-1.7b-think,node_count,0.5,degree,100,96,0.04,1468.5,3117.0,4.0,0.44,0.31,0.38,0.99,1.0
qwen3-1.7b-think,node_count,0.5,clustering,100,100,0.0,932.0,1259.2000000000003,1.0,0.0,0.13,0.07,1.0,1.0
qwen3-1.7b-think,node_count,0.5,rwse,100,100,0.0,1017.0,1621.4,4.0,0.0,0.17,0.11,1.0,1.0
qwen3-1.7b-think,node_count,0.5,components,100,86,0.14,1028.5,1358.5,0.0,0.0,0.18,0.01,0.92,1.0
qwen3-1.7b-think,node_count,0.5,all,100,100,0.0,897.0,1222.9,2.0,0.0,0.26,0.03,1.0,1.0
qwen3-1.7b-think,cycle_check,0.1,none,100,99,0.01,2028.0,3638.0,21.0,0.0,0.04,0.55,1.0,1.0
qwen3-1.7b-think,cycle_check,0.1,filler,100,100,0.0,1699.0,3229.9,16.5,0.0,0.08,0.37,1.0,1.0
qwen3-1.7b-think,cycle_check,0.1,degree,100,88,0.12,4091.5,6315.2,95.5,0.42,0.21,0.95,0.95,1.0
qwen3-1.7b-think,cycle_check,0.1,clustering,100,99,0.01,2525.0,4148.200000000001,42.0,0.0,0.15,0.85,0.99,1.0
qwen3-1.7b-think,cycle_check,0.1,rwse,100,100,0.0,2321.0,3845.800000000001,34.0,0.0,0.08,0.74,1.0,1.0
qwen3-1.7b-think,cycle_check,0.1,components,100,86,0.14,3270.5,5101.5,52.0,0.0,0.14,0.74,0.97,0.99
qwen3-1.7b-think,cycle_check,0.1,all,100,95,0.05,2867.0,5300.600000000001,46.0,0.08,0.28,0.87,0.98,1.0
qwen3-1.7b-think,cycle_check,0.2,none,100,98,0.02,2250.5,4139.099999999999,16.5,0.01,0.05,0.37,0.99,1.0
qwen3-1.7b-think,cycle_check,0.2,filler,100,100,0.0,1573.0,2664.3,13.0,0.0,0.05,0.33,1.0,1.0
qwen3-1.7b-think,cycle_check,0.2,degree,100,73,0.27,,,96.0,0.82,0.26,0.95,0.81,1.0
qwen3-1.7b-think,cycle_check,0.2,clustering,100,100,0.0,2632.5,5106.800000000001,57.5,0.02,0.09,0.84,1.0,1.0
qwen3-1.7b-think,cycle_check,0.2,rwse,100,99,0.01,2425.0,4074.2,24.0,0.0,0.16,0.63,1.0,1.0
qwen3-1.7b-think,cycle_check,0.2,components,100,96,0.04,2047.0,4192.5,16.5,0.08,0.07,0.44,1.0,1.0
qwen3-1.7b-think,cycle_check,0.2,all,100,96,0.04,2550.0,4948.5,52.5,0.05,0.21,0.9,0.99,1.0
qwen3-1.7b-think,cycle_check,0.35,none,100,95,0.05,2895.0,5158.0,26.0,0.05,0.08,0.68,0.97,1.0
qwen3-1.7b-think,cycle_check,0.35,filler,100,100,0.0,2024.0,3841.1000000000004,23.5,0.02,0.11,0.62,1.0,1.0
qwen3-1.7b-think,cycle_check,0.35,degree,100,66,0.34,,,146.5,0.88,0.3,1.0,0.79,1.0
qwen3-1.7b-think,cycle_check,0.35,clustering,100,93,0.07,2606.0,5985.199999999999,76.0,0.05,0.16,0.94,0.98,0.99
qwen3-1.7b-think,cycle_check,0.35,rwse,100,100,0.0,2405.5,4243.2,42.0,0.02,0.13,0.83,1.0,1.0
qwen3-1.7b-think,cycle_check,0.35,components,100,87,0.13,1957.0,4157.600000000004,16.0,0.22,0.14,0.49,0.96,1.0
qwen3-1.7b-think,cycle_check,0.35,all,100,98,0.02,2460.5,4247.0,77.0,0.06,0.26,0.93,0.98,1.0
qwen3-1.7b-think,cycle_check,0.5,none,100,96,0.04,3093.5,5552.0,38.5,0.01,0.13,0.77,0.98,1.0
qwen3-1.7b-think,cycle_check,0.5,filler,100,100,0.0,1624.5,3636.500000000001,30.5,0.01,0.07,0.66,1.0,1.0
qwen3-1.7b-think,cycle_check,0.5,degree,100,76,0.24,,,146.0,0.79,0.29,0.99,0.88,0.99
qwen3-1.7b-think,cycle_check,0.5,clustering,100,94,0.06,1853.5,3643.4000000000005,61.0,0.04,0.21,0.93,0.98,1.0
qwen3-1.7b-think,cycle_check,0.5,rwse,100,98,0.02,1950.0,3470.7999999999997,53.5,0.05,0.33,0.91,0.99,1.0
qwen3-1.7b-think,cycle_check,0.5,components,100,89,0.11,2188.0,5445.4,34.0,0.3,0.18,0.73,0.97,1.0
qwen3-1.7b-think,cycle_check,0.5,all,100,96,0.04,2499.0,4698.5,79.5,0.14,0.3,0.99,0.98,1.0
qwen3-1.7b-think,edge_existence,0.1,none,100,99,0.01,684.0,1014.4000000000004,28.0,0.0,0.74,0.94,1.0,1.0
qwen3-1.7b-think,edge_existence,0.1,filler,100,100,0.0,616.5,920.6000000000018,27.0,0.0,0.64,0.93,0.97,1.0
qwen3-1.7b-think,edge_existence,0.1,degree,100,99,0.01,785.0,1103.8,34.0,0.04,0.38,1.0,0.97,1.0
qwen3-1.7b-think,edge_existence,0.1,clustering,100,99,0.01,667.0,1110.4,32.0,0.0,0.48,1.0,0.98,1.0
qwen3-1.7b-think,edge_existence,0.1,rwse,100,100,0.0,824.5,1764.3000000000002,39.5,0.0,0.25,1.0,1.0,1.0
qwen3-1.7b-think,edge_existence,0.1,components,100,99,0.01,736.0,2088.4,30.0,0.0,0.7,0.99,0.99,1.0
qwen3-1.7b-think,edge_existence,0.1,all,100,100,0.0,745.5,1053.5000000000002,35.0,0.0,0.58,0.99,0.96,1.0
qwen3-1.7b-think,edge_existence,0.2,none,100,100,0.0,877.5,1173.1,29.0,0.0,0.49,0.94,1.0,1.0
qwen3-1.7b-think,edge_existence,0.2,filler,100,100,0.0,728.0,1025.4,27.0,0.0,0.52,0.92,0.98,1.0
qwen3-1.7b-think,edge_existence,0.2,degree,100,100,0.0,930.0,1577.5000000000002,36.0,0.0,0.27,1.0,0.95,1.0
qwen3-1.7b-think,edge_existence,0.2,clustering,100,100,0.0,868.0,1274.9000000000003,33.5,0.0,0.47,0.99,0.98,1.0
qwen3-1.7b-think,edge_existence,0.2,rwse,100,100,0.0,1018.0,2417.9000000000015,39.0,0.0,0.27,1.0,0.95,1.0
qwen3-1.7b-think,edge_existence,0.2,components,100,100,0.0,924.0,1366.5,30.5,0.0,0.66,0.98,0.97,1.0
qwen3-1.7b-think,edge_existence,0.2,all,100,100,0.0,940.5,1433.1000000000001,38.0,0.0,0.51,1.0,0.96,1.0
qwen3-1.7b-think,edge_existence,0.35,none,100,100,0.0,1096.5,1482.6000000000001,31.0,0.0,0.64,1.0,0.97,1.0
qwen3-1.7b-think,edge_existence,0.35,filler,100,100,0.0,981.5,1411.1,31.5,0.0,0.71,0.95,1.0,1.0
qwen3-1.7b-think,edge_existence,0.35,degree,100,100,0.0,1257.0,2108.5,39.5,0.02,0.38,1.0,0.97,1.0
qwen3-1.7b-think,edge_existence,0.35,clustering,100,100,0.0,1091.5,1641.9000000000008,34.5,0.0,0.53,1.0,0.99,1.0
qwen3-1.7b-think,edge_existence,0.35,rwse,100,100,0.0,1234.0,2421.8,39.0,0.0,0.26,1.0,0.97,1.0
qwen3-1.7b-think,edge_existence,0.35,components,100,100,0.0,1118.0,1638.8000000000002,34.0,0.0,0.6,0.98,0.98,1.0
qwen3-1.7b-think,edge_existence,0.35,all,100,100,0.0,1165.5,1745.7,36.0,0.0,0.51,0.99,0.97,1.0
qwen3-1.7b-think,edge_existence,0.5,none,100,100,0.0,1116.5,1763.2,30.0,0.0,0.52,0.98,1.0,1.0
qwen3-1.7b-think,edge_existence,0.5,filler,100,100,0.0,1193.5,1669.8000000000002,33.0,0.0,0.75,0.94,0.99,1.0
qwen3-1.7b-think,edge_existence,0.5,degree,100,99,0.01,1432.0,2635.4,38.0,0.03,0.38,1.0,0.99,1.0
qwen3-1.7b-think,edge_existence,0.5,clustering,100,100,0.0,1074.5,1637.6000000000004,30.0,0.0,0.52,0.99,0.98,1.0
qwen3-1.7b-think,edge_existence,0.5,rwse,100,99,0.01,1179.0,2011.2,34.0,0.0,0.35,1.0,1.0,1.0
qwen3-1.7b-think,edge_existence,0.5,components,100,100,0.0,1140.0,1765.0,32.0,0.0,0.73,0.99,1.0,1.0
qwen3-1.7b-think,edge_existence,0.5,all,100,100,0.0,1127.0,2126.1000000000004,34.0,0.0,0.59,0.99,1.0,1.0
qwen3-1.7b-think,edge_existence,0.65,none,100,100,0.0,1152.0,1821.2000000000005,32.0,0.0,0.6,0.99,0.99,1.0
qwen3-1.7b-think,edge_existence,0.65,filler,100,100,0.0,1124.0,1858.4,32.0,0.0,0.73,0.94,0.99,1.0
qwen3-1.7b-think,edge_existence,0.65,degree,100,100,0.0,1225.0,2227.6000000000004,35.0,0.03,0.5,1.0,1.0,1.0
qwen3-1.7b-think,edge_existence,0.65,clustering,100,100,0.0,1017.0,1867.8000000000004,31.5,0.0,0.59,0.99,0.99,1.0
qwen3-1.7b-think,edge_existence,0.65,rwse,100,100,0.0,1166.5,2104.3,35.5,0.0,0.33,1.0,1.0,1.0
qwen3-1.7b-think,edge_existence,0.65,components,100,100,0.0,1119.5,1938.000000000001,32.0,0.0,0.57,0.98,0.99,1.0
qwen3-1.7b-think,edge_existence,0.65,all,100,100,0.0,1029.0,2308.5,32.0,0.0,0.68,0.99,0.97,1.0
qwen3-1.7b-think,edge_existence,0.75,none,100,100,0.0,1108.0,1868.3000000000004,30.0,0.0,0.71,1.0,0.98,1.0
qwen3-1.7b-think,edge_existence,0.75,filler,100,100,0.0,1055.0,2059.8000000000006,31.5,0.0,0.78,0.99,0.99,1.0
qwen3-1.7b-think,edge_existence,0.75,degree,100,100,0.0,1351.5,3037.0000000000005,37.0,0.02,0.36,1.0,0.98,1.0
qwen3-1.7b-think,edge_existence,0.75,clustering,100,100,0.0,959.0,1720.2,30.0,0.0,0.65,1.0,1.0,1.0
qwen3-1.7b-think,edge_existence,0.75,rwse,100,100,0.0,1045.5,2102.100000000001,33.0,0.0,0.41,1.0,0.99,1.0
qwen3-1.7b-think,edge_existence,0.75,components,100,100,0.0,1004.0,2079.9000000000005,29.5,0.0,0.66,0.99,0.98,1.0
qwen3-1.7b-think,edge_existence,0.75,all,100,100,0.0,1076.5,2229.1000000000004,33.0,0.0,0.7,0.99,0.99,1.0
qwen3-1.7b-think,edge_existence,0.85,none,100,100,0.0,1099.5,2165.8000000000006,30.0,0.0,0.69,0.98,1.0,1.0
qwen3-1.7b-think,edge_existence,0.85,filler,100,100,0.0,1028.0,1771.3000000000002,31.0,0.0,0.73,1.0,0.97,1.0
qwen3-1.7b-think,edge_existence,0.85,degree,100,100,0.0,1221.5,2267.1,34.0,0.01,0.44,1.0,0.97,1.0
qwen3-1.7b-think,edge_existence,0.85,clustering,100,100,0.0,1034.0,1942.9000000000008,30.0,0.0,0.7,1.0,0.97,1.0
qwen3-1.7b-think,edge_existence,0.85,rwse,100,100,0.0,1022.0,2022.4000000000005,32.0,0.0,0.52,1.0,0.99,1.0
qwen3-1.7b-think,edge_existence,0.85,components,100,100,0.0,1033.5,1910.7,30.0,0.0,0.64,0.98,1.0,1.0
qwen3-1.7b-think,edge_existence,0.85,all,100,100,0.0,978.5,2142.1,31.0,0.0,0.68,1.0,0.99,1.0
qwen3-1.7b-think,node_degree,0.1,none,100,97,0.03,1207.0,2008.0,42.0,0.0,0.43,0.82,0.9,1.0
qwen3-1.7b-think,node_degree,0.1,filler,100,99,0.01,814.0,1718.2,21.0,0.0,0.3,0.53,0.97,1.0
qwen3-1.7b-think,node_degree,0.1,degree,100,100,0.0,1247.0,2532.0000000000005,61.0,0.0,0.65,0.9,0.98,1.0
qwen3-1.7b-think,node_degree,0.1,clustering,100,99,0.01,742.0,1682.6,23.0,0.0,0.28,0.64,0.94,1.0
qwen3-1.7b-think,node_degree,0.1,rwse,100,100,0.0,1565.5,2355.1000000000004,59.0,0.0,0.36,0.86,0.96,1.0
qwen3-1.7b-think,node_degree,0.1,components,100,98,0.02,1423.0,2272.7,52.5,0.0,0.29,0.88,0.92,1.0
qwen3-1.7b-think,node_degree,0.1,all,100,100,0.0,735.0,1492.6000000000001,21.0,0.0,0.44,0.53,0.98,1.0
qwen3-1.7b-think,node_degree,0.2,none,100,100,0.0,957.5,1695.1000000000004,21.5,0.0,0.42,0.58,0.95,1.0
qwen3-1.7b-think,node_degree,0.2,filler,100,100,0.0,837.5,2149.7000000000003,18.0,0.0,0.21,0.42,0.85,1.0
qwen3-1.7b-think,node_degree,0.2,degree,100,98,0.02,1229.0,3312.1,61.0,0.03,0.63,0.88,0.94,1.0
qwen3-1.7b-think,node_degree,0.2,clustering,100,100,0.0,799.0,1226.400000000001,20.0,0.0,0.24,0.51,0.97,1.0
qwen3-1.7b-think,node_degree,0.2,rwse,100,98,0.02,1636.0,2858.5,41.5,0.0,0.24,0.84,0.91,1.0
qwen3-1.7b-think,node_degree,0.2,components,100,100,0.0,953.0,2178.600000000001,22.5,0.0,0.32,0.63,0.89,1.0
qwen3-1.7b-think,node_degree,0.2,all,100,99,0.01,884.0,2356.4,21.0,0.0,0.33,0.55,0.97,1.0
qwen3-1.7b-think,node_degree,0.35,none,100,100,0.0,1230.0,1665.4000000000003,21.0,0.0,0.43,0.62,0.6,1.0
qwen3-1.7b-think,node_degree,0.35,filler,100,100,0.0,953.0,1378.2,16.0,0.0,0.24,0.26,0.56,1.0
qwen3-1.7b-think,node_degree,0.35,degree,100,92,0.08,1808.5,5499.000000000001,66.5,0.08,0.82,0.97,0.83,1.0
qwen3-1.7b-think,node_degree,0.35,clustering,100,100,0.0,1055.0,1459.7,18.0,0.0,0.31,0.36,0.61,1.0
qwen3-1.7b-think,node_degree,0.35,rwse,100,100,0.0,1441.5,3121.7000000000003,24.0,0.0,0.34,0.77,0.65,1.0
qwen3-1.7b-think,node_degree,0.35,components,100,100,0.0,1288.5,1928.0,21.0,0.0,0.43,0.66,0.62,1.0
qwen3-1.7b-think,node_degree,0.35,all,100,100,0.0,1305.5,3271.9,34.5,0.0,0.57,0.66,0.82,1.0
qwen3-1.7b-think,node_degree,0.5,none,100,100,0.0,1518.0,2508.1000000000004,23.0,0.0,0.33,0.67,0.6,1.0
qwen3-1.7b-think,node_degree,0.5,filler,100,100,0.0,1286.5,1921.1000000000001,18.0,0.0,0.32,0.38,0.55,1.0
qwen3-1.7b-think,node_degree,0.5,degree,100,89,0.11,2117.0,5520.0,67.0,0.09,0.82,0.96,0.79,1.0
qwen3-1.7b-think,node_degree,0.5,clustering,100,100,0.0,1285.0,1890.3000000000002,17.0,0.0,0.38,0.33,0.59,1.0
qwen3-1.7b-think,node_degree,0.5,rwse,100,99,0.01,1540.0,2970.0,20.0,0.0,0.57,0.59,0.64,1.0
qwen3-1.7b-think,node_degree,0.5,components,100,100,0.0,1473.5,2230.0,23.0,0.0,0.63,0.68,0.58,1.0
qwen3-1.7b-think,node_degree,0.5,all,100,100,0.0,1423.5,4294.7,21.5,0.0,0.57,0.6,0.78,1.0
qwen3-1.7b-think,node_degree,0.65,none,100,100,0.0,2056.5,3215.400000000001,23.5,0.0,0.57,0.72,0.52,1.0
qwen3-1.7b-think,node_degree,0.65,filler,100,99,0.01,1709.0,2980.4000000000005,19.0,0.0,0.43,0.49,0.35,1.0
qwen3-1.7b-think,node_degree,0.65,degree,100,86,0.14,3444.0,6126.5,90.5,0.15,0.85,0.94,0.73,1.0
qwen3-1.7b-think,node_degree,0.65,clustering,100,100,0.0,1664.5,2810.9,19.0,0.0,0.41,0.45,0.39,1.0
qwen3-1.7b-think,node_degree,0.65,rwse,100,100,0.0,2062.5,3764.700000000002,25.5,0.0,0.64,0.7,0.43,1.0
qwen3-1.7b-think,node_degree,0.65,components,100,99,0.01,2235.0,3889.2000000000007,27.0,0.0,0.54,0.72,0.46,1.0
qwen3-1.7b-think,node_degree,0.65,all,100,100,0.0,2108.0,4459.3,48.5,0.0,0.64,0.7,0.82,1.0
qwen3-1.7b-think,node_degree,0.75,none,100,96,0.04,2649.5,3964.0,27.0,0.0,0.53,0.72,0.45,1.0
qwen3-1.7b-think,node_degree,0.75,filler,100,99,0.01,2386.0,3736.8,23.0,0.0,0.4,0.64,0.36,1.0
qwen3-1.7b-think,node_degree,0.75,degree,100,88,0.12,3252.5,6585.4,71.0,0.05,0.85,0.96,0.73,1.0
qwen3-1.7b-think,node_degree,0.75,clustering,100,99,0.01,1967.0,3452.0,22.0,0.0,0.49,0.58,0.38,1.0
qwen3-1.7b-think,node_degree,0.75,rwse,100,100,0.0,2520.0,4287.2,27.0,0.0,0.68,0.77,0.39,1.0
qwen3-1.7b-think,node_degree,0.75,components,100,98,0.02,3119.5,4776.1,30.0,0.0,0.61,0.87,0.38,1.0
qwen3-1.7b-think,node_degree,0.75,all,100,96,0.04,2345.0,4333.0,37.0,0.0,0.78,0.75,0.67,1.0
qwen3-1.7b-think,node_degree,0.85,none,100,99,0.01,3227.0,4544.4,27.0,0.0,0.62,0.78,0.42,1.0
qwen3-1.7b-think,node_degree,0.85,filler,100,100,0.0,2895.0,4182.800000000001,28.5,0.0,0.64,0.8,0.32,1.0
qwen3-1.7b-think,node_degree,0.85,degree,100,94,0.06,2981.5,6465.0,64.5,0.06,0.91,0.95,0.85,1.0
qwen3-1.7b-think,node_degree,0.85,clustering,100,100,0.0,2533.5,3801.9,24.5,0.0,0.62,0.71,0.35,1.0
qwen3-1.7b-think,node_degree,0.85,rwse,100,99,0.01,3261.0,4577.4,33.0,0.0,0.68,0.89,0.44,1.0
qwen3-1.7b-think,node_degree,0.85,components,100,97,0.03,3487.0,4888.400000000001,31.0,0.0,0.65,0.87,0.51,1.0
qwen3-1.7b-think,node_degree,0.85,all,100,99,0.01,2669.0,5478.200000000001,32.0,0.0,0.74,0.7,0.58,1.0
qwen3-1.7b-think,connected_nodes,0.1,none,100,97,0.03,1127.0,2282.0,19.0,0.0,0.34,0.51,0.92,1.0
qwen3-1.7b-think,connected_nodes,0.1,filler,100,99,0.01,1065.0,2369.2000000000003,12.0,0.0,0.22,0.3,0.95,1.0
qwen3-1.7b-think,connected_nodes,0.1,degree,100,98,0.02,977.0,2131.0999999999995,17.0,0.0,0.3,0.43,0.92,1.0
qwen3-1.7b-think,connected_nodes,0.1,clustering,100,99,0.01,855.0,1625.2,15.0,0.0,0.22,0.35,0.95,1.0
qwen3-1.7b-think,connected_nodes,0.1,rwse,100,100,0.0,1416.0,2740.5,25.0,0.0,0.43,0.59,0.98,1.0
qwen3-1.7b-think,connected_nodes,0.1,components,100,97,0.03,1186.0,2125.0,18.0,0.0,0.47,0.5,0.94,1.0
qwen3-1.7b-think,connected_nodes,0.1,all,100,100,0.0,874.0,1502.8000000000002,15.0,0.0,0.4,0.26,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.2,none,100,100,0.0,1236.5,2117.6000000000004,17.0,0.0,0.42,0.42,0.96,1.0
qwen3-1.7b-think,connected_nodes,0.2,filler,100,99,0.01,1001.0,1848.4000000000003,10.0,0.0,0.29,0.05,0.97,1.0
qwen3-1.7b-think,connected_nodes,0.2,degree,100,97,0.03,1164.0,2240.600000000001,16.0,0.0,0.3,0.35,0.92,1.0
qwen3-1.7b-think,connected_nodes,0.2,clustering,100,100,0.0,1061.5,1589.4,14.0,0.0,0.18,0.1,0.96,1.0
qwen3-1.7b-think,connected_nodes,0.2,rwse,100,100,0.0,1515.0,3525.2,21.0,0.0,0.42,0.54,0.88,1.0
qwen3-1.7b-think,connected_nodes,0.2,components,100,99,0.01,1053.0,1960.8000000000002,14.0,0.0,0.38,0.22,0.94,1.0
qwen3-1.7b-think,connected_nodes,0.2,all,100,98,0.02,1045.0,1869.1999999999998,14.0,0.0,0.35,0.16,0.94,1.0
qwen3-1.7b-think,connected_nodes,0.35,none,100,98,0.02,1582.0,2164.7,15.0,0.0,0.47,0.28,0.68,1.0
qwen3-1.7b-think,connected_nodes,0.35,filler,100,100,0.0,1257.5,1832.3,12.0,0.0,0.46,0.01,0.72,1.0
qwen3-1.7b-think,connected_nodes,0.35,degree,100,100,0.0,1521.0,2130.5000000000005,16.0,0.02,0.49,0.27,0.81,1.0
qwen3-1.7b-think,connected_nodes,0.35,clustering,100,100,0.0,1366.5,2083.3000000000006,14.0,0.0,0.31,0.16,0.66,1.0
qwen3-1.7b-think,connected_nodes,0.35,rwse,100,100,0.0,1934.5,3374.9000000000005,18.0,0.0,0.49,0.43,0.72,1.0
qwen3-1.7b-think,connected_nodes,0.35,components,100,100,0.0,1462.5,2036.3,14.5,0.0,0.4,0.2,0.71,1.0
qwen3-1.7b-think,connected_nodes,0.35,all,100,100,0.0,1323.0,2120.3,15.0,0.0,0.37,0.2,0.78,1.0
qwen3-1.7b-think,connected_nodes,0.5,none,100,100,0.0,1771.0,2974.8,12.0,0.0,0.42,0.15,0.59,1.0
qwen3-1.7b-think,connected_nodes,0.5,filler,100,100,0.0,1647.0,2151.2000000000007,11.0,0.0,0.64,0.08,0.61,1.0
qwen3-1.7b-think,connected_nodes,0.5,degree,100,99,0.01,2020.0,3393.0,16.0,0.0,0.66,0.32,0.75,1.0
qwen3-1.7b-think,connected_nodes,0.5,clustering,100,100,0.0,1671.5,2346.3,12.0,0.0,0.57,0.08,0.67,1.0
qwen3-1.7b-think,connected_nodes,0.5,rwse,100,98,0.02,2033.5,3133.3999999999996,16.0,0.0,0.61,0.36,0.58,1.0
qwen3-1.7b-think,connected_nodes,0.5,components,100,100,0.0,1757.5,2809.2000000000003,13.0,0.0,0.53,0.13,0.67,1.0
qwen3-1.7b-think,connected_nodes,0.5,all,100,99,0.01,1703.0,2972.4,13.0,0.0,0.57,0.23,0.68,1.0
qwen3-1.7b-think,edge_count,0.1,none,100,50,0.5,,,166.5,0.99,0.19,1.0,0.67,1.0
qwen3-1.7b-think,edge_count,0.1,filler,100,42,0.58,,,230.5,0.96,0.35,0.99,0.72,1.0
qwen3-1.7b-think,edge_count,0.1,degree,100,20,0.8,,,243.5,1.0,0.71,1.0,0.24,1.0
qwen3-1.7b-think,edge_count,0.1,clustering,100,34,0.66,,,234.0,0.97,0.22,1.0,0.64,1.0
qwen3-1.7b-think,edge_count,0.1,rwse,100,40,0.6,,,243.5,1.0,0.18,0.99,0.55,1.0
qwen3-1.7b-think,edge_count,0.1,components,100,44,0.56,,,195.5,0.96,0.27,1.0,0.59,1.0
qwen3-1.7b-think,edge_count,0.1,all,100,30,0.7,,,245.5,0.99,0.54,0.98,0.4,1.0
qwen3-1.7b-think,edge_count,0.2,none,100,23,0.77,,,159.0,1.0,0.13,1.0,0.31,1.0
qwen3-1.7b-think,edge_count,0.2,filler,100,24,0.76,,,173.5,0.97,0.18,1.0,0.31,1.0
qwen3-1.7b-think,edge_count,0.2,degree,100,23,0.77,,,187.0,1.0,0.74,1.0,0.26,1.0
qwen3-1.7b-think,edge_count,0.2,clustering,100,32,0.68,,,198.5,1.0,0.22,1.0,0.3,1.0
qwen3-1.7b-think,edge_count,0.2,rwse,100,13,0.87,,,204.0,1.0,0.19,1.0,0.29,1.0
qwen3-1.7b-think,edge_count,0.2,components,100,27,0.73,,,162.0,1.0,0.24,0.99,0.28,1.0
qwen3-1.7b-think,edge_count,0.2,all,100,22,0.78,,,166.5,1.0,0.67,1.0,0.28,1.0
qwen3-1.7b-think,edge_count,0.35,none,100,0,1.0,,,,1.0,0.38,1.0,0.03,1.0
qwen3-1.7b-think,edge_count,0.35,filler,100,2,0.98,,,96.0,0.96,0.23,1.0,0.06,1.0
qwen3-1.7b-think,edge_count,0.35,degree,100,17,0.83,,,149.0,1.0,0.72,1.0,0.2,1.0
qwen3-1.7b-think,edge_count,0.35,clustering,100,4,0.96,,,116.0,1.0,0.15,1.0,0.05,1.0
qwen3-1.7b-think,edge_count,0.35,rwse,100,0,1.0,,,,1.0,0.09,1.0,0.01,1.0
qwen3-1.7b-think,edge_count,0.35,components,100,0,1.0,,,,0.98,0.24,1.0,0.03,1.0
qwen3-1.7b-think,edge_count,0.35,all,100,33,0.67,,,185.0,1.0,0.68,1.0,0.38,1.0
qwen3-1.7b-think,edge_count,0.5,none,100,0,1.0,,,,0.87,0.33,1.0,0.0,1.0
qwen3-1.7b-think,edge_count,0.5,filler,100,0,1.0,,,,0.92,0.09,1.0,0.0,1.0
qwen3-1.7b-think,edge_count,0.5,degree,100,16,0.84,,,131.5,1.0,0.69,1.0,0.17,1.0
qwen3-1.7b-think,edge_count,0.5,clustering,100,0,1.0,,,,1.0,0.15,0.99,0.0,1.0
qwen3-1.7b-think,edge_count,0.5,rwse,100,0,1.0,,,,0.98,0.16,0.99,0.0,1.0
qwen3-1.7b-think,edge_count,0.5,components,100,0,1.0,,,,0.97,0.12,0.97,0.01,1.0
qwen3-1.7b-think,edge_count,0.5,all,100,37,0.63,,,181.0,1.0,0.59,1.0,0.31,1.0
