arm,task,density,condition,matched,delta_vs_filler,delta_vs_none
qwen3-1.7b,node_degree,0.75,degree,1,0.12,-0.010000000000000009
qwen3-1.7b,node_degree,0.75,clustering,0,0.08,-0.05
qwen3-1.7b,node_degree,0.75,rwse,0,0.020000000000000004,-0.11
qwen3-1.7b,node_degree,0.75,components,0,0.09,-0.04000000000000001
qwen3-1.7b,node_degree,0.75,all,0,0.14,0.010000000000000009
qwen3-1.7b,node_degree,0.85,filler,0,0.0,-0.020000000000000004
qwen3-1.7b,node_degree,0.85,degree,1,0.04000000000000001,0.020000000000000004
qwen3-1.7b,node_degree,0.85,clustering,0,-0.019999999999999997,-0.04
qwen3-1.7b,node_degree,0.85,rwse,0,-0.019999999999999997,-0.04
qwen3-1.7b,node_degree,0.85,components,0,0.010000000000000002,-0.010000000000000002
qwen3-1.7b,node_degree,0.85,all,0,0.020000000000000004,0.0
qwen3-1.7b,connected_nodes,0.1,filler,0,0.0,0.0
qwen3-1.7b,connected_nodes,0.1,degree,0,0.04999999999999993,0.04999999999999993
qwen3-1.7b,connected_nodes,0.1,clustering,0,-0.020000000000000018,-0.020000000000000018
qwen3-1.7b,connected_nodes,0.1,rwse,0,0.05999999999999994,0.05999999999999994
qwen3-1.7b,connected_nodes,0.1,components,1,0.0,0.0
qwen3-1.7b,connected_nodes,0.1,all,0,-0.02020202020202022,-0.02020202020202022
qwen3-1.7b,connected_nodes,0.2,filler,0,0.0,-0.050000000000000044
qwen3-1.7b,connected_nodes,0.2,degree,0,0.06000000000000005,0.010000000000000009
qwen3-1.7b,connected_nodes,0.2,clustering,0,0.040000000000000036,-0.010000000000000009
qwen3-1.7b,connected_nodes,0.2,rwse,0,0.0,-0.050000000000000044
qwen3-1.7b,connected_nodes,0.2,components,1,0.040000000000000036,-0.010000000000000009
qwen3-1.7b,connected_nodes,0.2,all,0,-0.020000000000000018,-0.07000000000000006
qwen3-1.7b,connected_nodes,0.35,filler,0,0.0,-0.09999999999999998
qwen3-1.7b,connected_nodes,0.35,degree,0,0.15000000000000002,0.050000000000000044
qwen3-1.7b,connected_nodes,0.35,clustering,0,0.14,0.040000000000000036
qwen3-1.7b,connected_nodes,0.35,rwse,0,0.12,0.020000000000000018
qwen3-1.7b,connected_nodes,0.35,components,1,0.15000000000000002,0.050000000000000044
qwen3-1.7b,connected_nodes,0.35,all,0,0.25,0.15000000000000002
qwen3-1.7b,connected_nodes,0.5,filler,0,0.0,-0.09999999999999998
qwen3-1.7b,connected_nodes,0.5,degree,0,0.13,0.030000000000000027
qwen3-1.7b,connected_nodes,0.5,clustering,0,0.14,0.040000000000000036
qwen3-1.7b,connected_nodes,0.5,rwse,0,0.10999999999999999,0.010000000000000009
qwen3-1.7b,connected_nodes,0.5,components,1,0.08999999999999997,-0.010000000000000009
qwen3-1.7b,connected_nodes,0.5,all,0,0.12,0.020000000000000018
qwen3-1.7b,edge_count,0.1,filler,0,0.0,-0.03333333333333333
qwen3-1.7b,edge_count,0.1,degree,1,0.07894736842105263,0.06451612903225806
qwen3-1.7b,edge_count,0.1,clustering,0,0.0,-0.03225806451612903
qwen3-1.7b,edge_count,0.1,rwse,0,0.0,-0.031746031746031744
qwen3-1.7b,edge_count,0.1,components,0,0.0,-0.03571428571428571
qwen3-1.7b,edge_count,0.1,all,0,0.0,-0.019230769230769232
qwen3-1.7b,edge_count,0.2,filler,0,0.0,0.01219512195121951
qwen3-1.7b,edge_count,0.2,degree,1,0.0,0.011627906976744186
qwen3-1.7b,edge_count,0.2,clustering,0,-0.01136363636363636,0.011235955056179775
qwen3-1.7b,edge_count,0.2,rwse,0,-0.011904761904761904,0.0
qwen3-1.7b,edge_count,0.2,components,0,-0.013513513513513514,-0.0136986301369863
qwen3-1.7b,edge_count,0.2,all,0,-0.024390243902439022,-0.012048192771084338
qwen3-1.7b,edge_count,0.35,filler,0,0.0,0.0
qwen3-1.7b,edge_count,0.35,degree,1,0.017241379310344827,0.0
qwen3-1.7b,edge_count,0.35,clustering,0,0.0,0.0
qwen3-1.7b,edge_count,0.35,rwse,0,0.0,0.0
qwen3-1.7b,edge_count,0.35,components,0,0.0,0.0
qwen3-1.7b,edge_count,0.35,all,0,0.04878048780487805,0.1111111111111111
qwen3-1.7b,edge_count,0.5,filler,0,0.0,0.0
qwen3-1.7b,edge_count,0.5,degree,1,0.1,0.08928571428571429
qwen3-1.7b,edge_count,0.5,clustering,0,0.0,0.0
qwen3-1.7b,edge_count,0.5,rwse,0,0.0,0.0
qwen3-1.7b,edge_count,0.5,components,0,0.0,0.0
qwen3-1.7b,edge_count,0.5,all,0,0.09090909090909091,0.075
qwen3-1.7b-think,node_count,0.1,filler,0,0.0,0.0
qwen3-1.7b-think,node_count,0.1,degree,0,-0.010101010101010055,-0.010309278350515427
qwen3-1.7b-think,node_count,0.1,clustering,0,0.0,0.0
qwen3-1.7b-think,node_count,0.1,rwse,0,0.0,0.0
qwen3-1.7b-think,node_count,0.1,components,0,0.0,0.0
qwen3-1.7b-think,node_count,0.1,all,0,0.0,0.0
qwen3-1.7b-think,node_count,0.2,filler,0,0.0,0.0
qwen3-1.7b-think,node_count,0.2,degree,0,0.0,0.0
qwen3-1.7b-think,node_count,0.2,clustering,0,0.0,0.0
qwen3-1.7b-think,node_count,0.2,rwse,0,0.0,0.0
qwen3-1.7b-think,node_count,0.2,components,0,-0.010638297872340385,-0.01098901098901095
qwen3-1.7b-think,node_count,0.2,all,0,0.0,0.0
qwen3-1.7b-think,node_count,0.35,filler,0,0.0,0.0
qwen3-1.7b-think,node_count,0.35,degree,0,-0.021052631578947323,-0.012658227848101222
qwen3-1.7b-think,node_count,0.35,clustering,0,0.0,0.0
qwen3-1.7b-think,node_count,0.35,rwse,0,0.0,0.0
qwen3-1.7b-think,node_count,0.35,components,0,0.0,0.0
qwen3-1.7b-think,node_count,0.35,all,0,0.0,0.0
qwen3-1.7b-think,node_count,0.5,filler,0,0.0,0.05494505494505497
qwen3-1.7b-think,node_count,0.5,degree,0,0.0,0.05681818181818177
qwen3-1.7b-think,node_count,0.5,clustering,0,0.0,0.05494505494505497
qwen3-1.7b-think,node_count,0.5,rwse,0,0.0,0.05494505494505497
qwen3-1.7b-think,node_count,0.5,components,0,0.0,0.05128205128205132
qwen3-1.7b-think,node_count,0.5,all,0,0.0,0.05494505494505497
qwen3-1.7b-think,cycle_check,0.1,filler,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.1,degree,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.1,clustering,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.1,rwse,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.1,components,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.1,all,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.2,filler,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.2,degree,0,-0.013698630136986356,-0.01388888888888884
qwen3-1.7b-think,cycle_check,0.2,clustering,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.2,rwse,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.2,components,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.2,all,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.35,filler,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.35,degree,0,-0.015151515151515138,-0.015873015873015928
qwen3-1.7b-think,cycle_check,0.35,clustering,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.35,rwse,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.35,components,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.35,all,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.5,filler,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.5,degree,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.5,clustering,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.5,rwse,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.5,components,0,0.0,0.0
qwen3-1.7b-think,cycle_check,0.5,all,0,0.0,0.0
qwen3-1.7b-think,edge_existence,0.1,filler,0,0.0,-0.030303030303030276
