arm,density,condition,acc_node_degree,n_node_degree,acc_connected_nodes,n_connected_nodes,acc_edge_existence,n_edge_existence,count_minus_list
qwen3-4b,0.35,filler,0.99,100,0.78,100,0.75,100,0.20999999999999996
qwen3-4b,0.35,degree,0.92,100,0.8,100,0.79,100,0.12
qwen3-4b,0.35,clustering,0.99,100,0.89,100,0.89,100,0.09999999999999998
qwen3-4b,0.35,rwse,0.96,100,0.89,100,0.7,100,0.06999999999999995
qwen3-4b,0.35,components,0.99,100,0.94,100,0.75,100,0.050000000000000044
qwen3-4b,0.35,all,0.92,100,0.87,100,0.7,100,0.050000000000000044
qwen3-4b,0.5,none,0.99,100,0.79,100,0.9,100,0.19999999999999996
qwen3-4b,0.5,filler,0.97,100,0.7,100,0.79,100,0.27
qwen3-4b,0.5,degree,0.87,100,0.76,100,0.74,100,0.10999999999999999
qwen3-4b,0.5,clustering,0.96,100,0.77,100,0.94,100,0.18999999999999995
qwen3-4b,0.5,rwse,0.95,100,0.89,100,0.67,100,0.05999999999999994
qwen3-4b,0.5,components,1.0,100,0.88,100,0.83,100,0.12
qwen3-4b,0.5,all,0.84,100,0.76,100,0.73,100,0.07999999999999996
qwen3-4b-think,0.1,none,0.97,100,0.97,100,1.0,100,0.0
qwen3-4b-think,0.1,filler,0.97,100,0.98,100,1.0,100,-0.010000000000000009
qwen3-4b-think,0.1,degree,0.99,100,0.95,100,1.0,100,0.040000000000000036
qwen3-4b-think,0.1,clustering,0.97,100,0.93,100,1.0,100,0.039999999999999925
qwen3-4b-think,0.1,rwse,0.93,100,0.97,100,1.0,100,-0.039999999999999925
qwen3-4b-think,0.1,components,0.94,100,0.95,100,1.0,100,-0.010000000000000009
qwen3-4b-think,0.1,all,0.95,100,0.92,100,1.0,100,0.029999999999999916
qwen3-4b-think,0.2,none,0.95,100,0.95,100,1.0,100,0.0
qwen3-4b-think,0.2,filler,1.0,100,0.97,100,1.0,100,0.030000000000000027
qwen3-4b-think,0.2,degree,0.99,100,0.98,100,1.0,100,0.010000000000000009
qwen3-4b-think,0.2,clustering,0.99,100,0.96,100,1.0,100,0.030000000000000027
