arm,task,density,condition,n,n_wrong,median_abs_error,median_signed_error,frac_undercount,median_rel_error
qwen3-1.7b,node_degree,0.75,none,100,84,5.5,5.0,0.19047619047619047,0.18181818181818182
qwen3-1.7b,node_degree,0.75,filler,100,97,8.0,8.0,0.041237113402061855,0.25806451612903225
qwen3-1.7b,node_degree,0.75,degree,100,85,4.0,3.0,0.3058823529411765,0.14285714285714285
qwen3-1.7b,node_degree,0.75,clustering,100,89,5.0,4.0,0.19101123595505617,0.14705882352941177
qwen3-1.7b,node_degree,0.75,rwse,100,95,8.0,8.0,0.15789473684210525,0.25925925925925924
qwen3-1.7b,node_degree,0.75,components,100,88,7.0,6.0,0.26136363636363635,0.23333333333333334
qwen3-1.7b,node_degree,0.75,all,100,83,6.0,5.0,0.10843373493975904,0.18181818181818182
qwen3-1.7b,node_degree,0.85,none,100,95,4.0,4.0,0.08421052631578947,0.11764705882352941
qwen3-1.7b,node_degree,0.85,filler,100,97,5.0,5.0,0.010309278350515464,0.14705882352941177
qwen3-1.7b,node_degree,0.85,degree,100,93,5.0,5.0,0.07526881720430108,0.14705882352941177
qwen3-1.7b,node_degree,0.85,clustering,100,99,4.0,4.0,0.1919191919191919,0.12121212121212122
qwen3-1.7b,node_degree,0.85,rwse,100,99,5.0,5.0,0.1414141414141414,0.14705882352941177
qwen3-1.7b,node_degree,0.85,components,100,96,4.0,4.0,0.14583333333333334,0.11764705882352941
qwen3-1.7b,node_degree,0.85,all,100,95,5.0,5.0,0.06315789473684211,0.14705882352941177
qwen3-1.7b-think,edge_count,0.1,none,100,33,71.0,-54.0,0.7272727272727273,0.9651162790697675
qwen3-1.7b-think,edge_count,0.1,filler,100,28,71.5,-71.5,0.9285714285714286,0.9230642774946572
qwen3-1.7b-think,edge_count,0.1,degree,100,76,65.5,-48.5,0.7763157894736842,0.9062745098039215
qwen3-1.7b-think,edge_count,0.1,clustering,100,36,70.0,-58.5,0.8055555555555556,0.8842144452717795
qwen3-1.7b-think,edge_count,0.1,rwse,100,45,69.0,-69.0,0.9333333333333333,0.9382716049382716
qwen3-1.7b-think,edge_count,0.1,components,100,41,69.0,-66.0,0.8536585365853658,0.9367088607594937
qwen3-1.7b-think,edge_count,0.1,all,100,60,64.5,-46.0,0.75,0.8571905238571905
qwen3-1.7b-think,edge_count,0.2,none,100,69,138.0,-134.0,0.782608695652174,0.9254658385093167
qwen3-1.7b-think,edge_count,0.2,filler,100,69,137.0,-134.0,0.7536231884057971,0.9106145251396648
qwen3-1.7b-think,edge_count,0.2,degree,100,74,141.0,-138.0,0.8783783783783784,0.936841327686398
qwen3-1.7b-think,edge_count,0.2,clustering,100,70,139.0,-135.5,0.7428571428571429,0.9262213976499691
qwen3-1.7b-think,edge_count,0.2,rwse,100,71,144.0,-141.0,0.8591549295774648,0.9375
qwen3-1.7b-think,edge_count,0.2,components,100,72,139.0,-139.0,0.8611111111111112,0.9429211347902811
qwen3-1.7b-think,edge_count,0.2,all,100,72,130.5,-118.0,0.8611111111111112,0.917156862745098
qwen3-1.7b-think,edge_count,0.35,none,100,97,250.0,-250.0,0.8865979381443299,0.943609022556391
qwen3-1.7b-think,edge_count,0.35,filler,100,94,256.0,-253.5,0.9042553191489362,0.9497292418772563
qwen3-1.7b-think,edge_count,0.35,degree,100,80,253.0,-250.5,0.9,0.9466106865793067
qwen3-1.7b-think,edge_count,0.35,clustering,100,95,256.0,-255.0,0.8631578947368421,0.9514925373134329
qwen3-1.7b-think,edge_count,0.35,rwse,100,99,257.0,-257.0,0.898989898989899,0.9568345323741008
qwen3-1.7b-think,edge_count,0.35,components,100,97,256.0,-255.0,0.9175257731958762,0.9511278195488722
qwen3-1.7b-think,edge_count,0.35,all,100,62,255.0,-251.5,0.9032258064516129,0.9371480509540211
qwen3-1.7b-think,edge_count,0.5,none,100,100,379.0,-379.0,1.0,0.9664515570473374
qwen3-1.7b-think,edge_count,0.5,filler,100,100,376.0,-376.0,1.0,0.9632693762464755
qwen3-1.7b-think,edge_count,0.5,degree,100,83,366.0,-365.0,0.891566265060241,0.9476309226932669
qwen3-1.7b-think,edge_count,0.5,clustering,100,100,373.5,-373.0,0.95,0.9670109230211731
qwen3-1.7b-think,edge_count,0.5,rwse,100,100,374.0,-374.0,0.98,0.9724531116794544
qwen3-1.7b-think,edge_count,0.5,components,100,99,375.0,-375.0,0.9797979797979798,0.9664948453608248
qwen3-1.7b-think,edge_count,0.5,all,100,69,366.0,-359.0,0.8260869565217391,0.9444444444444444
qwen3-1.7b-think,node_degree,0.1,none,100,10,2.5,0.0,0.5,0.625
qwen3-1.7b-think,node_degree,0.1,filler,100,3,1.0,1.0,0.3333333333333333,0.3333333333333333
qwen3-1.7b-think,node_degree,0.1,degree,100,2,1.5,0.5,0.5,1.0714285714285714
qwen3-1.7b-think,node_degree,0.1,clustering,100,6,1.0,0.0,0.5,0.375
qwen3-1.7b-think,node_degree,0.1,rwse,100,4,1.0,-1.0,0.75,0.19642857142857142
qwen3-1.7b-think,node_degree,0.1,components,100,8,1.0,1.0,0.375,0.5
qwen3-1.7b-think,node_degree,0.1,all,100,2,2.0,1.0,0.5,0.8214285714285714
qwen3-1.7b-think,node_degree,0.2,none,100,5,1.0,-1.0,1.0,0.1111111111111111
qwen3-1.7b-think,node_degree,0.2,filler,100,15,1.0,-1.0,0.8666666666666667,0.125
qwen3-1.7b-think,node_degree,0.2,degree,100,6,1.0,-1.0,0.8333333333333334,0.19090909090909092
qwen3-1.7b-think,node_degree,0.2,clustering,100,3,1.0,-1.0,1.0,0.1
qwen3-1.7b-think,node_degree,0.2,rwse,100,9,1.0,-1.0,0.7777777777777778,0.14285714285714285
qwen3-1.7b-think,node_degree,0.2,components,100,11,1.0,-1.0,0.8181818181818182,0.14285714285714285
qwen3-1.7b-think,node_degree,0.2,all,100,3,2.0,-1.0,0.6666666666666666,0.3333333333333333
qwen3-1.7b-think,node_degree,0.35,none,100,40,1.0,-1.0,0.925,0.08333333333333333
qwen3-1.7b-think,node_degree,0.35,filler,100,44,1.0,-1.0,0.9545454545454546,0.08012820512820512
qwen3-1.7b-think,node_degree,0.35,degree,100,17,1.0,-1.0,1.0,0.07692307692307693
qwen3-1.7b-think,node_degree,0.35,clustering,100,39,1.0,-1.0,0.9487179487179487,0.08333333333333333
qwen3-1.7b-think,node_degree,0.35,rwse,100,35,1.0,-1.0,0.8285714285714286,0.07142857142857142
qwen3-1.7b-think,node_degree,0.35,components,100,38,1.0,-1.0,0.868421052631579,0.09090909090909091
qwen3-1.7b-think,node_degree,0.35,all,100,18,1.0,-1.0,0.7777777777777778,0.07417582417582418
qwen3-1.7b-think,node_degree,0.5,none,100,40,1.0,-1.0,0.925,0.054093567251461985
qwen3-1.7b-think,node_degree,0.5,filler,100,45,1.0,-1.0,0.8444444444444444,0.058823529411764705
qwen3-1.7b-think,node_degree,0.5,degree,100,21,1.0,-1.0,0.8095238095238095,0.05555555555555555
qwen3-1.7b-think,node_degree,0.5,clustering,100,41,1.0,-1.0,0.7317073170731707,0.058823529411764705
qwen3-1.7b-think,node_degree,0.5,rwse,100,36,1.0,-1.0,0.6944444444444444,0.06274509803921569
qwen3-1.7b-think,node_degree,0.5,components,100,42,1.0,-1.0,0.7857142857142857,0.05718954248366013
qwen3-1.7b-think,node_degree,0.5,all,100,22,1.0,-1.0,0.8636363636363636,0.05555555555555555
qwen3-1.7b-think,node_degree,0.65,none,100,48,1.0,-1.0,0.6458333333333334,0.047619047619047616
qwen3-1.7b-think,node_degree,0.65,filler,100,65,1.0,-1.0,0.5846153846153846,0.045454545454545456
qwen3-1.7b-think,node_degree,0.65,degree,100,27,2.0,-1.0,0.7037037037037037,0.06896551724137931
qwen3-1.7b-think,node_degree,0.65,clustering,100,61,1.0,1.0,0.4426229508196721,0.047619047619047616
qwen3-1.7b-think,node_degree,0.65,rwse,100,57,1.0,1.0,0.3684210526315789,0.047619047619047616
qwen3-1.7b-think,node_degree,0.65,components,100,54,1.0,1.0,0.4444444444444444,0.047619047619047616
qwen3-1.7b-think,node_degree,0.65,all,100,18,1.0,-1.0,0.7222222222222222,0.04880952380952381
qwen3-1.7b-think,node_degree,0.75,none,100,55,1.0,1.0,0.4909090909090909,0.04
qwen3-1.7b-think,node_degree,0.75,filler,100,64,1.5,1.0,0.421875,0.0512987012987013
qwen3-1.7b-think,node_degree,0.75,degree,100,27,2.0,-1.0,0.7037037037037037,0.08
qwen3-1.7b-think,node_degree,0.75,clustering,100,62,1.0,1.0,0.3548387096774194,0.045454545454545456
qwen3-1.7b-think,node_degree,0.75,rwse,100,61,2.0,2.0,0.21311475409836064,0.06896551724137931
qwen3-1.7b-think,node_degree,0.75,components,100,62,2.0,1.0,0.3387096774193548,0.06256109481915934
qwen3-1.7b-think,node_degree,0.75,all,100,33,1.0,1.0,0.48484848484848486,0.04
qwen3-1.7b-think,node_degree,0.85,none,100,58,1.0,1.0,0.43103448275862066,0.03125
qwen3-1.7b-think,node_degree,0.85,filler,100,68,2.0,1.0,0.38235294117647056,0.05555555555555555
qwen3-1.7b-think,node_degree,0.85,degree,100,15,1.0,-1.0,0.8666666666666667,0.03125
qwen3-1.7b-think,node_degree,0.85,clustering,100,65,1.0,1.0,0.2923076923076923,0.03333333333333333
qwen3-1.7b-think,node_degree,0.85,rwse,100,56,2.0,1.0,0.14285714285714285,0.05555555555555555
qwen3-1.7b-think,node_degree,0.85,components,100,49,2.0,1.0,0.2857142857142857,0.05555555555555555
qwen3-1.7b-think,node_degree,0.85,all,100,42,1.0,0.0,0.5,0.03125
qwen3-4b,edge_count,0.1,none,100,95,6.0,-5.0,0.7684210526315789,0.08695652173913043
qwen3-4b,edge_count,0.1,filler,100,90,4.0,-4.0,0.8222222222222222,0.054804804804804805
qwen3-4b,edge_count,0.1,degree,100,73,6.0,-4.0,0.6438356164383562,0.08450704225352113
qwen3-4b,edge_count,0.1,clustering,100,100,13.0,-12.0,0.81,0.16264534883720932
qwen3-4b,edge_count,0.1,rwse,100,99,11.0,-1.0,0.5151515151515151,0.15
qwen3-4b,edge_count,0.1,components,100,100,6.5,-5.0,0.72,0.08514492753623187
qwen3-4b,edge_count,0.1,all,100,97,6.0,-6.0,0.9381443298969072,0.08108108108108109
qwen3-4b,edge_count,0.2,none,100,98,15.0,-11.0,0.7040816326530612,0.09963151927437641
qwen3-4b,edge_count,0.2,filler,100,98,14.5,-11.0,0.6836734693877551,0.0944568333864288
qwen3-4b,edge_count,0.2,degree,100,68,26.0,21.0,0.27941176470588236,0.17599206349206348
qwen3-4b,edge_count,0.2,clustering,100,99,28.0,-27.0,0.9494949494949495,0.18518518518518517
qwen3-4b,edge_count,0.2,rwse,100,99,20.0,12.0,0.31313131313131315,0.13043478260869565
qwen3-4b,edge_count,0.2,components,100,99,16.0,4.0,0.42424242424242425,0.1069182389937107
qwen3-4b,edge_count,0.2,all,100,97,13.0,2.0,0.41237113402061853,0.08333333333333333
qwen3-4b,edge_count,0.35,none,100,99,34.0,-26.0,0.8484848484848485,0.12781954887218044
qwen3-4b,edge_count,0.35,filler,100,99,24.0,-24.0,0.9494949494949495,0.09448818897637795
qwen3-4b,edge_count,0.35,degree,100,75,42.0,-1.0,0.52,0.15966386554621848
qwen3-4b,edge_count,0.35,clustering,100,98,44.0,-44.0,0.9897959183673469,0.16064516129032258
qwen3-4b,edge_count,0.35,rwse,100,100,48.5,-48.5,0.93,0.17504091653027826
qwen3-4b,edge_count,0.35,components,100,98,39.5,-37.0,0.9285714285714286,0.15172622652937615
qwen3-4b,edge_count,0.35,all,100,92,22.0,-22.0,0.8695652173913043,0.07925088500628069
qwen3-4b,edge_count,0.5,none,100,100,65.0,-64.0,0.95,0.1715137333556187
qwen3-4b,edge_count,0.5,filler,100,100,73.5,-72.0,0.93,0.19098934043970686
qwen3-4b,edge_count,0.5,degree,100,67,115.0,3.0,0.40298507462686567,0.28463476070528965
qwen3-4b,edge_count,0.5,clustering,100,100,95.0,-94.0,0.91,0.24598930481283424
qwen3-4b,edge_count,0.5,rwse,100,100,108.5,-107.0,0.93,0.2828282828282828
qwen3-4b,edge_count,0.5,components,100,100,91.5,-68.0,0.82,0.23018746123564926
qwen3-4b,edge_count,0.5,all,100,91,74.0,-74.0,0.9010989010989011,0.193717277486911
qwen3-4b,node_degree,0.1,none,100,0,,,,
qwen3-4b,node_degree,0.1,filler,100,0,,,,
qwen3-4b,node_degree,0.1,degree,100,6,1.0,1.0,0.3333333333333333,0.29166666666666663
qwen3-4b,node_degree,0.1,clustering,100,0,,,,
qwen3-4b,node_degree,0.1,rwse,100,0,,,,
qwen3-4b,node_degree,0.1,components,100,0,,,,
qwen3-4b,node_degree,0.1,all,100,7,3.0,3.0,0.0,5.333333333333333
qwen3-4b,node_degree,0.2,none,100,1,1.0,-1.0,1.0,0.16666666666666666
qwen3-4b,node_degree,0.2,filler,100,1,1.0,-1.0,1.0,0.16666666666666666
qwen3-4b,node_degree,0.2,degree,100,2,2.0,2.0,0.0,0.3625
qwen3-4b,node_degree,0.2,clustering,100,0,,,,
qwen3-4b,node_degree,0.2,rwse,100,3,1.0,-1.0,1.0,0.125
qwen3-4b,node_degree,0.2,components,100,1,1.0,-1.0,1.0,0.16666666666666666
qwen3-4b,node_degree,0.2,all,100,4,1.0,-1.0,1.0,0.12179487179487179
qwen3-4b,node_degree,0.35,none,100,1,4.0,4.0,0.0,0.26666666666666666
qwen3-4b,node_degree,0.35,filler,100,1,2.0,-2.0,1.0,0.09523809523809523
qwen3-4b,node_degree,0.35,degree,100,8,1.0,1.0,0.375,0.07692307692307693
qwen3-4b,node_degree,0.35,clustering,100,1,1.0,-1.0,1.0,0.09090909090909091
qwen3-4b,node_degree,0.35,rwse,100,4,1.0,-1.0,0.75,0.10101010101010101
qwen3-4b,node_degree,0.35,components,100,1,4.0,4.0,0.0,0.26666666666666666
qwen3-4b,node_degree,0.35,all,100,8,3.5,0.0,0.5,0.2738095238095238
qwen3-4b,node_degree,0.5,none,100,1,1.0,-1.0,1.0,0.047619047619047616
qwen3-4b,node_degree,0.5,filler,100,3,1.0,1.0,0.0,0.038461538461538464
qwen3-4b,node_degree,0.5,degree,100,13,2.0,1.0,0.46153846153846156,0.08695652173913043
qwen3-4b,node_degree,0.5,clustering,100,4,1.0,1.0,0.25,0.04700854700854701
qwen3-4b,node_degree,0.5,rwse,100,5,1.0,1.0,0.2,0.06666666666666667
qwen3-4b,node_degree,0.5,components,100,0,,,,
qwen3-4b,node_degree,0.5,all,100,16,3.5,1.0,0.25,0.14945652173913043
qwen3-4b,node_degree,0.65,none,100,18,1.0,1.0,0.2222222222222222,0.037037037037037035
qwen3-4b,node_degree,0.65,filler,100,14,1.0,1.0,0.14285714285714285,0.03774928774928775
qwen3-4b,node_degree,0.65,degree,100,24,1.5,1.0,0.20833333333333334,0.05877616747181964
qwen3-4b,node_degree,0.65,clustering,100,11,1.0,1.0,0.36363636363636365,0.037037037037037035
qwen3-4b,node_degree,0.65,rwse,100,18,1.0,1.0,0.2777777777777778,0.036375661375661374
qwen3-4b,node_degree,0.65,components,100,26,1.0,1.0,0.15384615384615385,0.038461538461538464
qwen3-4b,node_degree,0.65,all,100,55,2.0,2.0,0.09090909090909091,0.07407407407407407
qwen3-4b,node_degree,0.75,none,100,50,1.0,1.0,0.12,0.036375661375661374
qwen3-4b,node_degree,0.75,filler,100,51,2.0,2.0,0.11764705882352941,0.05714285714285714
qwen3-4b,node_degree,0.75,degree,100,43,3.0,3.0,0.11627906976744186,0.08823529411764706
qwen3-4b,node_degree,0.75,clustering,100,41,1.0,1.0,0.36585365853658536,0.037037037037037035
