arm,task,density,condition,n,n_wrong,median_abs_error,median_signed_error,frac_undercount,median_rel_error
qwen3-4b-think,node_degree,0.5,degree,100,0,,,,
qwen3-4b-think,node_degree,0.5,clustering,100,1,2.0,2.0,0.0,0.10526315789473684
qwen3-4b-think,node_degree,0.5,rwse,100,6,3.5,-3.5,0.6666666666666666,0.18859649122807015
qwen3-4b-think,node_degree,0.5,components,100,1,1.0,1.0,0.0,0.05
qwen3-4b-think,node_degree,0.5,all,100,1,20.0,-20.0,1.0,0.9523809523809523
qwen3-4b-think,node_degree,0.65,none,100,0,,,,
qwen3-4b-think,node_degree,0.65,filler,100,0,,,,
qwen3-4b-think,node_degree,0.65,degree,100,3,1.0,-1.0,1.0,0.038461538461538464
qwen3-4b-think,node_degree,0.65,clustering,100,2,1.0,0.0,0.5,0.03869047619047619
qwen3-4b-think,node_degree,0.65,rwse,100,3,2.0,1.0,0.3333333333333333,0.06896551724137931
qwen3-4b-think,node_degree,0.65,components,100,2,7.5,7.5,0.0,0.30083333333333334
qwen3-4b-think,node_degree,0.65,all,100,1,1.0,-1.0,1.0,0.038461538461538464
qwen3-4b-think,node_degree,0.75,none,100,3,1.0,-1.0,1.0,0.04
qwen3-4b-think,node_degree,0.75,filler,100,3,1.0,1.0,0.3333333333333333,0.04
qwen3-4b-think,node_degree,0.75,degree,100,2,1.5,-1.5,1.0,0.05427841634738186
qwen3-4b-think,node_degree,0.75,clustering,100,3,1.0,-1.0,0.6666666666666666,0.04
qwen3-4b-think,node_degree,0.75,rwse,100,5,1.0,1.0,0.4,0.04
qwen3-4b-think,node_degree,0.75,components,100,4,3.5,0.0,0.5,0.145
qwen3-4b-think,node_degree,0.75,all,100,2,1.0,-1.0,1.0,0.03785714285714285
qwen3-4b-think,node_degree,0.85,none,100,4,1.0,-1.0,1.0,0.028991596638655463
qwen3-4b-think,node_degree,0.85,filler,100,5,1.0,-1.0,0.6,0.030303030303030304
qwen3-4b-think,node_degree,0.85,degree,100,3,1.0,-1.0,1.0,0.03125
qwen3-4b-think,node_degree,0.85,clustering,100,4,1.0,0.0,0.5,0.029437229437229435
qwen3-4b-think,node_degree,0.85,rwse,100,1,1.0,-1.0,1.0,0.03125
qwen3-4b-think,node_degree,0.85,components,100,8,1.0,-1.0,0.875,0.029411764705882353
qwen3-4b-think,node_degree,0.85,all,100,2,1.5,1.5,0.0,0.04458874458874459
