arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,within_graph_icc,delta,ci_low,ci_high,p_value,n_perm,seed,bh_significant,near_threshold,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task,n_mae_imputed,mae_delta
main_sweep,pooled across all models,exact,all,,True,excluded,main_sweep/pooled across all models/excluded/derived,4800,800,0.0,281.0,11.0,False,False,0.3383333333333334,-0.00375,0.28375,0.032681809994513034,0.059166666666666666,0.04666666666666667,0.07166666666666667,4.999750012499375e-05,20000.0,1234:main_sweep:pooled across all models:excluded:all,True,False,,,,,,,,,
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/task/connected_nodes,400,400,,,,,,,,,,0.0125,-0.03,0.055,0.6544172791360432,,,False,,,,,,,False,connected_nodes,,
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/task/connected_nodes,400,400,,,,,,,,,,0.0075,-0.03,0.045,0.7850107494625269,,,False,,,,,,,False,connected_nodes,,
main_sweep,qwen3-1.7b,exact,degree,,False,excluded,main_sweep/qwen3-1.7b/task/connected_nodes,400,400,,,,,,,,,,0.035,-0.0075,0.075,0.12184390780460977,,,False,,,,,,,False,connected_nodes,,
main_sweep,qwen3-1.7b,exact,filler,,False,excluded,main_sweep/qwen3-1.7b/task/connected_nodes,400,400,,,,,,,,,,-0.0625,-0.1025,-0.0225,0.004699765011749413,,,True,,,,,,,True,connected_nodes,,
main_sweep,qwen3-1.7b,exact,rwse,,False,excluded,main_sweep/qwen3-1.7b/task/connected_nodes,400,400,,,,,,,,,,0.01,-0.0325,0.0525,0.7317134143292835,,,False,,,,,,,False,connected_nodes,,
main_sweep,qwen3-1.7b,exact,all,,True,excluded,main_sweep/qwen3-1.7b/task/connected_nodes/derived,400,400,,,,,,,,,,0.02,-0.0275,0.0675,0.4599770011499425,,,False,,,,,,,,connected_nodes,,
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/task/cycle_check,400,400,,,,,,,,,,0.085,0.0575,0.115,4.999750012499375e-05,,,True,,,,,,,True,cycle_check,,
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/task/cycle_check,400,400,,,,,,,,,,0.02,-0.015,0.055,0.33718314084295786,,,False,,,,,,,False,cycle_check,,
main_sweep,qwen3-1.7b,exact,degree,,False,excluded,main_sweep/qwen3-1.7b/task/cycle_check,400,400,,,,,,,,,,-0.175,-0.2275,-0.1225,4.999750012499375e-05,,,True,,,,,,,True,cycle_check,,
main_sweep,qwen3-1.7b,exact,filler,,False,excluded,main_sweep/qwen3-1.7b/task/cycle_check,400,400,,,,,,,,,,0.03,-0.0075,0.0675,0.14674266286685667,,,False,,,,,,,False,cycle_check,,
main_sweep,qwen3-1.7b,exact,rwse,,False,excluded,main_sweep/qwen3-1.7b/task/cycle_check,400,400,,,,,,,,,,-0.0025,-0.0425,0.0375,1.0,,,False,,,,,,,False,cycle_check,,
main_sweep,qwen3-1.7b,exact,all,,True,excluded,main_sweep/qwen3-1.7b/task/cycle_check/derived,400,400,,,,,,,,,,0.07,0.04,0.1025,4.999750012499375e-05,,,True,,,,,,,,cycle_check,,
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/task/edge_count,400,400,,,,,,,,,,-0.005,,,0.7282135893205339,,,False,,,,,,,False,edge_count,,
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/task/edge_count,400,400,,,,,,,,,,-0.01,,,0.22058897055147242,,,False,,,,,,,False,edge_count,,
main_sweep,qwen3-1.7b,exact,degree,,False,excluded,main_sweep/qwen3-1.7b/task/edge_count,400,400,,,,,,,,,,0.03,0.0075,0.0525,0.0167991600419979,,,False,,,,,,,True,edge_count,,
