arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,density,none_acc,mid_range,contaminated,bh_significant,bh_global
qwen3-1.7b,lo,edge_count,rwse,filler,51,0.0,0.0,0.0,0,0,1.0,0.35,,False,False,False,False
qwen3-1.7b,lo,edge_count,degree,filler,76,0.0,0.0789,7.89,0,6,0.03125,0.1,0.0192,False,True,False,False
qwen3-1.7b,lo,edge_count,degree,filler,85,0.0353,0.0353,0.0,2,2,1.0,0.2,0.0241,False,True,False,False
qwen3-1.7b,lo,edge_count,degree,filler,58,0.0,0.0172,1.72,0,1,1.0,0.35,,False,True,False,False
qwen3-1.7b,lo,edge_count,degree,filler,50,0.0,0.1,10.0,0,5,0.0625,0.5,0.0,False,True,False,False
qwen3-1.7b,lo,edge_count,all,filler,67,0.0,0.0,0.0,0,0,1.0,0.1,0.0192,False,True,False,False
qwen3-1.7b,lo,edge_count,all,filler,82,0.0366,0.0122,-2.44,3,1,0.625,0.2,0.0241,False,True,False,False
qwen3-1.7b,lo,edge_existence,components,filler,100,0.84,0.86,2.0,4,6,0.75390625,0.1,0.89,True,False,False,False
qwen3-1.7b,lo,edge_existence,components,filler,100,0.53,0.62,9.0,3,12,0.03515625,0.2,0.73,True,False,True,False
qwen3-1.7b,lo,edge_existence,components,filler,100,0.34,0.5,16.0,1,17,0.00014495849609375,0.35,0.66,True,False,True,True
qwen3-1.7b,lo,edge_existence,components,filler,100,0.48,0.51,3.0,0,3,0.25,0.5,0.54,True,False,False,False
qwen3-1.7b,lo,edge_existence,clustering,filler,100,0.84,0.84,0.0,5,5,1.0,0.1,0.89,True,False,False,False
qwen3-1.7b,lo,edge_existence,clustering,filler,100,0.53,0.74,21.0,3,24,4.9233436584472656e-05,0.2,0.73,True,False,True,True
qwen3-1.7b,lo,edge_existence,clustering,filler,100,0.34,0.72,38.0,1,39,7.457856554538012e-11,0.35,0.66,True,False,True,True
qwen3-1.7b,lo,edge_existence,clustering,filler,100,0.48,0.67,19.0,0,19,3.814697265625e-06,0.5,0.54,True,False,True,True
qwen3-1.7b,lo,edge_existence,rwse,filler,99,0.8384,0.9192,8.08,2,10,0.03857421875,0.1,0.89,True,False,False,False
qwen3-1.7b,lo,edge_existence,rwse,filler,100,0.53,0.68,15.0,7,22,0.008130058646202087,0.2,0.73,True,False,True,False
qwen3-1.7b,lo,edge_existence,rwse,filler,100,0.34,0.76,42.0,3,45,1.312585595769633e-10,0.35,0.66,True,False,True,True
qwen3-1.7b,lo,edge_existence,rwse,filler,100,0.48,0.67,19.0,0,19,3.814697265625e-06,0.5,0.54,True,False,True,True
qwen3-1.7b,lo,edge_existence,degree,filler,100,0.84,0.83,-1.0,5,4,1.0,0.1,0.89,True,True,False,False
